scenario_id,basis,model,history_window_years,history_start_ay,attempted_fits,successful_fits,failed_fits,success_rate,mean_runtime_seconds,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,standard_deviation_percentage_error
short_stable_no_break,gross,chain_ladder,15,2010,1,1,0,1.0,0.023930000003019813,-7.91908446953447,-7.91908446953447,7.91908446953447,10902642.165043622,
short_stable_no_break,gross,inflation_adjusted_chain_ladder,15,2010,1,1,0,1.0,0.04595590000099037,-8.111334949391113,-8.111334949391113,8.111334949391113,11167324.047905028,
short_stable_no_break,gross,cashflow_uplift,15,2010,1,1,0,1.0,0.035071000005700625,-7.91908446953447,-7.91908446953447,7.91908446953447,10902642.165043622,
short_stable_no_break,gross,regularized_poisson,15,2010,1,1,0,1.0,1.3715951000049245,-15.301517576849626,-15.301517576849626,15.301517576849626,21066446.67881967,
short_stable_no_break,gross,regularized_poisson_break_interaction,15,2010,1,1,0,1.0,1.3619389000014053,-15.301517579443116,-15.301517579443116,15.301517579443116,21066446.682390273,
short_stable_no_break,gross,regularized_tweedie,15,2010,1,1,0,1.0,5.478857100002642,-13.316888625144932,-13.316888625144932,13.316888625144932,18334098.088011682,
short_stable_no_break,gross,chain_ladder,10,2015,1,1,0,1.0,0.021507999997993466,-5.200331539252387,-5.200331539252387,5.200331539252387,7159584.435572043,
short_stable_no_break,gross,inflation_adjusted_chain_ladder,10,2015,1,1,0,1.0,0.038701399993442465,-4.720837127543708,-4.720837127543708,4.720837127543708,6499437.923546627,
short_stable_no_break,gross,cashflow_uplift,10,2015,1,1,0,1.0,0.030986999998276588,-5.200331539252387,-5.200331539252387,5.200331539252387,7159584.435572043,
short_stable_no_break,gross,regularized_poisson,10,2015,1,1,0,1.0,0.6852752999984659,-13.163651471622002,-13.163651471622002,13.163651471622002,18123128.012155354,
short_stable_no_break,gross,regularized_poisson_break_interaction,10,2015,1,1,0,1.0,0.7373047000000952,-13.16365147211178,-13.16365147211178,13.16365147211178,18123128.01282966,
short_stable_no_break,gross,regularized_tweedie,10,2015,1,1,0,1.0,2.763735300002736,-14.348695086135724,-14.348695086135724,14.348695086135724,19754643.186506376,
short_stable_no_break,gross,chain_ladder,7,2018,1,1,0,1.0,0.01966560000437312,-7.231477082383021,-7.231477082383021,7.231477082383021,9955974.993984446,
short_stable_no_break,gross,inflation_adjusted_chain_ladder,7,2018,1,1,0,1.0,0.03290479999850504,-7.10658689563982,-7.10658689563982,7.10658689563982,9784031.75720942,
short_stable_no_break,gross,cashflow_uplift,7,2018,1,1,0,1.0,0.027828399994177744,-7.231477082383021,-7.231477082383021,7.231477082383021,9955974.993984446,
short_stable_no_break,gross,regularized_poisson,7,2018,1,0,1,0.0,0.2563315000006696,,,,,
short_stable_no_break,gross,regularized_poisson_break_interaction,7,2018,1,0,1,0.0,0.26905779999651713,,,,,
short_stable_no_break,gross,regularized_tweedie,7,2018,1,0,1,0.0,1.0853499000004376,,,,,
short_stable_no_break,gross,chain_ladder,5,2020,1,0,1,0.0,0.008687600005941931,,,,,
short_stable_no_break,gross,inflation_adjusted_chain_ladder,5,2020,1,0,1,0.0,0.015442600000824314,,,,,
short_stable_no_break,gross,cashflow_uplift,5,2020,1,0,1,0.0,0.012250699997821357,,,,,
short_stable_no_break,gross,regularized_poisson,5,2020,1,0,1,0.0,0.0038777000008849427,,,,,
short_stable_no_break,gross,regularized_poisson_break_interaction,5,2020,1,0,1,0.0,0.008071700001892168,,,,,
short_stable_no_break,gross,regularized_tweedie,5,2020,1,0,1,0.0,0.003979400004027411,,,,,
short_stable_no_break,ceded,chain_ladder,15,2010,1,1,0,1.0,0.024828299996443093,13.322141344865305,13.322141344865305,13.322141344865305,7446089.269345738,
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,15,2010,1,1,0,1.0,0.05045650000101887,16.9393605468028,16.9393605468028,16.9393605468028,9467846.612041943,
short_stable_no_break,ceded,cashflow_uplift,15,2010,1,1,0,1.0,0.037063099996885285,13.322141344865305,13.322141344865305,13.322141344865305,7446089.269345738,
