scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successes,failures,success_rate,mean_runtime_seconds,mean_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_normalised_error
long_emerging_break,long,emerging,True,none,regularized_poisson,ceded,2,2,0,1.0,1.4898451500012015,494001308.94584036,494001308.94584036,495770255.9394775,155.59422971629377,155.59422971629377,155.59422971629377,1.5559422971629377
long_emerging_break,long,emerging,True,none,regularized_poisson,gross,2,2,0,1.0,1.8205706999997346,259440228.84901977,259440228.84901977,277394374.4571844,38.442556633979194,38.442556633979194,38.442556633979194,0.38442556633979197
long_emerging_break,long,emerging,True,none,regularized_tweedie,ceded,2,2,0,1.0,7.051620449999973,316334628.90490824,316334628.90490824,380867900.4892533,102.08884871418529,102.08884871418529,102.08884871418529,1.0208884871418529
long_emerging_break,long,emerging,True,none,regularized_tweedie,gross,2,2,0,1.0,7.093112100001235,178155511.08466542,178155511.08466542,178545094.17194772,26.26477125896936,26.26477125896936,26.26477125896936,0.2626477125896936
long_emerging_no_break,long,emerging,False,none,regularized_poisson,ceded,2,2,0,1.0,1.431661950000489,250446621.07411256,250446621.07411256,254181682.74295372,59.04950276125322,59.04950276125322,59.04950276125322,0.5904950276125323
long_emerging_no_break,long,emerging,False,none,regularized_poisson,gross,2,2,0,1.0,1.732633249999708,-75912433.79160702,75912433.79160702,96511489.29284601,-8.628599816776447,8.628599816776447,8.628599816776447,-0.08628599816776447
long_emerging_no_break,long,emerging,False,none,regularized_tweedie,ceded,2,2,0,1.0,6.639076900000873,72477739.04525757,145001993.77948487,162106757.5924527,18.287912330546817,34.93111055059146,34.93111055059146,0.18287912330546818
long_emerging_no_break,long,emerging,False,none,regularized_tweedie,gross,2,2,0,1.0,6.683171950000542,-112114906.1146437,112114906.1146437,115663409.3443794,-12.795724173306196,12.795724173306196,12.795724173306196,-0.12795724173306194
long_shock_break,long,shock,True,none,regularized_poisson,ceded,2,2,0,1.0,1.5252041000003373,471837624.6237556,471837624.6237556,480051756.1799098,120.5116632325743,120.5116632325743,120.5116632325743,1.205116632325743
long_shock_break,long,shock,True,none,regularized_poisson,gross,2,2,0,1.0,1.7845470000011119,375552908.4185372,375552908.4185372,389305484.8991406,49.38301439776802,49.38301439776802,49.38301439776802,0.4938301439776802
long_shock_break,long,shock,True,none,regularized_tweedie,ceded,2,2,0,1.0,7.028912499999933,302243751.1416805,302243751.1416805,389127848.9921755,79.10779361723468,79.10779361723468,79.10779361723468,0.7910779361723468
long_shock_break,long,shock,True,none,regularized_tweedie,gross,2,2,0,1.0,7.043408800000179,309513198.901092,309513198.901092,311639542.3109632,40.59562808344644,40.59562808344644,40.59562808344644,0.40595628083446444
long_shock_no_break,long,shock,False,none,regularized_poisson,ceded,2,2,0,1.0,1.3911982500012527,189478476.6306552,189478476.6306552,189623637.77505445,36.650014281736745,36.650014281736745,36.650014281736745,0.3665001428173674
long_shock_no_break,long,shock,False,none,regularized_poisson,gross,2,2,0,1.0,1.6840425499995035,-41760753.36879444,44972600.60072398,61371779.56293523,-4.211015304398274,4.53758889761382,4.53758889761382,-0.04211015304398274
long_shock_no_break,long,shock,False,none,regularized_tweedie,ceded,2,2,0,1.0,6.641157800000656,-149857716.74595606,149857716.74595606,149867119.50314653,-29.034756117410993,29.034756117410993,29.034756117410993,-0.29034756117411
long_shock_no_break,long,shock,False,none,regularized_tweedie,gross,2,2,0,1.0,6.6457895500007,-105147462.25331527,105147462.25331527,110792661.03000477,-10.662719664717955,10.662719664717955,10.662719664717955,-0.10662719664717954
long_stable_break,long,stable,True,none,regularized_poisson,ceded,2,2,0,1.0,1.3849336499988567,341177521.59758896,341177521.59758896,341546739.84260565,140.55686486635346,140.55686486635346,140.55686486635346,1.4055686486635346
long_stable_break,long,stable,True,none,regularized_poisson,gross,2,2,0,1.0,1.5885416999972222,296030190.20469713,296030190.20469713,307862451.839584,50.08021955732664,50.08021955732664,50.08021955732664,0.5008021955732664
long_stable_break,long,stable,True,none,regularized_tweedie,ceded,2,2,0,1.0,6.5329860000001645,338226309.77894086,338226309.77894086,338647109.3930981,139.36552418964806,139.36552418964806,139.36552418964806,1.3936552418964805
long_stable_break,long,stable,True,none,regularized_tweedie,gross,2,2,0,1.0,6.51416479999898,275192299.147574,275192299.147574,281963588.2139126,46.51240816482051,46.51240816482051,46.51240816482051,0.4651240816482052
long_stable_no_break,long,stable,False,none,regularized_poisson,ceded,2,2,0,1.0,1.3029967000002216,148773517.15689656,148773517.15689656,151771607.0214441,47.01458717250056,47.01458717250056,47.01458717250056,0.47014587172500566
long_stable_no_break,long,stable,False,none,regularized_poisson,gross,2,2,0,1.0,1.5197466999998142,-30005034.564178646,30005034.564178646,38700159.81637236,-3.98292210845926,3.98292210845926,3.98292210845926,-0.0398292210845926
long_stable_no_break,long,stable,False,none,regularized_tweedie,ceded,2,2,0,1.0,6.234503900001073,154577148.9856718,154577148.9856718,157381385.2043683,48.86910653926745,48.86910653926745,48.86910653926745,0.4886910653926745
long_stable_no_break,long,stable,False,none,regularized_tweedie,gross,2,2,0,1.0,6.201497350000864,-35146315.89386517,35146315.89386517,37307111.33994765,-4.670831780780826,4.670831780780826,4.670831780780826,-0.046708317807808264
short_emerging_no_break,short,emerging,False,none,regularized_poisson,ceded,2,2,0,1.0,1.2711654499998986,625246.3548593037,5079990.333501179,5118323.43572876,1.0485346712592967,7.359045592054647,7.359045592054647,0.01048534671259297
short_emerging_no_break,short,emerging,False,none,regularized_poisson,gross,2,2,0,1.0,1.4248120000011113,8832403.045602858,16264877.840098858,18508311.503573567,8.124416748497897,12.984595639940835,12.984595639940835,0.08124416748497897
short_emerging_no_break,short,emerging,False,none,regularized_tweedie,ceded,2,2,0,1.0,5.421269399999801,753806.6237580664,7418698.706674244,7456897.1379811615,1.3010642708187792,10.742431603445505,10.742431603445505,0.013010642708187796
short_emerging_no_break,short,emerging,False,none,regularized_tweedie,gross,2,2,0,1.0,5.793910899999901,3738081.1094546765,12981525.409387633,13509006.341527812,4.0091309605059156,10.053523186905533,10.053523186905533,0.040091309605059154
short_shock_no_break,short,shock,False,none,regularized_poisson,ceded,2,2,0,1.0,1.2238372000010713,4457744.911522582,5411642.829212651,7011231.547108837,5.231268801397181,6.2647223811517305,6.2647223811517305,0.052312688013971806
short_shock_no_break,short,shock,False,none,regularized_poisson,gross,2,2,0,1.0,1.4430815000014263,5429308.441347182,12444726.419458687,13577503.666228812,4.660221785832345,8.75179888749398,8.75179888749398,0.04660221785832344
short_shock_no_break,short,shock,False,none,regularized_tweedie,ceded,2,2,0,1.0,5.419837450001069,-1574868.4589147866,7654094.30095318,7814433.455521173,-1.458751254389012,8.539912569831516,8.539912569831516,-0.014587512543890117
short_shock_no_break,short,shock,False,none,regularized_tweedie,gross,2,2,0,1.0,5.763388699999268,4875217.591307968,13110785.789763212,13987867.978632614,4.346418401281691,9.149619345987634,9.149619345987634,0.04346418401281692
short_stable_no_break,short,stable,False,none,regularized_poisson,ceded,2,2,0,1.0,1.1997142500022164,14731694.74082945,14731694.74082945,16467946.028242143,27.20934012603167,27.20934012603167,27.20934012603167,0.27209340126031667
short_stable_no_break,short,stable,False,none,regularized_poisson,gross,2,2,0,1.0,1.3756137000000308,-3203881.337896906,17862565.340922765,18147619.573543504,-0.8098260907537025,14.491691486095924,14.491691486095924,-0.008098260907537028
short_stable_no_break,short,stable,False,none,regularized_tweedie,ceded,2,2,0,1.0,5.261465949999547,17247950.61649926,17247950.61649926,18353189.102527406,31.766412108954,31.766412108954,31.766412108954,0.31766412108954
short_stable_no_break,short,stable,False,none,regularized_tweedie,gross,2,2,0,1.0,5.5606444499990175,-1838545.9145440534,16495552.173467629,16597695.399888482,0.18170541341542545,13.498594038560357,13.498594038560357,0.0018170541341542557
