model,basis,valuation_year,selected_alpha,successful_validation_folds,validation_mean_poisson_deviance,validation_mean_absolute_error,training_rows,future_rows,total_observed_paid,total_estimated_reserve,total_estimated_ultimate,inflation_scenario,true_reserve,signed_error,absolute_error,signed_percentage_error,absolute_percentage_error
regularized_poisson,gross,2024,0.0001,10,1.3610408324525864,2891257.120519939,119,91,1172502118.5317414,599734008.2179556,1772236126.749697,stable,660700592.5985186,-60966584.38056302,60966584.38056302,-9.227566171960433,9.227566171960433
regularized_poisson,ceded,2024,1.0,10,1.3945443073771406,1162442.6800982235,119,91,190651609.80025676,176756512.0795396,367408121.8797963,stable,281296795.08978415,-104540283.01024455,104540283.01024455,-37.16369501361629,37.16369501361629
