model,rows_compared,max_absolute_reserve_difference,max_relative_reserve_difference,nonmatching_reserve_rows,nonmatching_truth_rows,missing_step28_rows,missing_frozen_rows,rtol,atol,passed
bornhuetter_ferguson_standard,450,5.960464477539063e-08,2.182670031512832e-16,0,0,0,0,1e-12,1e-06,True
bornhuetter_ferguson_break_aware,450,0.0,0.0,0,0,0,0,1e-12,1e-06,True
