scenario_id,simulation_id,basis,tail_type,inflation_scenario,structural_break,model,pattern_variant,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,success,success_or_failure,failure_type,failure_message,calibration_version,prior_version,runtime_seconds
long_emerging_break,15,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,323906786.8950166,-100581453.63910496,100581453.63910496,-31.052592198910922,31.052592198910922,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035827000028803013
long_emerging_break,16,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,318161411.86483526,-142837182.78433055,142837182.78433055,-44.894565292227256,44.894565292227256,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0037622999952873215
long_emerging_break,16,ceded,long,emerging,True,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,325191700.5114074,318161411.86483526,7030288.646572113,7030288.646572113,2.2096610036288107,2.2096610036288107,True,success,,,step28_ceded_development_v1,pricing_mc_v1,0.03625820000161184
long_emerging_break,16,ceded,long,emerging,True,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,370418842.9734397,318161411.86483526,52257431.10860443,52257431.10860443,16.424817454231373,16.424817454231373,True,success,,,step28_ceded_development_v1,pricing_mc_v1,0.03688260000490118
long_emerging_break,16,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,318161411.86483526,-94836078.60892361,94836078.60892361,-29.80753638634621,29.80753638634621,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036297999977250583
long_emerging_break,17,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,315284076.6553456,-139959847.5748409,139959847.5748409,-44.39166387963155,44.39166387963155,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035131999975419603
long_emerging_break,17,ceded,long,emerging,True,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,325191700.5114074,315284076.6553456,9907623.856061757,9907623.856061757,3.1424434627862055,3.1424434627862055,True,success,,,step28_ceded_development_v1,pricing_mc_v1,0.03738999999768566
long_emerging_break,17,ceded,long,emerging,True,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,370418842.9734397,315284076.6553456,55134766.318094075,55134766.318094075,17.487329808401622,17.487329808401622,True,success,,,step28_ceded_development_v1,pricing_mc_v1,0.03733310000097845
long_emerging_break,17,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,315284076.6553456,-91958743.39943397,91958743.39943397,-29.16694822490485,29.16694822490485,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036198000016156584
long_emerging_break,18,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,309103360.71021956,-133779131.62971485,133779131.62971485,-43.279740253335866,43.279740253335866,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036177000001771376
