scenario_id,model,pattern_variant,basis,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_emerging_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-45.14987093013514,-45.1490800154465,45.14987093013514,148631957.5404845,4.443189661049075,0.003732786000618944
long_emerging_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,1.7361196398547698,1.7375866298646923,6.748986049889643,26029559.284783106,8.24123630344209,0.037508334000012834
long_emerging_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,15.88541671370389,15.887087730341996,16.04327092748193,55125286.88343669,9.387414289451215,0.03752997400049935
long_emerging_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-30.132740820250845,-30.131733365164095,30.132740820250845,101700976.36491627,5.659667331646307,0.0037730720000399742
long_emerging_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-38.475049501830355,-38.90744201371866,38.475049501830355,168849656.9565923,4.720579721872235,0.0041850739996880295
long_emerging_no_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,1.5113766720917854,0.7979627028145428,6.554134291190044,32636623.254812807,7.788588895684956,0.03760481599965715
long_emerging_no_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,1.5113766720917854,0.7979627028145428,6.554134291190044,32636623.254812807,7.788588895684956,0.0375077479997708
long_emerging_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-38.475049501830355,-38.90744201371866,38.475049501830355,168849656.9565923,4.720579721872235,0.003739880000357516
long_shock_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-45.339030857174464,-45.59877775709409,45.339030857174464,183736171.0332292,4.183950862096046,0.004322242000926053
long_shock_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,-0.5883918536481262,-1.0607921318899631,6.096330781524509,30296659.21372178,7.6093287427721386,0.0371572040009778
long_shock_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,12.676830342378302,12.141394219800087,12.926369856333046,56402847.295878515,8.624697454913699,0.037159809999575376
long_shock_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-30.838827777996013,-31.167479105646876,30.838827777996013,127589846.99352235,5.2938495361421385,0.003690743999759434
