scenario_id,metric,paired_simulations,fixed_nominal_mean,fully_indexed_mean,difference_fully_indexed_minus_fixed,percentage_difference_relative_to_fixed
long_emerging_break,ceded_ultimate,2,519293929.2705947,307941507.1071433,-211352422.16345143,-40.69996012861523
long_emerging_break,retained_ultimate,2,1428720738.7008626,1640073160.864314,211352422.16345143,14.793123417221087
long_emerging_break,ceded_share,2,0.26638031900961684,0.1579449383615117,-0.10843538064810515,-40.70697904832467
long_emerging_break,attachment_frequency,2,0.6093297420210606,0.2678518254978015,-0.3414779165232591,-56.04156386501422
long_emerging_break,exhaustion_frequency,2,0.02858515702645531,0.011890582279851656,-0.016694574746603654,-58.40294923394324
long_emerging_break,ceded_true_reserve,2,319196047.1840615,167112086.55913657,-152083960.62492496,-47.64594109689182
long_emerging_break,ceded_unpaid_proportion,2,0.61509581691283,0.543824894230557,-0.07127092268227297,-11.586962668675298
long_emerging_no_break,ceded_ultimate,2,585970428.3850167,344903114.138593,-241067314.24642366,-41.13984299699649
long_emerging_no_break,retained_ultimate,2,1448644164.4438577,1689711478.6902814,241067314.24642372,16.640892233115835
long_emerging_no_break,ceded_share,2,0.2878188194176693,0.1693868468196241,-0.1184319725980452,-41.14809894560168
long_emerging_no_break,attachment_frequency,2,0.6454143093040253,0.2997627490941153,-0.34565156020991,-53.55498866807572
long_emerging_no_break,exhaustion_frequency,2,0.03343265516054558,0.013912145622169716,-0.019520509538375867,-58.38755385905555
long_emerging_no_break,ceded_true_reserve,2,422204745.8712642,226439217.6685209,-195765528.20274332,-46.36743904873936
long_emerging_no_break,ceded_unpaid_proportion,2,0.7212296545723703,0.6573087127026556,-0.06392094186971475,-8.862772275720499
long_shock_break,ceded_ultimate,2,604686972.578716,347706314.32861626,-256980658.25009978,-42.49813042179389
long_shock_break,retained_ultimate,2,1453813689.7666574,1710794348.016757,256980658.25009966,17.67631300069447
long_shock_break,ceded_share,2,0.2935718939621803,0.16878460914917925,-0.12478728481300105,-42.50655031338828
long_shock_break,attachment_frequency,2,0.6398494510551574,0.29482823962534854,-0.3450212114298089,-53.92224856344634
long_shock_break,exhaustion_frequency,2,0.03612807295030299,0.01395565128950798,-0.022172421660795014,-61.371725226792265
long_shock_break,ceded_true_reserve,2,395098019.3661177,201412179.94528225,-193685839.42083547,-49.02222484728692
long_shock_break,ceded_unpaid_proportion,2,0.6537250227087936,0.5802527361610023,-0.07347228654779137,-11.239020076568204
long_shock_no_break,ceded_ultimate,2,687619514.8225013,398210185.08254874,-289409329.73995256,-42.088585838733685
long_shock_no_break,retained_ultimate,2,1479180394.697964,1768589724.4379168,289409329.7399528,19.565519579445734
long_shock_no_break,ceded_share,2,0.3171634800465004,0.18365376549104773,-0.13350971455545269,-42.09492042900979
long_shock_no_break,attachment_frequency,2,0.6670433935193958,0.33141263868639953,-0.33563075483299626,-50.316180040727296
long_shock_no_break,exhaustion_frequency,2,0.04380150587616547,0.016694574746603658,-0.027106931129561813,-61.88584293471064
long_shock_no_break,ceded_true_reserve,2,516891021.50070345,275575244.62628,-241315776.87442344,-46.68600668934139
long_shock_no_break,ceded_unpaid_proportion,2,0.7522723925675978,0.6927501101496667,-0.059522282417931116,-7.912331092567983
