scenario_id,simulation_id,seed,treaty_variant,accident_year,gross_ultimate,ceded_ultimate,retained_ultimate,gross_paid_to_date,ceded_paid_to_date,retained_paid_to_date,gross_true_reserve,ceded_true_reserve,retained_true_reserve,indexed_attachment,indexed_limit,inflation_index_value,applied_index_factor,claim_count,attaching_claims,exhausting_claims,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,ceded_share,attachment_frequency,exhaustion_frequency,ceded_unpaid_proportion
short_stable_no_break,1,20260817,fixed_nominal,2010,64815699.59801879,4552369.240453692,60263330.35756509,64815699.59801879,4552369.240453692,60263330.35756509,0.0,0.0,0.0,2000000.0,5000000.0,1.0,1.0,43,5,0,short,stable,False,2000000.0,5000000.0,2010,0.07023559521361464,0.11627906976744186,0.0,0.0
short_stable_no_break,1,20260817,fixed_nominal,2011,70160279.21683185,5390595.674159508,64769683.54267232,70160279.21683185,5390595.674159508,64769683.54267232,0.0,0.0,0.0,2000000.0,5000000.0,1.04,1.0,45,6,0,short,stable,False,2000000.0,5000000.0,2010,0.0768325858210991,0.13333333333333333,0.0,0.0
short_stable_no_break,1,20260817,fixed_nominal,2012,80927933.28229195,7898313.598189255,73029619.68410268,80927933.28229195,7898313.598189255,73029619.68410268,0.0,0.0,0.0,2000000.0,5000000.0,1.0816000000000001,1.0,50,6,0,short,stable,False,2000000.0,5000000.0,2010,0.09759687759031782,0.12,0.0,0.0
short_stable_no_break,1,20260817,fixed_nominal,2013,75934843.81853537,3544537.474932744,72390306.34360263,75934843.81853537,3544537.474932744,72390306.34360263,0.0,0.0,0.0,2000000.0,5000000.0,1.124864,1.0,47,7,0,short,stable,False,2000000.0,5000000.0,2010,0.04667866945776924,0.14893617021276595,0.0,0.0
short_stable_no_break,1,20260817,fixed_nominal,2014,83989067.8404093,8724357.144014867,75264710.69639443,83989067.8404093,8724357.144014867,75264710.69639443,0.0,0.0,0.0,2000000.0,5000000.0,1.1698585600000002,1.0,46,9,1,short,stable,False,2000000.0,5000000.0,2010,0.10387491334696485,0.1956521739130435,0.021739130434782608,0.0
short_stable_no_break,1,20260817,fixed_nominal,2015,89340642.26263417,17433023.413574424,71907618.84905976,89340642.26263417,17433023.413574424,71907618.84905976,0.0,0.0,0.0,2000000.0,5000000.0,1.2166529024000003,1.0,42,15,0,short,stable,False,2000000.0,5000000.0,2010,0.19512981966624623,0.35714285714285715,0.0,0.0
short_stable_no_break,1,20260817,fixed_nominal,2016,104414810.67667904,22735958.696077324,81678851.98060173,104414810.67667904,22735958.696077324,81678851.98060173,0.0,0.0,0.0,2000000.0,5000000.0,1.2653190184960004,1.0,43,15,1,short,stable,False,2000000.0,5000000.0,2010,0.21774649160145804,0.3488372093023256,0.023255813953488372,0.0
short_stable_no_break,1,20260817,fixed_nominal,2017,100769464.14767727,10970936.966956671,89798527.1807206,100769464.14767727,10970936.966956671,89798527.1807206,0.0,0.0,0.0,2000000.0,5000000.0,1.3159317792358405,1.0,50,19,1,short,stable,False,2000000.0,5000000.0,2010,0.10887164142183792,0.38,0.02,0.0
short_stable_no_break,1,20260817,fixed_nominal,2018,124584589.53124267,33181003.105045546,91403586.42619708,124584589.53124267,33181003.105045546,91403586.42619708,0.0,0.0,0.0,2000000.0,5000000.0,1.368569050405274,1.0,43,21,2,short,stable,False,2000000.0,5000000.0,2010,0.26633312538806886,0.4883720930232558,0.046511627906976744,0.0
short_stable_no_break,1,20260817,fixed_nominal,2019,104887644.12151913,24992257.63095648,79895386.49056268,104887644.12151913,24992257.63095648,79895386.49056268,0.0,0.0,0.0,2000000.0,5000000.0,1.4233118124214852,1.0,44,18,0,short,stable,False,2000000.0,5000000.0,2010,0.23827647041057884,0.4090909090909091,0.0,0.0
