scenario_id,basis,model,MPE_0_80,MPE_0_90,MPE_1_00,MPE_1_10,MPE_1_20,MAPE_0_80,MAPE_0_90,MAPE_1_00,MAPE_1_10,MAPE_1_20,change_in_MPE_0_80_vs_1_00,change_in_MPE_0_90_vs_1_00,change_in_MPE_1_00_vs_1_00,change_in_MPE_1_10_vs_1_00,change_in_MPE_1_20_vs_1_00,change_in_MAPE_0_80_vs_1_00,change_in_MAPE_0_90_vs_1_00,change_in_MAPE_1_00_vs_1_00,change_in_MAPE_1_10_vs_1_00,change_in_MAPE_1_20_vs_1_00
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,-56.11989674410812,-50.63488383712164,-45.14987093013515,-39.66485802314865,-34.17984511616217,56.11989674410812,50.63488383712164,45.14987093013515,39.66485802314865,34.17984511616217,-10.970025813972967,-5.485012906986491,0.0,5.485012906986498,10.970025813972981,10.970025813972967,5.485012906986491,0.0,-5.485012906986498,-10.970025813972981
long_emerging_break,ceded,bornhuetter_ferguson_standard,-44.10619265620066,-37.11946673822576,-30.132740820250845,-23.14601490227593,-16.15928898430102,44.10619265620066,37.11946673822576,30.132740820250845,23.14601490227593,16.21328603452559,-13.973451835949817,-6.9867259179749155,0.0,6.9867259179749155,13.973451835949824,13.973451835949817,6.9867259179749155,0.0,-6.9867259179749155,-13.919454785725254
long_emerging_break,ceded,expected_loss,-23.008635017951857,-8.047725660431015,7.638529929291125,23.94707427323515,40.62951039212158,23.008635017951857,11.85638172391644,11.557521295802424,23.94707427323515,40.62951039212158,-30.64716494724298,-15.68625558972214,0.0,16.308544343944025,32.99098046283046,11.451113722149433,0.2988604281140166,0.0,12.389552977432725,29.071989096319157
long_emerging_break,gross,bornhuetter_ferguson_break_aware,-41.60959438293916,-34.31079368080656,-27.011992978673963,-19.71319227654136,-12.41439157440875,41.60959438293916,34.31079368080656,27.011992978673963,19.71319227654136,12.698720840548098,-14.597601404265195,-7.298800702132599,0.0,7.298800702132603,14.597601404265212,14.597601404265195,7.298800702132599,0.0,-7.298800702132603,-14.313272138125864
long_emerging_break,gross,bornhuetter_ferguson_standard,-23.409264221669478,-13.83542224937815,-4.261580277086843,5.31226169520448,14.88610366749577,23.409264221669478,13.95609679633313,7.065145290390937,7.643719056171919,15.017145127971236,-19.147683944582635,-9.573841972291307,0.0,9.573841972291323,19.14768394458261,16.34411893127854,6.890951505942192,0.0,0.5785737657809813,7.951999837580299
long_emerging_break,gross,expected_loss,-34.208202732884814,-13.510494791435896,11.02957703123399,38.05886235016644,67.47570502889259,34.208202732884814,15.118513067883065,14.505552325594929,38.05886235016644,67.47570502889259,-45.237779764118805,-24.540071822669887,0.0,27.029285318932452,56.4461279976586,19.702650407289887,0.612960742288136,0.0,23.553310024571516,52.970152703297664
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,-50.780039601464274,-44.62754455164732,-38.47504950183036,-32.322554452013385,-26.17005940219643,50.780039601464274,44.62754455164732,38.47504950183036,32.322554452013385,26.17005940219643,-12.304990099633912,-6.152495049816956,0.0,6.152495049816977,12.304990099633933,12.304990099633912,6.152495049816956,0.0,-6.152495049816977,-12.304990099633933
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,-50.780039601464274,-44.62754455164732,-38.47504950183036,-32.322554452013385,-26.17005940219643,50.780039601464274,44.62754455164732,38.47504950183036,32.322554452013385,26.17005940219643,-12.304990099633912,-6.152495049816956,0.0,6.152495049816977,12.304990099633933,12.304990099633912,6.152495049816956,0.0,-6.152495049816977,-12.304990099633933
long_emerging_no_break,ceded,expected_loss,-21.141906509704672,-7.908576422281644,5.75957669405143,19.775821465594557,34.05079220484404,21.141906509704672,10.440753232315556,9.489885353018945,19.775821465594557,34.05079220484404,-26.9014832037561,-13.668153116333073,0.0,14.016244771543128,28.291215510792615,11.652021156685727,0.9508678792966112,0.0,10.285936112575612,24.5609068518251
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,-36.92194897470809,-29.037192596546607,-21.152436218385105,-13.267679840223607,-5.382923462062123,36.92194897470809,29.037192596546607,21.152436218385105,13.399608113679712,7.10537120124574,-15.769512756322982,-7.8847563781615015,0.0,7.884756378161498,15.769512756322982,15.769512756322982,7.8847563781615015,0.0,-7.752828104705394,-14.047065017139365
long_emerging_no_break,gross,bornhuetter_ferguson_standard,-36.92194897470809,-29.037192596546607,-21.152436218385105,-13.267679840223607,-5.382923462062123,36.92194897470809,29.037192596546607,21.152436218385105,13.399608113679712,7.10537120124574,-15.769512756322982,-7.8847563781615015,0.0,7.884756378161498,15.769512756322982,15.769512756322982,7.8847563781615015,0.0,-7.752828104705394,-14.047065017139365
