scenario_id,basis,model,prior_multiplier,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_shock_break,gross,expected_loss,1.2,50,50,1.0,63.29862461512367,65.65308451395241,63.29862461512367,483305294.19049686,18.313156353726832,0.008852890000271145
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-51.03181523517903,-51.41348109080306,51.03181523517903,270454486.6987147,3.542224840585297,0.0037161099999502767
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-44.91079213957641,-45.34016622715343,44.91079213957641,238989171.34126315,3.98500294565846,0.00385625400027493
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-38.78976904397377,-39.266851363503804,38.78976904397377,207628892.1930216,4.427781050731622,0.0037660619993403087
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-32.668745948371146,-33.19353649985419,32.668745948371146,176429668.5374046,4.870559155804785,0.003724272000399651
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-26.54772285276853,-27.120221636204576,26.54772285276853,145495145.00193775,5.313337260877946,0.003741600000648759
long_shock_no_break,ceded,bornhuetter_ferguson_standard,0.8,50,50,1.0,-51.03181523517903,-51.41348109080306,51.03181523517903,270454486.6987147,3.542224840585297,0.003889895999018336
long_shock_no_break,ceded,bornhuetter_ferguson_standard,0.9,50,50,1.0,-44.91079213957641,-45.34016622715343,44.91079213957641,238989171.34126315,3.98500294565846,0.007179842000186909
long_shock_no_break,ceded,bornhuetter_ferguson_standard,1.0,50,50,1.0,-38.78976904397377,-39.266851363503804,38.78976904397377,207628892.1930216,4.427781050731622,0.0039022279996424915
long_shock_no_break,ceded,bornhuetter_ferguson_standard,1.1,50,50,1.0,-32.668745948371146,-33.19353649985419,32.668745948371146,176429668.5374046,4.870559155804785,0.00388725000055274
long_shock_no_break,ceded,bornhuetter_ferguson_standard,1.2,50,50,1.0,-26.54772285276853,-27.120221636204576,26.54772285276853,145495145.00193775,5.313337260877946,0.0038470139999117236
long_shock_no_break,ceded,expected_loss,0.8,50,50,1.0,-21.007174599674673,-21.22697114964736,21.007174599674673,121041363.3720473,7.511510926755023,0.008733257999556371
long_shock_no_break,ceded,expected_loss,0.9,50,50,1.0,-8.170598589280821,-8.710308795887645,10.006277277072783,64916689.97933437,8.509941324661144,0.008914425999537344
long_shock_no_break,ceded,expected_loss,1.0,50,50,1.0,5.019568869015677,4.256741845057336,8.580187778594057,52385752.87689038,9.502585321033257,0.008791250000067521
long_shock_no_break,ceded,expected_loss,1.1,50,50,1.0,18.478619583671914,17.72390658078799,18.478619583671914,104494619.95169646,10.497398773847179,0.008722282000235282
long_shock_no_break,ceded,expected_loss,1.2,50,50,1.0,32.16983827349259,31.54753201473623,32.16983827349259,171072580.0247975,11.496828691604488,0.00872593199921539
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-38.056084107458354,-38.31148635432697,38.056084107458354,385882348.17539406,4.450272454493558,0.0038113479998719414
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-30.31309462089064,-30.60042214861784,30.31309462089064,311223041.72531277,5.006556511305253,0.00389595599976019
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-22.57010513432293,-22.88935794290871,22.57010513432293,237555130.7459333,5.562840568116949,0.0038471760001266373
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-14.827115647755228,-15.17829373719958,14.827115647755228,166202171.9540424,6.119124624928642,0.0038311819998489227
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-7.084126161187532,-7.467229531490463,8.081851162626181,102136903.98835605,6.675408681740338,0.013190050000412156
long_shock_no_break,gross,bornhuetter_ferguson_standard,0.8,50,50,1.0,-38.056084107458354,-38.31148635432697,38.056084107458354,385882348.17539406,4.450272454493558,0.0038013700005831196
long_shock_no_break,gross,bornhuetter_ferguson_standard,0.9,50,50,1.0,-30.31309462089064,-30.60042214861784,30.31309462089064,311223041.72531277,5.006556511305253,0.0039006859999790324
long_shock_no_break,gross,bornhuetter_ferguson_standard,1.0,50,50,1.0,-22.57010513432293,-22.88935794290871,22.57010513432293,237555130.7459333,5.562840568116949,0.003791139999520965
long_shock_no_break,gross,bornhuetter_ferguson_standard,1.1,50,50,1.0,-14.827115647755228,-15.17829373719958,14.827115647755228,166202171.9540424,6.119124624928642,0.0037704400005168282
long_shock_no_break,gross,bornhuetter_ferguson_standard,1.2,50,50,1.0,-7.084126161187532,-7.467229531490463,8.081851162626181,102136903.98835605,6.675408681740338,0.003795086000900483
long_shock_no_break,gross,expected_loss,0.8,50,50,1.0,-30.09302038651259,-30.35634405537705,30.09302038651259,317512285.3566059,7.97684033201901,0.00869174200008274
long_shock_no_break,gross,expected_loss,0.9,50,50,1.0,-12.424939369626301,-12.766242512343933,13.439103394752449,164203081.84718993,9.76393527482854,0.008971810000075494
long_shock_no_break,gross,expected_loss,1.0,50,50,1.0,7.165853902591005,7.683626220823862,11.098094737026477,125054287.2638777,11.592351683876506,0.008761950000043726
long_shock_no_break,gross,expected_loss,1.1,50,50,1.0,28.241421398338208,28.985259172235097,28.241421398338208,293481047.9109923,13.32906277196064,0.008714389999804553
long_shock_no_break,gross,expected_loss,1.2,50,50,1.0,50.735100337145916,51.95259356543906,50.735100337145916,505944523.17245436,14.932952078580549,0.008734611999389017
long_stable_break,ceded,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-56.523840197946875,-56.461529047182395,56.523840197946875,142000094.29323316,3.818875666263853,0.0038484699990658554
