scenario_id,basis,model,prior_multiplier,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds,baseline_mean_percentage_error,baseline_mean_absolute_percentage_error,baseline_RMSE,difference_in_MPE_vs_1_00,difference_in_MAPE_vs_1_00,difference_in_RMSE_vs_1_00
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-56.11989674410812,-56.119264012357206,56.11989674410812,183265783.95055062,3.554551728839259,0.0038198660004127305,-45.14987093013515,45.14987093013515,148631957.5404845,-10.970025813972967,10.970025813972967,34633826.41006613
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-50.634883837121635,-50.63417201390185,50.634883837121635,165926240.63612244,3.9988706949441672,0.003850830000737915,-45.14987093013515,45.14987093013515,148631957.5404845,-5.4850129069864835,5.4850129069864835,17294283.095637947
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-45.14987093013515,-45.1490800154465,45.14987093013515,148631957.5404845,4.443189661049075,0.00392175999993924,-45.14987093013515,45.14987093013515,148631957.5404845,0.0,0.0,0.0
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-39.66485802314865,-39.663988016991155,39.66485802314865,131400806.61491328,4.887508627153984,0.010457013999402989,-45.14987093013515,45.14987093013515,148631957.5404845,5.485012906986498,-5.485012906986498,-17231150.925571203
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-34.17984511616217,-34.178896018535795,34.17984511616217,114261353.31701946,5.3318275932588906,0.004052124000736512,-45.14987093013515,45.14987093013515,148631957.5404845,10.970025813972981,-10.970025813972981,-34370604.223465025
long_emerging_break,ceded,bornhuetter_ferguson_standard,0.8,50,50,1.0,-44.10619265620066,-44.105386692131276,44.10619265620066,145347694.62440082,4.527733865317045,0.00393817200063495,-30.132740820250845,30.132740820250845,101700976.36491627,-13.973451835949817,13.973451835949817,43646718.25948456
long_emerging_break,ceded,bornhuetter_ferguson_standard,0.9,50,50,1.0,-37.11946673822576,-37.11856002864768,37.11946673822576,123433295.42049836,5.093700598481676,0.0038343419994635044,-30.132740820250845,30.132740820250845,101700976.36491627,-6.9867259179749155,6.9867259179749155,21732319.05558209
long_emerging_break,ceded,bornhuetter_ferguson_standard,1.0,50,50,1.0,-30.132740820250845,-30.131733365164095,30.132740820250845,101700976.36491627,5.659667331646307,0.0038251059989852366,-30.132740820250845,30.132740820250845,101700976.36491627,0.0,0.0,0.0
long_emerging_break,ceded,bornhuetter_ferguson_standard,1.1,50,50,1.0,-23.14601490227593,-23.1449067016805,23.14601490227593,80298710.1905614,6.2256340648109365,0.0038754580001113936,-30.132740820250845,30.132740820250845,101700976.36491627,6.9867259179749155,-6.9867259179749155,-21402266.174354866
long_emerging_break,ceded,bornhuetter_ferguson_standard,1.2,50,50,1.0,-16.15928898430102,-16.158080038196914,16.21328603452559,59583229.288412735,6.791600797975567,0.003994776000326965,-30.132740820250845,30.132740820250845,101700976.36491627,13.973451835949824,-13.919454785725254,-42117747.07650353
long_emerging_break,ceded,expected_loss,0.8,50,50,1.0,-23.008635017951857,-23.877358383136176,23.008635017951857,83916045.10857134,9.769423566698745,0.00883455400064122,7.638529929291125,11.557521295802424,44147085.54034068,-30.64716494724298,11.451113722149433,39768959.56823066
long_emerging_break,ceded,expected_loss,0.9,50,50,1.0,-8.047725660431015,-9.023525264545437,11.856381723916439,46658371.896044,11.283158976107933,0.00878772599986405,7.638529929291125,11.557521295802424,44147085.54034068,-15.68625558972214,0.2988604281140148,2511286.355703324
long_emerging_break,ceded,expected_loss,1.0,50,50,1.0,7.638529929291125,6.754889589278417,11.557521295802424,44147085.54034068,12.678928196821888,0.008804793999879622,7.638529929291125,11.557521295802424,44147085.54034068,0.0,0.0,0.0
long_emerging_break,ceded,expected_loss,1.1,50,50,1.0,23.94707427323515,23.288324835178642,23.94707427323515,83741275.354579,14.003348595771433,0.008773448000283679,7.638529929291125,11.557521295802424,44147085.54034068,16.308544343944025,12.389552977432725,39594189.814238325
long_emerging_break,ceded,expected_loss,1.2,50,50,1.0,40.62951039212158,40.24240325837853,40.62951039212158,133476878.56135468,15.351399549710145,0.009267116000410169,7.638529929291125,11.557521295802424,44147085.54034068,32.99098046283046,29.071989096319157,89329793.021014
long_emerging_break,gross,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-41.60959438293916,-41.833951489938556,41.60959438293916,287595813.04035825,4.551607423221491,0.004202764000365278,-27.011992978673963,27.011992978673963,192126426.98140973,-14.597601404265195,14.597601404265195,95469386.05894852
long_emerging_break,gross,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-34.31079368080656,-34.56319542618088,34.31079368080656,239619675.74302214,5.120558351124178,0.003777573999541346,-27.011992978673963,27.011992978673963,192126426.98140973,-7.298800702132599,7.298800702132599,47493248.761612415
long_emerging_break,gross,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-27.011992978673963,-27.292439362423202,27.011992978673963,192126426.98140973,5.689509279026866,0.0037655960000120103,-27.011992978673963,27.011992978673963,192126426.98140973,0.0,0.0,0.0
long_emerging_break,gross,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-19.713192276541356,-20.021683298665522,19.713192276541356,145589410.6818912,6.258460206929551,0.0038657080003758892,-27.011992978673963,27.011992978673963,192126426.98140973,7.298800702132606,-7.298800702132606,-46537016.299518526
