scenario_id,simulation_id,seed,treaty_variant,accident_year,gross_ultimate,ceded_ultimate,retained_ultimate,gross_paid_to_date,ceded_paid_to_date,retained_paid_to_date,gross_true_reserve,ceded_true_reserve,retained_true_reserve,indexed_attachment,indexed_limit,inflation_index_value,applied_index_factor,claim_count,attaching_claims,exhausting_claims,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,ceded_share,attachment_frequency,exhaustion_frequency,ceded_unpaid_proportion
short_shock_no_break,2,20260818,fixed_nominal,2022,165710569.47928822,46489829.02823437,119220740.45105386,152559113.12166208,39866832.561149724,112692280.56051236,13151456.357626153,6622996.4670846565,6528459.890541493,2000000.0,5000000.0,1.663202478534252,1.0,56,39,3,short,shock,False,2000000.0,5000000.0,2010,0.2805483631751385,0.6964285714285714,0.05357142857142857,0.14246119216877212
short_shock_no_break,2,20260818,fixed_nominal,2023,139236989.74941343,50823470.677533895,88413519.07187955,113619609.10112467,31070996.861031756,82548612.24009292,25617380.648288753,19752473.81650214,5864906.831786614,2000000.0,5000000.0,1.8627867759583625,1.0,41,39,1,short,shock,False,2000000.0,5000000.0,2010,0.3650141443663895,0.9512195121951219,0.024390243902439025,0.388648660809258
short_shock_no_break,2,20260818,fixed_nominal,2024,168692980.073926,67450695.41919345,101242284.65473254,80003537.23693694,10713507.96027468,69290029.27666226,88689442.83698907,56737187.45891878,31952255.37807029,2000000.0,5000000.0,2.049065453554199,1.0,50,50,2,short,shock,False,2000000.0,5000000.0,2010,0.3998429299763076,1.0,0.04,0.8411653446463047
long_stable_no_break,2,20260818,fixed_nominal,2010,119503413.09514488,13191537.941265352,106311875.15387952,119503413.09514488,13191537.941265352,106311875.15387952,0.0,0.0,0.0,2000000.0,5000000.0,1.0,1.0,48,13,1,long,stable,False,2000000.0,5000000.0,2010,0.11038628604492377,0.2708333333333333,0.020833333333333332,0.0
long_stable_no_break,2,20260818,fixed_nominal,2011,83093321.15438688,7302687.717153436,75790633.43723345,83093321.15438688,7302687.717153436,75790633.43723345,0.0,0.0,0.0,2000000.0,5000000.0,1.04,1.0,47,12,0,long,stable,False,2000000.0,5000000.0,2010,0.0878853753310099,0.2553191489361702,0.0,0.0
long_stable_no_break,2,20260818,fixed_nominal,2012,109889895.42830361,20199666.36856288,89690229.05974075,109889895.42830361,20199666.36856288,89690229.05974075,0.0,0.0,0.0,2000000.0,5000000.0,1.0816000000000001,1.0,53,17,0,long,stable,False,2000000.0,5000000.0,2010,0.18381732269225717,0.32075471698113206,0.0,0.0
long_stable_no_break,2,20260818,fixed_nominal,2013,128207799.41253123,22563720.5153905,105644078.89714074,127761614.46521217,22553972.609775253,105207641.85543692,446184.9473190704,9747.905615249416,436437.041703821,2000000.0,5000000.0,1.124864,1.0,62,20,1,long,stable,False,2000000.0,5000000.0,2010,0.17599335312501346,0.3225806451612903,0.016129032258064516,0.000432016768183264
long_stable_no_break,2,20260818,fixed_nominal,2014,92614252.00890289,16277597.840204196,76336654.1686987,89515562.6021814,13783523.408857264,75732039.19332415,3098689.406721486,2494074.431346935,604614.9753745508,2000000.0,5000000.0,1.1698585600000002,1.0,43,17,0,long,stable,False,2000000.0,5000000.0,2010,0.17575694331191544,0.3953488372093023,0.0,0.15322128337553573
long_stable_no_break,2,20260818,fixed_nominal,2015,85290144.17994979,13760238.598627,71529905.58132277,79218793.43142524,10690329.905641686,68528463.52578357,6071350.748524531,3069908.692985313,3001442.055539218,2000000.0,5000000.0,1.2166529024000003,1.0,40,15,0,long,stable,False,2000000.0,5000000.0,2010,0.1613344511365217,0.375,0.0,0.2230999608750701
long_stable_no_break,2,20260818,fixed_nominal,2016,137831979.25146005,33964944.62094086,103867034.63051918,114677732.21695073,19636243.813177813,95041488.40377292,23154247.034509316,14328700.807763044,8825546.226746274,2000000.0,5000000.0,1.2653190184960004,1.0,55,29,0,long,stable,False,2000000.0,5000000.0,2010,0.24642281715316128,0.5272727272727272,0.0,0.42186733903663665
long_stable_no_break,2,20260818,fixed_nominal,2017,113579553.60170504,26140693.800303712,87438859.80140132,88698445.25479782,12563582.677558867,76134862.57723895,24881108.346907232,13577111.122744845,11303997.224162387,2000000.0,5000000.0,1.3159317792358405,1.0,46,27,0,long,stable,False,2000000.0,5000000.0,2010,0.23015316552460277,0.5869565217391305,0.0,0.5193860280245164
long_stable_no_break,2,20260818,fixed_nominal,2018,131846359.84280857,33778230.07836315,98068129.76444542,89977381.3780266,14330175.674300488,75647205.70372611,41868978.464781985,19448054.404062662,22420924.06071931,2000000.0,5000000.0,1.368569050405274,1.0,48,32,2,long,stable,False,2000000.0,5000000.0,2010,0.25619387686269557,0.6666666666666666,0.041666666666666664,0.5757570588791812
long_stable_no_break,2,20260818,fixed_nominal,2019,148718570.7931784,53035515.24249902,95683055.5506794,87728560.0794667,21909993.681246877,65818566.39821984,60990010.71371171,31125521.561252154,29864489.152459558,2000000.0,5000000.0,1.4233118124214852,1.0,45,29,3,long,stable,False,2000000.0,5000000.0,2010,0.356616628035345,0.6444444444444445,0.06666666666666667,0.5868807235855851
long_stable_no_break,2,20260818,fixed_nominal,2020,159243906.67379218,50186539.90803632,109057366.76575588,80200000.42421551,11072064.637650814,69127935.78656471,79043906.24957669,39114475.270385504,39929430.97919117,2000000.0,5000000.0,1.4802442849183446,1.0,55,45,1,long,stable,False,2000000.0,5000000.0,2010,0.31515516641300695,0.8181818181818182,0.01818181818181818,0.7793817892618283
long_stable_no_break,2,20260818,fixed_nominal,2021,159166969.8646388,42523809.18466314,116643160.67997569,50910352.49895195,1813665.7920039895,49096686.70694796,108256617.3656869,40710143.39265915,67546473.9730277,2000000.0,5000000.0,1.5394540563150785,1.0,53,43,2,long,stable,False,2000000.0,5000000.0,2010,0.2671647843822552,0.8113207547169812,0.03773584905660377,0.9573494043271619
long_stable_no_break,2,20260818,fixed_nominal,2022,176129731.2054283,53336912.2794328,122792818.9259955,53281851.2294034,2881368.994457013,50400482.234946385,122847879.97602491,50455543.2849758,72392336.69104911,2000000.0,5000000.0,1.6010322185676817,1.0,56,48,3,long,stable,False,2000000.0,5000000.0,2010,0.3028274210969157,0.8571428571428571,0.05357142857142857,0.9459779565160901
long_stable_no_break,2,20260818,fixed_nominal,2023,139565452.76697028,50841282.87949553,88724169.88747478,19456999.451895315,0.0,19456999.451895315,120108453.315075,50841282.87949553,69267170.43557948,2000000.0,5000000.0,1.665073507310389,1.0,41,39,1,long,stable,False,2000000.0,5000000.0,2010,0.36428272091363634,0.9512195121951219,0.024390243902439025,1.0
long_stable_no_break,2,20260818,fixed_nominal,2024,162133053.0135074,61765322.89968629,100367730.11382109,3022430.0012010993,0.0,3022430.0012010993,159110623.0123063,61765322.89968629,97345300.11262,2000000.0,5000000.0,1.7316764476028046,1.0,50,50,2,long,stable,False,2000000.0,5000000.0,2010,0.38095454166610054,1.0,0.04,1.0
long_emerging_no_break,2,20260818,fixed_nominal,2010,119799760.53614914,13232542.394763185,106567218.14138597,119799760.53614914,13232542.394763185,106567218.14138597,0.0,0.0,0.0,2000000.0,5000000.0,1.0,1.0,48,14,1,long,emerging,False,2000000.0,5000000.0,2010,0.11045549953975337,0.2916666666666667,0.020833333333333332,0.0
long_emerging_no_break,2,20260818,fixed_nominal,2011,83284250.41085848,7400394.067277408,75883856.34358108,83284250.41085848,7400394.067277408,75883856.34358108,0.0,0.0,0.0,2000000.0,5000000.0,1.04,1.0,47,12,0,long,emerging,False,2000000.0,5000000.0,2010,0.08885706518062814,0.2553191489361702,0.0,0.0
long_emerging_no_break,2,20260818,fixed_nominal,2012,110419378.27978,20489498.787100293,89929879.49267969,110419378.27978,20489498.787100293,89929879.49267969,0.0,0.0,0.0,2000000.0,5000000.0,1.0816000000000001,1.0,53,17,0,long,emerging,False,2000000.0,5000000.0,2010,0.18556071503304533,0.32075471698113206,0.0,0.0
