scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,claim_count,attaching_claims,attachment_frequency,exhausting_claims,exhaustion_frequency,mean_ceded_per_ceded_claim,ceded_paid_to_date,ceded_true_reserve,retained_true_reserve,gross_true_reserve,ceded_unpaid_proportion,success,failure_message,runtime_seconds
long_emerging_break,1,20260817,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1887118589.180332,490879403.93790746,1396239185.2424245,0.2601211215619048,697,422,0.6054519368723099,22,0.03156384505021521,1163221.3363457522,185149937.41419947,305729466.5237079,384549730.07008886,690279196.5937967,0.6228199106972114,True,,0.22262179999961518
long_emerging_break,1,20260817,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,1887118589.180332,289927709.2314075,1597190879.9489243,0.15363512971240315,697,178,0.25538020086083213,10,0.014347202295552367,1628807.3552326264,126557507.49144137,163370201.73996615,526908994.85383064,690279196.5937967,0.5634859881901501,True,,0.44273859999520937
long_emerging_break,2,20260818,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2008910746.7625828,547708454.603282,1461202292.1593008,0.27263951645732887,742,455,0.6132075471698113,19,0.025606469002695417,1203754.8452819383,215045826.75886703,332662627.84441507,335492402.3017707,668155030.1461856,0.6073717231284487,True,,0.2272231999959331
long_emerging_break,2,20260818,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2008910746.7625828,325955304.9828791,1682955441.7797039,0.16225474701062026,742,208,0.2803234501347709,7,0.009433962264150943,1567092.812417688,155101333.6045721,170853971.378307,497301058.76787865,668155030.1461856,0.5241638002709641,True,,0.4483805000054417
long_emerging_break,3,20260819,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2051853124.0641522,601254738.0782208,1450598385.9859314,0.2930301058232189,751,470,0.625832223701731,21,0.02796271637816245,1279265.4001664273,281108201.81715405,320146536.2610667,292603942.8912337,612750479.1523004,0.5324640555587886,True,,0.2530119000002742
long_emerging_break,3,20260819,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2051853124.0641522,355479238.40140384,1696373885.6627483,0.17324789685593966,751,228,0.303595206391478,7,0.009320905459387484,1559119.4666728238,211937050.25064984,143542188.1507541,469208291.00154626,612750479.1523004,0.40379907641376117,True,,0.4563512000022456
long_emerging_break,4,20260820,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1916525146.8759384,484833675.40801656,1431691471.4679217,0.2529753790073286,728,441,0.6057692307692307,16,0.02197802197802198,1099396.0893605817,193804714.14610302,291028961.26191354,347003665.2871721,638032626.5490856,0.6002655673968919,True,,0.23064680000243243
long_emerging_break,4,20260820,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,1916525146.8759384,263032240.37002438,1653492906.5059135,0.137244345997121,728,196,0.2692307692307692,6,0.008241758241758242,1342001.2263776753,130520915.25601703,132511325.11400738,505521301.4350782,638032626.5490856,0.5037835853414592,True,,0.4498282999993535
long_emerging_break,5,20260821,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2041870589.0474548,553859410.2157785,1488011178.8316765,0.2712509858296932,737,449,0.6092265943012212,22,0.029850746268656716,1233539.8891220011,264672372.9114475,289187037.30433095,316631370.0211587,605818407.3254896,0.5221307645412513,True,,0.2323954999956186
long_emerging_break,5,20260821,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2041870589.0474548,331071861.5511542,1710798727.4963005,0.16214145172912317,737,223,0.30257801899592945,11,0.014925373134328358,1484627.1818437409,203967399.81716955,127104461.73398468,478713945.591505,605818407.3254896,0.383918044676067,True,,0.4530538999970304
long_emerging_break,6,20260822,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2009000740.6809106,490791899.6047671,1518208841.0761437,0.2442965249671451,745,452,0.6067114093959731,19,0.025503355704697986,1085822.7867362103,201437651.2529166,289354248.35185045,341284625.0146667,630638873.3665172,0.5895660637122706,True,,0.2424609000008786
long_emerging_break,6,20260822,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2009000740.6809106,278919636.1899764,1730081104.4909344,0.1388350091376483,745,200,0.2684563758389262,11,0.01476510067114094,1394598.180949882,149385278.6090811,129534357.58089532,501104515.7856219,630638873.3665172,0.46441462261433436,True,,0.4513719000024139
long_emerging_break,7,20260823,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1908084108.914338,500183319.27707356,1407900789.6372643,0.26213903094747115,703,433,0.615931721194879,14,0.01991465149359886,1155157.7812403548,201000986.45906168,299182332.8180119,318780211.3162592,617962544.134271,0.5981453624851524,True,,0.2272231000024476
long_emerging_break,7,20260823,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,1908084108.914338,280336280.19561464,1627747828.7187235,0.14692029501525505,703,194,0.2759601706970128,5,0.007112375533428165,1445032.3721423435,144264772.44121948,136071507.75439516,481891036.3798759,617962544.134271,0.485386720760675,True,,0.45031220000237226
long_emerging_break,8,20260824,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2179948453.700713,610731502.5624794,1569216951.1382341,0.2801586897734634,788,501,0.6357868020304569,19,0.024111675126903553,1219024.9552145298,264076706.9726195,346654795.58985984,369095265.01491684,715750060.6047767,0.567605885950506,True,,0.2312722999995458
long_emerging_break,8,20260824,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2179948453.700713,359012535.04089147,1820935918.659822,0.16468854317698495,788,240,0.30456852791878175,7,0.008883248730964468,1495885.562670381,193669677.64922428,165342857.39166722,550407203.2131095,715750060.6047767,0.4605489815915054,True,,0.4499481000020751
long_emerging_break,9,20260825,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1987208729.7273784,554476873.0903745,1432731856.6370034,0.2790229656279953,740,463,0.6256756756756757,21,0.02837837837837838,1197574.239936014,222495104.86563683,331981768.2247377,340009027.5547211,671990795.7794588,0.5987296934035116,True,,0.23189399999682792
long_emerging_break,9,20260825,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,1987208729.7273784,316100253.7314815,1671108475.9958963,0.15906746432965133,740,214,0.2891891891891892,7,0.00945945945945946,1477103.9893994462,163892634.27128708,152207619.46019438,519783176.3192645,671990795.7794588,0.48151691643212213,True,,0.45317700000305194
long_emerging_break,10,20260826,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2227415440.660858,582576637.3814499,1644838803.279408,0.2615482620559565,792,481,0.6073232323232324,25,0.03156565656565657,1211178.0402940747,240911348.43987674,341665288.94157326,411674471.4925581,753339760.4341314,0.5864726922062673,True,,0.22933139999804553
long_emerging_break,10,20260826,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2227415440.660858,360303115.2264217,1867112325.4344358,0.1617583808791064,792,221,0.27904040404040403,12,0.015151515151515152,1630330.838128605,177140116.7682115,183162998.45821023,570176761.9759212,753339760.4341314,0.508358076069109,True,,0.4623028999994858
long_emerging_break,11,20260827,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2009324085.816408,566865653.7164721,1442458432.099936,0.282117582583075,725,445,0.6137931034482759,28,0.038620689655172416,1273855.40161005,219787563.37170377,347078090.3447683,339411706.1187445,686489796.4635129,0.6122757448246556,True,,0.26808709999750135
long_emerging_break,11,20260827,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2009324085.816408,331071756.77276105,1678252329.043647,0.1647677241863367,725,206,0.28413793103448276,10,0.013793103448275862,1607144.450353209,165656181.43271863,165415575.3400424,521074221.1234704,686489796.4635129,0.49963662546297877,True,,0.4449146000042674
long_emerging_break,12,20260828,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2025826962.6261616,564105664.2702267,1461721298.3559349,0.2784569830875159,741,440,0.5937921727395412,23,0.0310391363022942,1282058.327886879,238979523.67264524,325126140.5975814,341616908.2176248,666743048.8152063,0.5763568089999437,True,,0.24860350000381004
long_emerging_break,12,20260828,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2025826962.6261616,343061525.6267981,1682765436.9993637,0.16934394297036778,741,216,0.291497975708502,7,0.009446693657219974,1588247.803827769,165699381.8679493,177362143.7588488,489380905.0563575,666743048.8152063,0.5169980616007446,True,,0.4456709000005503
long_emerging_break,13,20260829,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2162902635.1482644,583460482.4638203,1579442152.684444,0.26975808942219204,798,491,0.6152882205513784,24,0.03007518796992481,1188310.554916131,246268453.35277498,337192029.1110455,337534360.2475379,674726389.3585835,0.5779175098323036,True,,0.23479800000495743
long_emerging_break,13,20260829,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2162902635.1482644,343215270.95434946,1819687364.1939156,0.15868271894302005,798,231,0.2894736842105263,8,0.010025062656641603,1485780.3937417725,177829712.2613214,165385558.69302803,509340830.66555536,674726389.3585835,0.48187121229528773,True,,0.4759341000026325
long_emerging_break,14,20260830,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1988610188.228087,537521053.3758795,1451089134.8522077,0.2702998589456224,740,463,0.6256756756756757,18,0.024324324324324326,1160952.599083973,229928960.64665794,307592092.7292216,329975898.3658471,637567991.0950687,0.572241944380414,True,,0.23248679999960586
long_emerging_break,14,20260830,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,1988610188.228087,318048550.9226214,1670561637.3054657,0.15993509075099957,740,204,0.2756756756756757,6,0.008108108108108109,1559061.5241304971,153808148.63892072,164240402.28370073,473327588.81136787,637567991.0950687,0.5164004105890709,True,,0.4850449000005028
long_emerging_break,15,20260831,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2182032618.712105,624332013.6495768,1557700605.0625277,0.28612405162764,742,479,0.6455525606469003,28,0.03773584905660377,1303407.1266170705,300425226.7545601,323906786.8950167,396784964.1798752,720691751.0748918,0.5188053468563893,True,,0.22654770000372082
