scenario_id,metric,paired_simulations,fixed_nominal_mean,fully_indexed_mean,difference_fully_indexed_minus_fixed,percentage_difference_relative_to_fixed
long_emerging_break,gross_ultimate,50,2051286704.7693522,2051286704.7693522,0.0,0.0
long_emerging_break,ceded_ultimate,50,559951060.9185054,334468425.5606412,-225482635.3578642,-40.268275407496844
long_emerging_break,retained_ultimate,50,1491335643.8508472,1716818279.2087111,225482635.3578639,15.119509567654047
long_emerging_break,ceded_share,50,0.2727976798618302,0.1627654622119383,-0.11003221764989188,-40.334733677215404
long_emerging_break,attaching_claims,50,460.36,215.62,-244.74,-53.162742201755144
long_emerging_break,attachment_frequency,50,0.6188777230767404,0.2898245400885332,-0.3290531829882072,-53.16933712726396
long_emerging_break,exhausting_claims,50,21.44,9.02,-12.420000000000002,-57.92910447761195
long_emerging_break,exhaustion_frequency,50,0.028825896268661052,0.012119384120675505,-0.016706512147985547,-57.95660954399722
long_emerging_break,ceded_paid_to_date,50,238250238.50541332,173586404.0609132,-64663834.44450012,-27.141141536792578
long_emerging_break,ceded_true_reserve,50,321700822.413092,160882021.49972796,-160818800.91336405,-49.99017400920991
long_emerging_break,retained_true_reserve,50,352680400.3159334,513499201.2292974,160818800.913364,45.599018479422575
long_emerging_break,gross_true_reserve,50,674381222.7290254,674381222.7290254,0.0,0.0
long_emerging_break,ceded_unpaid_proportion,50,0.5752257271154821,0.48173266038571805,-0.0934930667297641,-16.253283245621322
long_emerging_no_break,gross_ultimate,50,2139036879.2064633,2139036879.2064633,0.0,0.0
long_emerging_no_break,ceded_ultimate,50,627907056.368028,372270104.6808646,-255636951.68716347,-40.71254640230224
long_emerging_no_break,retained_ultimate,50,1511129822.8384354,1766766774.5255988,255636951.68716335,16.9169417361499
long_emerging_no_break,ceded_share,50,0.2933807683733946,0.1737554089613693,-0.11962535941202532,-40.77477882250771
long_emerging_no_break,attaching_claims,50,487.52,235.84,-251.67999999999998,-51.62454873646209
long_emerging_no_break,attachment_frequency,50,0.6553966968070088,0.3170329576794489,-0.33836373912755996,-51.627318351773155
long_emerging_no_break,exhausting_claims,50,24.72,9.96,-14.759999999999998,-59.70873786407766
long_emerging_no_break,exhaustion_frequency,50,0.033238204584508615,0.01337985667676928,-0.019858347907739334,-59.745549303811515
long_emerging_no_break,ceded_paid_to_date,50,201127323.40766707,152788920.750075,-48338402.65759206,-24.03373238334925
long_emerging_no_break,ceded_true_reserve,50,426779732.96036094,219481183.93078953,-207298549.0295714,-48.57272569895562
long_emerging_no_break,retained_true_reserve,50,451961755.0365969,659260304.0661683,207298549.0295714,45.86639172882797
long_emerging_no_break,gross_true_reserve,50,878741487.9969579,878741487.9969579,0.0,0.0
long_emerging_no_break,ceded_unpaid_proportion,50,0.6801583654142462,0.590220536763615,-0.08993782865063127,-13.223071746806376
long_shock_break,gross_ultimate,50,2162355381.610189,2162355381.610189,0.0,0.0
long_shock_break,ceded_ultimate,50,645386480.1991235,375984070.3276162,-269402409.8715073,-41.742803442115424
long_shock_break,retained_ultimate,50,1516968901.4110653,1786371311.2825727,269402409.8715074,17.759257267628406
long_shock_break,ceded_share,50,0.29831068288693685,0.17360328924345672,-0.12470739364348013,-41.8045349353934
long_shock_break,attaching_claims,50,485.8,237.12,-248.68,-51.18979003705228
long_shock_break,attachment_frequency,50,0.6530205120776903,0.3187378017334089,-0.3342827103442814,-51.190231265585666
long_shock_break,exhausting_claims,50,25.86,10.0,-15.86,-61.330239752513535
long_shock_break,exhaustion_frequency,50,0.03475718567512279,0.013438411054541233,-0.021318774620581554,-61.33630846826681
long_shock_break,ceded_paid_to_date,50,248279834.38844043,179542708.65176252,-68737125.73667791,-27.685343800067486
long_shock_break,ceded_true_reserve,50,397106645.810683,196441361.67585364,-200665284.13482937,-50.531837291510534
long_shock_break,retained_true_reserve,50,361502640.11717474,562167924.2520041,200665284.1348294,55.508663524500754
long_shock_break,gross_true_reserve,50,758609285.9278579,758609285.9278579,0.0,0.0
long_shock_break,ceded_unpaid_proportion,50,0.6158719884997815,0.5230564879199027,-0.09281550057987886,-15.070583223953816
long_shock_no_break,gross_ultimate,50,2272664302.9795537,2272664302.9795537,0.0,0.0
long_shock_no_break,ceded_ultimate,50,730651713.8414134,427793114.4861745,-302858599.35523885,-41.45047409291012
long_shock_no_break,retained_ultimate,50,1542012589.1381402,1844871188.4933789,302858599.3552387,19.640475148423533
long_shock_no_break,ceded_share,50,0.3213584225300675,0.18796565534382753,-0.13339276718624,-41.50903098665766
long_shock_no_break,attaching_claims,50,510.16,265.2,-244.96000000000004,-48.01630860906383
long_shock_no_break,attachment_frequency,50,0.6857726437932399,0.3564550688992006,-0.3293175748940393,-48.02139278587619
long_shock_no_break,exhausting_claims,50,30.42,11.24,-19.18,-63.05062458908613
long_shock_no_break,exhaustion_frequency,50,0.04088745026444462,0.01510030649214311,-0.025787143772301506,-63.068603215705494
long_shock_no_break,ceded_paid_to_date,50,208305046.02344283,157249215.81475922,-51055830.20868361,-24.510126462773126
long_shock_no_break,ceded_true_reserve,50,522346667.8179705,270543898.6714153,-251802769.1465552,-48.20606402993355
long_shock_no_break,retained_true_reserve,50,466926957.8356297,718729726.9821848,251802769.14655507,53.92765718941336
