scenario_id,simulation_id,seed,treaty_variant,accident_year,gross_ultimate,ceded_ultimate,retained_ultimate,gross_paid_to_date,ceded_paid_to_date,retained_paid_to_date,gross_true_reserve,ceded_true_reserve,retained_true_reserve,indexed_attachment,indexed_limit,inflation_index_value,applied_index_factor,claim_count,attaching_claims,exhausting_claims,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,ceded_share,attachment_frequency,exhaustion_frequency,ceded_unpaid_proportion
long_shock_no_break,7,20260823,fully_indexed,2020,196239100.63594437,45974202.83702363,150264897.79892072,84837866.90119204,4306622.589184978,80531244.31200707,111401233.7347523,41667580.247838646,69733653.48691365,2960488.569836689,7401221.424591723,1.4802442849183446,1.4802442849183446,55,25,1,long,shock,False,2000000.0,5000000.0,2010,0.23427646523061324,0.45454545454545453,0.01818181818181818,0.9063252362536495
long_shock_no_break,7,20260823,fully_indexed,2021,210027035.6974308,54601075.04676309,155425960.65066767,74655159.23900619,8540915.04363032,66114244.19537587,135371876.45842463,46060160.003132775,89311716.45529184,3138117.8840268906,7845294.710067227,1.5690589420134453,1.5690589420134453,45,26,2,long,shock,False,2000000.0,5000000.0,2010,0.2599716501518524,0.5777777777777777,0.044444444444444446,0.8435760644581549
long_shock_no_break,7,20260823,fully_indexed,2022,140735750.95227516,30610202.873336203,110125548.07893895,35443088.28617087,0.0,35443088.28617087,105292662.66610429,30610202.8733362,74682459.79276809,3326404.9570685043,8316012.39267126,1.663202478534252,1.663202478534252,36,16,1,long,shock,False,2000000.0,5000000.0,2010,0.21750125796903175,0.4444444444444444,0.027777777777777776,0.9999999999999999
long_shock_no_break,7,20260823,fully_indexed,2023,201310863.8962695,28843121.17995422,172467742.71631527,25027297.690272663,0.0,25027297.690272663,176283566.2059968,28843121.17995422,147440445.02604258,3725573.551916725,9313933.879791813,1.8627867759583625,1.8627867759583625,53,20,0,long,shock,False,2000000.0,5000000.0,2010,0.1432765257756599,0.37735849056603776,0.0,1.0
long_shock_no_break,7,20260823,fully_indexed,2024,194703133.0046425,24925307.288329765,169777825.7163127,2577192.3752037548,0.0,2577192.3752037548,192125940.6294387,24925307.288329765,167200633.34110892,4098130.9071083977,10245327.267770994,2.049065453554199,2.049065453554199,48,11,0,long,shock,False,2000000.0,5000000.0,2010,0.12801698105050754,0.22916666666666666,0.0,1.0
long_stable_break,7,20260823,fixed_nominal,2010,63826408.65503861,11959983.5204362,51866425.13460241,63826408.65503861,11959983.5204362,51866425.13460241,0.0,0.0,0.0,2000000.0,5000000.0,1.0,1.0,32,9,0,long,stable,True,2000000.0,5000000.0,2010,0.1873829935360471,0.28125,0.0,0.0
long_stable_break,7,20260823,fixed_nominal,2011,88939361.97965136,13336706.33646412,75602655.64318722,88939361.97965136,13336706.33646412,75602655.64318722,0.0,0.0,0.0,2000000.0,5000000.0,1.04,1.0,46,15,0,long,stable,True,2000000.0,5000000.0,2010,0.14995279974591516,0.32608695652173914,0.0,0.0
long_stable_break,7,20260823,fixed_nominal,2012,82102242.60305195,13021929.22842769,69080313.37462427,82102242.60305195,13021929.22842769,69080313.37462427,0.0,0.0,0.0,2000000.0,5000000.0,1.0816000000000001,1.0,41,12,0,long,stable,True,2000000.0,5000000.0,2010,0.158606255025044,0.2926829268292683,0.0,0.0
long_stable_break,7,20260823,fixed_nominal,2013,115306389.53192934,19746291.962360464,95560097.56956889,113638502.93333533,19111499.119572204,94527003.81376313,1667886.5985940204,634792.8427882588,1033093.7558057616,2000000.0,5000000.0,1.124864,1.0,54,22,0,long,stable,True,2000000.0,5000000.0,2010,0.17125063097125717,0.4074074074074074,0.0,0.032147445403839556
long_stable_break,7,20260823,fixed_nominal,2014,121542882.95708571,22396176.56563841,99146706.3914473,119158206.38545851,21849349.733385283,97308856.65207323,2384676.5716271964,546826.8322531283,1837849.739374068,2000000.0,5000000.0,1.1698585600000002,1.0,55,20,0,long,stable,True,2000000.0,5000000.0,2010,0.18426563547571964,0.36363636363636365,0.0,0.024416079711217474
long_stable_break,7,20260823,fixed_nominal,2015,148347197.83570546,34495129.01878789,113852068.81691757,134940870.72426993,27045546.361137286,107895324.36313264,13406327.11143554,7449582.6576506095,5956744.45378493,2000000.0,5000000.0,1.2166529024000003,1.0,61,36,1,long,stable,True,2000000.0,5000000.0,2010,0.23252969737245222,0.5901639344262295,0.01639344262295082,0.21596042309605998
long_stable_break,7,20260823,fixed_nominal,2016,91814625.1851111,16008848.411414348,75805776.77369675,74937010.4105052,8242251.9740758445,66694758.43642937,16877614.774605885,7766596.437338505,9111018.337267378,2000000.0,5000000.0,1.2653190184960004,1.0,42,17,0,long,stable,True,2000000.0,5000000.0,2010,0.17436054854156702,0.40476190476190477,0.0,0.48514398023788535
long_stable_break,7,20260823,fixed_nominal,2017,126917148.38540716,26170908.874872908,100746239.51053426,96199842.93937863,10316573.342441421,85883269.59693721,30717305.44602853,15854335.532431487,14862969.91359704,2000000.0,5000000.0,1.3159317792358405,1.0,53,30,0,long,stable,True,2000000.0,5000000.0,2010,0.20620467137663817,0.5660377358490566,0.0,0.6057999593454501
long_stable_break,7,20260823,fixed_nominal,2018,164092549.70895368,27403313.275146294,136689236.43380737,147989675.77136606,21698745.428915597,126290930.34245047,16102873.937587598,5704567.846230697,10398306.091356905,2000000.0,5000000.0,1.368569050405274,1.0,46,23,2,long,stable,True,2000000.0,5000000.0,2010,0.16699913142766554,0.5,0.043478260869565216,0.20817073428140936
long_stable_break,7,20260823,fixed_nominal,2019,90063017.69750482,19757806.026201088,70305211.67130372,71098177.17950642,10197776.55429556,60900400.62521087,18964840.51799839,9560029.47190553,9404811.046092862,2000000.0,5000000.0,1.4233118124214852,1.0,36,21,1,long,stable,True,2000000.0,5000000.0,2010,0.2193775706312856,0.5833333333333334,0.027777777777777776,0.4838608830974374
long_stable_break,7,20260823,fixed_nominal,2020,155191536.0668894,44113951.60996671,111077584.45692271,100622077.38709065,15287831.599861706,85334245.78722896,54569458.67979877,28826120.010105006,25743338.669693764,2000000.0,5000000.0,1.4802442849183446,1.0,55,33,1,long,stable,True,2000000.0,5000000.0,2010,0.2842548809553188,0.6,0.01818181818181818,0.6534467885573029
long_stable_break,7,20260823,fixed_nominal,2021,161904244.60698304,51606477.79474369,110297766.81223936,88207311.49854177,17166818.03235483,71040493.46618694,73696933.1084413,34439659.762388855,39257273.34605244,2000000.0,5000000.0,1.5394540563150785,1.0,45,36,2,long,stable,True,2000000.0,5000000.0,2010,0.31874691068178373,0.8,0.044444444444444446,0.6673514883028243
long_stable_break,7,20260823,fixed_nominal,2022,105609913.96951571,31872729.14362672,73737184.82588899,42570738.04337592,1331978.563996301,41238759.47937962,63039175.92613981,30540750.579630423,32498425.346509386,2000000.0,5000000.0,1.6010322185676817,1.0,36,30,1,long,stable,True,2000000.0,5000000.0,2010,0.30179675321794863,0.8333333333333334,0.027777777777777776,0.9582094599431992
long_stable_break,7,20260823,fixed_nominal,2023,147218222.7265798,41872075.580771625,105346147.14580816,31736118.58965594,0.0,31736118.58965594,115482104.13692386,41872075.580771625,73610028.55615222,2000000.0,5000000.0,1.665073507310389,1.0,53,46,0,long,stable,True,2000000.0,5000000.0,2010,0.2844218249974278,0.8679245283018868,0.0,1.0
