scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successful_fits,failed_fits,success_rate,accuracy_scope,conditional_accuracy_warning
long_shock_no_break,long,shock,False,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
long_shock_no_break,long,shock,False,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_break,long,stable,True,none,cashflow_uplift,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_break,long,stable,True,none,chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_break,long,stable,True,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_break,long,stable,True,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_no_break,long,stable,False,none,cashflow_uplift,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_no_break,long,stable,False,none,chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_no_break,long,stable,False,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
long_stable_no_break,long,stable,False,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False
short_emerging_no_break,short,emerging,False,none,cashflow_uplift,gross,50,50,0,1.0,all_attempts_successful,False
short_emerging_no_break,short,emerging,False,none,chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
short_emerging_no_break,short,emerging,False,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
short_emerging_no_break,short,emerging,False,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False
short_shock_no_break,short,shock,False,none,cashflow_uplift,gross,50,50,0,1.0,all_attempts_successful,False
short_shock_no_break,short,shock,False,none,chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
short_shock_no_break,short,shock,False,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
short_shock_no_break,short,shock,False,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False
short_stable_no_break,short,stable,False,none,cashflow_uplift,gross,50,50,0,1.0,all_attempts_successful,False
short_stable_no_break,short,stable,False,none,chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
short_stable_no_break,short,stable,False,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False
short_stable_no_break,short,stable,False,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False
