model,model_label,basis,mape_15_year_pct,mape_10_year_pct,mape_change_10_minus_15_pp,success_5_year_pct,success_7_year_pct,success_10_year_pct,success_15_year_pct
chain_ladder,Chain Ladder,ceded,33.94556713545,22.612735181138003,-11.332831954311995,0.0,33.333333333333336,33.333333333333336,38.22222222222222
chain_ladder,Chain Ladder,gross,25.899654229852235,8.504724719477338,-17.394929510374897,0.0,33.333333333333336,33.333333333333336,100.0
inflation_adjusted_chain_ladder,Inflation-Adjusted CL,ceded,36.31202607532921,22.655652739194796,-13.656373336134411,0.0,33.333333333333336,33.333333333333336,38.22222222222222
inflation_adjusted_chain_ladder,Inflation-Adjusted CL,gross,29.235339438844026,8.331689758843734,-20.903649680000292,0.0,33.333333333333336,33.333333333333336,100.0
cashflow_uplift,Cashflow Uplift,ceded,36.36694337004463,23.05780729626629,-13.30913607377834,0.0,33.333333333333336,33.333333333333336,38.22222222222222
cashflow_uplift,Cashflow Uplift,gross,29.418039228944455,8.595531107557603,-20.822508121386853,0.0,33.333333333333336,33.333333333333336,100.0
regularized_poisson,Regularized Poisson,ceded,52.59676739286626,198.45852101523116,145.8617536223649,0.0,0.0,100.0,100.0
regularized_poisson,Regularized Poisson,gross,23.650931953030305,52.931883938177585,29.28095198514728,0.0,0.0,100.0,100.0
regularized_poisson_break_interaction,Poisson + Break Interaction,ceded,39.8798248648875,148.8847420894641,109.00491722457662,0.0,0.0,100.0,100.0
regularized_poisson_break_interaction,Poisson + Break Interaction,gross,21.659220195368956,62.93541149347414,41.27619129810519,0.0,0.0,100.0,100.0
regularized_tweedie,Tweedie,ceded,49.48671896729215,156.14333890580153,106.65661993850938,0.0,0.0,100.0,100.0
regularized_tweedie,Tweedie,gross,22.812434325215847,50.14601900066439,27.33358467544854,0.0,0.0,100.0,100.0
