scenario_id,basis,model,break_period,rows,mean_prior_error_pct,median_prior_error_pct,mean_prior_ultimate,mean_true_ultimate
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,350,7.320222208617194,2.5394300378160466,53362405.678167276,52790737.57093629
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,18.101596233667784,4.278805240742263,24317971.04186564,23801987.24024393
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,350,7.320222208617194,2.5394300378160466,53362405.678167276,52790737.57093629
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,400,18.101596233667784,4.278805240742263,24317971.04186564,23801987.24024393
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,350,4.728710778557923,1.7455580097995704,162069705.99720284,160225671.24300957
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,4.4560970976653245,2.409465298030394,117810907.82935017,116213375.75853565
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,350,4.728710778557923,1.7455580097995704,162069705.99720284,160225671.24300957
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,400,4.4560970976653245,2.409465298030394,117810907.82935017,116213375.75853565
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,12.665971668217788,3.0746962063456293,42462955.65419822,41860470.4245352
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,12.665971668217788,3.0746962063456293,42462955.65419822,41860470.4245352
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,4.583897064126536,2.1451953158697457,144382970.14857882,142602458.61376423
long_emerging_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,4.583897064126536,2.1451953158697457,144382970.14857882,142602458.61376423
long_shock_break,ceded,bornhuetter_ferguson_break_aware,post_break,350,6.653358533787979,2.138154183158414,64317981.97561516,63568385.83185332
long_shock_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,17.585876125759565,4.053625379503023,25597137.515618097,25050972.42201878
long_shock_break,ceded,bornhuetter_ferguson_standard,post_break,350,6.653358533787979,2.138154183158414,64317981.97561516,63568385.83185332
long_shock_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,400,17.585876125759565,4.053625379503023,25597137.515618097,25050972.42201878
long_shock_break,gross,bornhuetter_ferguson_break_aware,post_break,350,4.769390826734551,1.7523815049841773,175897419.9653722,173791381.37779388
long_shock_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,4.460361530032924,2.327760443495432,119853635.88839771,118226963.99570397
long_shock_break,gross,bornhuetter_ferguson_standard,post_break,350,4.769390826734551,1.7523815049841773,175897419.9653722,173791381.37779388
long_shock_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,400,4.460361530032924,2.327760443495432,119853635.88839771,118226963.99570397
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,12.094951644671545,3.2511231334790125,49430375.803217255,48710114.256094225
long_shock_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,12.094951644671545,3.2511231334790125,49430375.803217255,48710114.256094225
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,4.601178421377058,2.206631033795383,153438243.11025986,151510953.53197023
long_shock_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,4.601178421377058,2.206631033795383,153438243.11025986,151510953.53197023
long_stable_break,ceded,bornhuetter_ferguson_break_aware,post_break,350,8.520640823601646,3.8219842678000604,42236909.046072796,41830731.35815847
long_stable_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,18.761674566109924,4.858285823960662,23028802.845447496,22547931.66502069
long_stable_break,ceded,bornhuetter_ferguson_standard,post_break,350,8.520640823601646,3.8219842678000604,42236909.046072796,41830731.35815847
long_stable_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,400,18.761674566109924,4.858285823960662,23028802.845447496,22547931.66502069
long_stable_break,gross,bornhuetter_ferguson_break_aware,post_break,350,4.678966537056244,1.6710819757321644,147757653.5995176,146189613.01176396
long_stable_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,4.450103267723742,2.357738930461127,115605793.12807861,114041456.90907554
long_stable_break,gross,bornhuetter_ferguson_standard,post_break,350,4.678966537056244,1.6710819757321644,147757653.5995176,146189613.01176396
long_stable_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,400,4.450103267723742,2.357738930461127,115605793.12807861,114041456.90907554
long_stable_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,13.586903408854788,4.180367342425173,34553215.46155201,34078596.58447661
long_stable_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,13.586903408854788,4.180367342425173,34553215.46155201,34078596.58447661
long_stable_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,4.556906126745579,2.0486921644973846,134108008.4425908,132504821.73516719
long_stable_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,4.556906126745579,2.0486921644973846,134108008.4425908,132504821.73516719
short_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,21.43555800628705,5.529532118913785,25366568.689126838,25028962.775433704
short_emerging_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,21.43555800628705,5.529532118913785,25366568.689126838,25028962.775433704
short_emerging_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,4.533780278286123,1.9269699467756127,117642013.48789293,116246932.45101221
short_emerging_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,4.533780278286123,1.9269699467756127,117642013.48789293,116246932.45101221
short_shock_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,21.15664137599201,5.434999098537853,27448268.484011736,27093143.9810288
short_shock_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,21.15664137599201,5.434999098537853,27448268.484011736,27093143.9810288
short_shock_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,4.534239437205547,1.917555428738871,120275410.02119045,118831846.13644142
short_shock_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,4.534239437205547,1.917555428738871,120275410.02119045,118831846.13644142
short_stable_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,21.866171078209298,5.811347954524494,23464886.878092192,23147612.323561143
short_stable_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,21.866171078209298,5.811347954524494,23464886.878092192,23147612.323561143
short_stable_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,4.5295930413541905,1.9454591406511592,114935581.98529702,113593123.59254791
short_stable_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,4.5295930413541905,1.9454591406511592,114935581.98529702,113593123.59254791
