scenario_id,model,basis,history_window_years,scheduled_fits,successful_fits,conditional_mpe_pct,conditional_mape_pct
short_emerging_no_break,inflation_adjusted_chain_ladder,gross,5.0,50.0,0.0,,
short_emerging_no_break,cashflow_uplift,gross,5.0,50.0,0.0,,
short_emerging_no_break,regularized_poisson,gross,5.0,50.0,0.0,,
short_emerging_no_break,regularized_poisson_break_interaction,gross,5.0,50.0,0.0,,
short_emerging_no_break,regularized_tweedie,gross,5.0,50.0,0.0,,
short_emerging_no_break,chain_ladder,ceded,15.0,50.0,50.0,-1.5830373753034486,20.666275354635363
short_emerging_no_break,inflation_adjusted_chain_ladder,ceded,15.0,50.0,50.0,0.6227243931925238,20.914821504561537
short_emerging_no_break,cashflow_uplift,ceded,15.0,50.0,50.0,1.5804578619879248,20.80513290759801
short_emerging_no_break,regularized_poisson,ceded,15.0,50.0,50.0,1.69870382366809,20.370924755569856
short_emerging_no_break,regularized_poisson_break_interaction,ceded,15.0,50.0,50.0,1.6987041416885518,20.370925076458022
short_emerging_no_break,regularized_tweedie,ceded,15.0,50.0,50.0,0.6955766953366534,19.84516767596454
short_emerging_no_break,chain_ladder,ceded,10.0,50.0,50.0,-0.35380314706895805,22.209916025310346
short_emerging_no_break,inflation_adjusted_chain_ladder,ceded,10.0,50.0,50.0,1.1776642804175024,22.476883386877955
short_emerging_no_break,cashflow_uplift,ceded,10.0,50.0,50.0,2.8729188027362547,22.81962414784544
short_emerging_no_break,regularized_poisson,ceded,10.0,50.0,50.0,1.7493993472142266,19.3879191740042
short_emerging_no_break,regularized_poisson_break_interaction,ceded,10.0,50.0,50.0,1.7493995302818655,19.38791859917123
short_emerging_no_break,regularized_tweedie,ceded,10.0,50.0,50.0,-0.16715817164867075,19.468798818515523
short_emerging_no_break,chain_ladder,ceded,7.0,50.0,50.0,1.3857495243400655,24.45659071127691
short_emerging_no_break,inflation_adjusted_chain_ladder,ceded,7.0,50.0,50.0,1.8889810860141734,24.897648601548266
short_emerging_no_break,cashflow_uplift,ceded,7.0,50.0,50.0,4.673444400309156,25.23373967485231
short_emerging_no_break,regularized_poisson,ceded,7.0,50.0,0.0,,
short_emerging_no_break,regularized_poisson_break_interaction,ceded,7.0,50.0,0.0,,
short_emerging_no_break,regularized_tweedie,ceded,7.0,50.0,0.0,,
short_emerging_no_break,chain_ladder,ceded,5.0,50.0,0.0,,
short_emerging_no_break,inflation_adjusted_chain_ladder,ceded,5.0,50.0,0.0,,
short_emerging_no_break,cashflow_uplift,ceded,5.0,50.0,0.0,,
short_emerging_no_break,regularized_poisson,ceded,5.0,50.0,0.0,,
short_emerging_no_break,regularized_poisson_break_interaction,ceded,5.0,50.0,0.0,,
short_emerging_no_break,regularized_tweedie,ceded,5.0,50.0,0.0,,
short_shock_no_break,chain_ladder,gross,15.0,50.0,50.0,-3.4029545949494895,8.78938368983922
short_shock_no_break,inflation_adjusted_chain_ladder,gross,15.0,50.0,50.0,1.101395424669758,8.871846536474564
short_shock_no_break,cashflow_uplift,gross,15.0,50.0,50.0,1.7051263280076063,8.925499968541107
short_shock_no_break,regularized_poisson,gross,15.0,50.0,50.0,2.1799726459205333,12.172738798237509
short_shock_no_break,regularized_poisson_break_interaction,gross,15.0,50.0,50.0,2.179978250361495,12.172740658934813
short_shock_no_break,regularized_tweedie,gross,15.0,50.0,50.0,2.6974929788244584,13.948839022728482
short_shock_no_break,chain_ladder,gross,10.0,50.0,50.0,-2.4262387906665523,8.65949783256332
short_shock_no_break,inflation_adjusted_chain_ladder,gross,10.0,50.0,50.0,0.7511220609512645,8.354730438707541
short_shock_no_break,cashflow_uplift,gross,10.0,50.0,50.0,2.74410354662332,8.809100647766499
