analysis_type,comparison_id,experiment_step,source_file,analysis_family,scenario_id,basis,model_a,model_b,sensitivity_a,sensitivity_b,required_pairs,valid_pairs,excluded_pairs,mean_ape_a,mean_ape_b,mean_paired_difference,median_paired_difference,std_paired_difference,win_rate_a,win_rate_b,tie_rate,bootstrap_ci_lower,bootstrap_ci_upper,inference_direction,group_type,pool_label
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_shock_no_break,gross,regularized_poisson_break_interaction,regularized_poisson,,,50,50,0,12.172741677812596,12.172741214902532,4.629100633857242e-07,4.13510115038207e-10,1.2230581746963732e-05,0.42,0.56,0.02,-3.129982402112925e-06,3.601003405451997e-06,includes_zero,scenario_basis,
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_stable_no_break,ceded,regularized_poisson_break_interaction,regularized_poisson,,,50,50,0,19.75950669449554,19.75950709497345,-4.004779221800092e-07,-4.440892098500626e-14,2.8207228929969976e-06,0.36,0.28,0.36,-1.2043418104626946e-06,6.715132665813243e-09,includes_zero,scenario_basis,
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_stable_no_break,gross,regularized_poisson_break_interaction,regularized_poisson,,,50,50,0,11.824110400433907,11.824109037983623,1.3624502804329695e-06,2.7670921110001245e-12,8.316193253760228e-06,0.46,0.52,0.02,-1.4601117783892557e-07,4.017979754259305e-06,includes_zero,scenario_basis,
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,__pooled__,ceded,regularized_poisson_break_interaction,regularized_poisson,,,150,150,0,63.66743472089637,108.74463609969878,-45.07720137880241,-40.97246669626064,23.83631132175701,0.9666666666666668,0.0333333333333333,0.0,-48.8566066929283,-41.33200871136861,favors_A,pooled_structural_basis,break
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,__pooled__,ceded,regularized_poisson_break_interaction,regularized_poisson,,,300,300,0,26.460524185423505,26.46052410275462,8.266888451606095e-08,0.0,2.349939574544514e-06,0.3266666666666666,0.3966666666666666,0.2766666666666666,-1.5668730276048128e-07,3.639160816213959e-07,includes_zero,pooled_structural_basis,no_break
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,__pooled__,gross,regularized_poisson_break_interaction,regularized_poisson,,,150,150,0,48.67394850350495,51.61195421080796,-2.938005707303,-2.916803329190831,8.41891059867108,0.6933333333333334,0.3066666666666666,0.0,-4.262576754703263,-1.6374504412145328,favors_A,pooled_structural_basis,break
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,__pooled__,gross,regularized_poisson_break_interaction,regularized_poisson,,,300,300,0,10.341420989615228,10.341428350021244,-7.360406012626395e-06,6.479572434159309e-11,9.136257370717104e-05,0.4733333333333333,0.52,0.0066666666666666,-1.8287585260939067e-05,2.4568972609009025e-06,includes_zero,pooled_structural_basis,no_break
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,105.46914325269876,119.20571933714804,-13.736576084449258,-4.107774802099087,30.57254659925341,0.82,0.18,0.0,-22.36511344008824,-5.425787887514925,favors_A,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,34.706781490384714,43.36001361196232,-8.653232121577608,-7.107162934294745,8.66102316751349,0.84,0.16,0.0,-11.128636408416105,-6.336843996641138,favors_A,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_no_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,33.471785044563205,39.58659946692973,-6.114814422366512,1.1181024375585888,27.110380640796883,0.36,0.64,0.0,-14.521224688237496,0.4526368137183509,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_no_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,11.57975121743153,10.341576073790376,1.238175143641156,1.3603740775172035,6.549236914508748,0.36,0.64,0.0,-0.566969344359341,3.033920213617721,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,82.74562832941736,96.50452811951016,-13.758899790092803,-5.550509816705841,24.91238853735853,0.92,0.08,0.0,-20.503584811589267,-7.0381582355605525,favors_A,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,50.55345320976579,53.720737129996834,-3.1672839202310428,-1.911868802777512,8.241669338835715,0.68,0.32,0.0,-5.458614170491548,-0.9190600189739628,favors_A,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_no_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,28.429622073418127,27.397423234596094,1.0321988388220331,1.0035598944091555,19.50998771607264,0.32,0.68,0.0,-4.503434272830129,6.019262682410441,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_no_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,5.82539971489986,6.06211220802678,-0.2367124931269208,-1.2880825212797486,5.087821291051227,0.62,0.38,0.0,-1.5727941644283543,1.176998862183299,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,103.72748887734356,110.52366174499306,-6.796172867649514,-2.5543754778105523,19.26094724018033,0.84,0.16,0.0,-12.228534407511065,-1.478627612837023,favors_A,scenario_basis,
