scenario_id,model,basis,prior_multiplier,successful_fits,conditional_mpe_pct,conditional_mape_pct
long_shock_break,bornhuetter_ferguson_break_aware,ceded,1.0,50.0,-45.33903085717448,45.33903085717448
long_shock_break,bornhuetter_ferguson_break_aware,ceded,1.1,50.0,-39.872933942891905,39.872933942891905
long_shock_break,bornhuetter_ferguson_break_aware,ceded,1.2,50.0,-34.40683702860936,34.40683702860936
long_shock_break,bornhuetter_ferguson_standard,ceded,0.8,50.0,-44.67106222239681,44.67106222239681
long_shock_break,bornhuetter_ferguson_standard,ceded,0.9,50.0,-37.75494500019641,37.75494500019641
long_shock_break,bornhuetter_ferguson_standard,ceded,1.0,50.0,-30.838827777996006,30.838827777996006
long_shock_break,bornhuetter_ferguson_standard,ceded,1.1,50.0,-23.922710555795607,23.922710555795607
long_shock_break,bornhuetter_ferguson_standard,ceded,1.2,50.0,-17.006593333595198,17.006593333595198
long_shock_break,expected_loss,ceded,0.8,50.0,-22.896348391666944,22.896348391666944
long_shock_break,expected_loss,ceded,0.9,50.0,-8.54150194902336,11.362116771349918
long_shock_break,expected_loss,ceded,1.0,50.0,6.4505348769705915,10.320734352298166
long_shock_break,expected_loss,ceded,1.1,50.0,21.870757732307396,21.870757732307396
long_shock_break,expected_loss,ceded,1.2,50.0,37.61855923821599,37.61855923821599
long_shock_break,bornhuetter_ferguson_break_aware,gross,0.8,50.0,-42.698990421945766,42.698990421945766
long_shock_break,bornhuetter_ferguson_break_aware,gross,0.9,50.0,-35.53636422468899,35.53636422468899
long_shock_break,bornhuetter_ferguson_break_aware,gross,1.0,50.0,-28.3737380274322,28.3737380274322
long_shock_break,bornhuetter_ferguson_break_aware,gross,1.1,50.0,-21.211111830175415,21.211111830175415
long_shock_break,bornhuetter_ferguson_break_aware,gross,1.2,50.0,-14.048485632918643,14.149284944412647
long_shock_break,bornhuetter_ferguson_standard,gross,0.8,50.0,-25.27698126736557,25.27698126736557
long_shock_break,bornhuetter_ferguson_standard,gross,0.9,50.0,-15.936603925786274,15.936603925786274
long_shock_break,bornhuetter_ferguson_standard,gross,1.0,50.0,-6.596226584206987,8.185151420696798
long_shock_break,bornhuetter_ferguson_standard,gross,1.1,50.0,2.744150757372333,6.625675590710565
long_shock_break,bornhuetter_ferguson_standard,gross,1.2,50.0,12.08452809895162,12.522526662548414
long_shock_break,expected_loss,gross,0.8,50.0,-33.64914910146856,33.64914910146856
long_shock_break,expected_loss,gross,0.9,50.0,-13.459094735610766,14.908990796652706
long_shock_break,expected_loss,gross,1.0,50.0,9.958489122514782,13.706466377165818
long_shock_break,expected_loss,gross,1.1,50.0,35.581501496728244,35.581501496728244
long_shock_break,expected_loss,gross,1.2,50.0,63.29862461512367,63.29862461512367
long_shock_no_break,bornhuetter_ferguson_break_aware,ceded,0.8,50.0,-51.03181523517903,51.03181523517903
long_shock_no_break,bornhuetter_ferguson_break_aware,ceded,0.9,50.0,-44.91079213957641,44.91079213957641
long_shock_no_break,bornhuetter_ferguson_break_aware,ceded,1.0,50.0,-38.78976904397377,38.78976904397377
