simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error,pricing_assumption_version
15,20260831,short_stable_no_break,constant,short,stable,False,none,chain_ladder,gross,1683593750.827911,127696575.13080329,1811290325.9587145,128073999.58847602,,0.0456394580005508,success,,,True,True,377424.4576727301,377424.4576727301,0.295563492823612,0.295563492823612,0.0029556349282361,
15,20260831,short_stable_no_break,constant,short,stable,False,none,chain_ladder,ceded,351724586.4429856,50351765.20084126,402076351.6438269,68227916.77091123,,0.0429563679999773,success,,,True,True,17876151.57006997,17876151.57006997,35.50253203391428,35.50253203391428,0.3550253203391427,
15,20260831,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1683593750.827911,127696575.13080329,1811290325.9587145,128681083.5734904,0.001,3.1122802730005787,success,,,True,True,984508.442687124,984508.442687124,0.7709748219000107,0.7709748219000107,0.0077097482190001,
15,20260831,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,351724586.4429856,50351765.20084126,402076351.6438269,56787225.69071701,0.001,3.0351017120001416,success,,,True,True,6435460.489875741,6435460.489875741,12.781002739836852,12.781002739836852,0.1278100273983685,
15,20260831,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,gross,1711832083.5669985,141931759.932108,1853763843.4991064,138816185.51457435,,0.0581640039999911,success,,,True,True,-3115574.417533666,3115574.417533666,-2.19512138722438,2.19512138722438,-0.0219512138722438,
15,20260831,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,ceded,366018258.5919321,64784910.56973085,430803169.1616629,81284504.5131491,,0.0418478379997395,success,,,True,True,16499593.94341825,16499593.94341825,25.468266913263715,25.468266913263715,0.2546826691326371,
15,20260831,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,gross,1711832083.5669985,141931759.932108,1853763843.4991064,127038296.3694064,0.0001,2.96637734199976,success,,,True,True,-14893463.562701613,14893463.562701613,-10.493397369148235,10.493397369148235,-0.1049339736914823,
15,20260831,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,ceded,366018258.5919321,64784910.56973085,430803169.1616629,61696945.87133774,0.0001,2.9242323009993925,success,,,True,True,-3087964.6983931065,3087964.6983931065,-4.766487552791161,4.766487552791161,-0.0476648755279116,
15,20260831,short_shock_no_break,constant,short,shock,False,none,chain_ladder,gross,1736869674.954896,159169676.1087862,1896039351.0636823,152222539.9044953,,0.0616636590002599,success,,,True,True,-6947136.204290897,6947136.204290897,-4.364610379393373,4.364610379393373,-0.0436461037939337,
15,20260831,short_shock_no_break,constant,short,shock,False,none,chain_ladder,ceded,377575077.440326,85237534.42865795,462812611.868984,96733689.43659092,,0.0521409949997178,success,,,True,True,11496155.00793296,11496155.00793296,13.487197963891138,13.487197963891138,0.1348719796389113,
