simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,seed,pricing_assumption_version
1,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,314625952.7149416,137675538.21388325,176950414.50105837,176950414.50105837,128.5271274742797,128.5271274742797,0.010788416000650614,20260817,pricing_mc_v1
1,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,120192920.12553689,55892585.70819511,64300334.417341776,64300334.417341776,115.04269055119755,115.04269055119755,0.009639693998906296,20260817,pricing_mc_v1
2,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,218807600.85489717,107139513.3591665,111668087.49573067,111668087.49573067,104.22680110687354,104.22680110687354,0.008592300000600517,20260818,pricing_mc_v1
2,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,90784676.05799615,53582073.925859615,37202602.13213654,37202602.13213654,69.43106043937941,69.43106043937941,0.008110840999506763,20260818,pricing_mc_v1
3,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,221958684.44586658,95306481.37821576,126652203.06765082,126652203.06765082,132.88939139935533,132.88939139935533,0.009131703000093694,20260819,pricing_mc_v1
3,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,90906530.18465924,52023753.56578843,38882776.61887081,38882776.61887081,74.7404290420918,74.7404290420918,0.008696815000803326,20260819,pricing_mc_v1
4,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,274383973.8372873,106710580.614353,167673393.2229343,167673393.2229343,157.12911714809053,157.12911714809053,0.00790122699982021,20260820,pricing_mc_v1
4,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,132016486.78604153,45183225.50441329,86833261.28162824,86833261.28162824,192.18030654572624,192.18030654572624,0.008501842999976361,20260820,pricing_mc_v1
5,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,231510896.74315703,85060362.03905159,146450534.70410544,146450534.70410544,172.17247986420438,172.17247986420438,0.009498602999883587,20260821,pricing_mc_v1
5,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,84633090.82236701,49839749.2811976,34793341.54116941,34793341.54116941,69.8104265028786,69.8104265028786,0.0084285840002849,20260821,pricing_mc_v1
6,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,250632776.88424376,94964480.43920985,155668296.4450339,155668296.4450339,163.9226537386078,163.9226537386078,0.007865895000577439,20260822,pricing_mc_v1
6,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,123728059.64021039,50537310.763940305,73190748.87627009,73190748.87627009,144.8251752416031,144.8251752416031,0.008263529000032577,20260822,pricing_mc_v1
7,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,323088352.47214305,104740484.08948034,218347868.3826627,218347868.3826627,208.4655902450546,208.4655902450546,0.008745450999413151,20260823,pricing_mc_v1
7,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,120383270.94196734,46350552.50131959,74032718.44064775,74032718.44064775,159.7234864428856,159.7234864428856,0.00856625000051281,20260823,pricing_mc_v1
8,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,186263382.95130605,121245396.88591947,65017986.06538658,65017986.06538658,53.62511710573425,53.62511710573425,0.008571520998884807,20260824,pricing_mc_v1
8,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,72824855.84717096,55435028.83808475,17389827.009086214,17389827.009086214,31.36974467872762,31.36974467872762,0.00879821600028663,20260824,pricing_mc_v1
9,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,231804438.39333913,106743155.20665479,125061283.18668434,125061283.18668434,117.16093921391554,117.16093921391554,0.008495379999658326,20260825,pricing_mc_v1
9,short_stable_no_break,short,stable,False,none,expected_loss,ceded,success,88079123.26767403,55145937.14233,32933186.12534403,32933186.12534403,59.72005886915018,59.72005886915018,0.008226222000303096,20260825,pricing_mc_v1
10,short_stable_no_break,short,stable,False,none,expected_loss,gross,success,176407300.00249517,134674853.39260998,41732446.609885186,41732446.609885186,30.987556740251236,30.987556740251236,0.015292022000721772,20260826,pricing_mc_v1
