comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,group_type,pool_label
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_stable_no_break,gross,50,50,0,{},0.0,23,26,1,10000,3409059219,1e-12,11.824110400433907,11.824109037983623,1.3624502804329697e-06,2.7670921110001245e-12,8.316193253760228e-06,0.46,0.52,-1.4601117783892557e-07,4.017979754259305e-06,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,ceded,150,150,0,{},0.0,145,5,0,10000,1697636127,1e-12,63.66743472089637,108.74463609969878,-45.07720137880241,-40.97246669626064,23.83631132175701,0.9666666666666667,0.03333333333333333,-48.8566066929283,-41.33200871136861,pooled_structural_basis,break
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,ceded,300,300,0,{},0.0,98,119,83,10000,2540801634,1e-12,26.460524185423502,26.46052410275462,8.266888451606095e-08,0.0,2.349939574544514e-06,0.32666666666666666,0.39666666666666667,-1.5668730276048126e-07,3.639160816213959e-07,pooled_structural_basis,no_break
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,gross,150,150,0,{},0.0,104,46,0,10000,1703190541,1e-12,48.673948503504946,51.61195421080796,-2.9380057073029997,-2.916803329190831,8.41891059867108,0.6933333333333334,0.30666666666666664,-4.262576754703263,-1.6374504412145328,pooled_structural_basis,break
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,gross,300,300,0,{},0.0,142,156,2,10000,77866172,1e-12,10.341420989615228,10.341428350021243,-7.360406012626395e-06,6.479572434159309e-11,9.136257370717103e-05,0.47333333333333333,0.52,-1.8287585260939067e-05,2.4568972609009025e-06,pooled_structural_basis,no_break
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_emerging_break,ceded,50,50,0,{},0.0,41,9,0,10000,1710593862,1e-12,105.46914325269877,119.20571933714804,-13.736576084449258,-4.107774802099087,30.572546599253414,0.82,0.18,-22.365113440088233,-5.425787887514925,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_emerging_break,gross,50,50,0,{},0.0,42,8,0,10000,2561184578,1e-12,34.706781490384714,43.360013611962316,-8.653232121577608,-7.107162934294745,8.66102316751349,0.84,0.16,-11.128636408416103,-6.336843996641138,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_emerging_no_break,ceded,50,50,0,{},0.0,18,32,0,10000,161580202,1e-12,33.471785044563205,39.58659946692973,-6.114814422366512,1.1181024375585888,27.110380640796883,0.36,0.64,-14.521224688237497,0.45263681371835096,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_emerging_no_break,gross,50,50,0,{},0.0,18,32,0,10000,3656002013,1e-12,11.57975121743153,10.341576073790375,1.2381751436411559,1.3603740775172035,6.5492369145087475,0.36,0.64,-0.566969344359341,3.0339202136177206,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_break,ceded,50,50,0,{},0.0,46,4,0,10000,1097748407,1e-12,82.74562832941736,96.50452811951016,-13.758899790092803,-5.550509816705841,24.91238853735853,0.92,0.08,-20.503584811589267,-7.0381582355605525,scenario_basis,
