comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,required_pairs,rows_present_a,rows_present_b,attempts_a,successful_fits_a,success_rate_a,attempts_b,successful_fits_b,success_rate_b,unconditional_success_rate_a,unconditional_success_rate_b,both_success_pair_count,either_failed_pair_count,structurally_not_applicable_count,not_applicable_a,not_applicable_b,group_type,pool_label,model,shorter_window_years,longer_window_years,prior_multiplier_a,prior_multiplier_b
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_shock_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_stable_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_shock_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_stable_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_stable_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,short_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,short_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,short_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_stable_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,short_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,short_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,short_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,50,50,50,50,0,0.0,50,7,0.14,0.0,0.14,0,50,0,0,0,scenario_basis_model,,cashflow_uplift,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,50,50,50,50,0,0.0,50,7,0.14,0.0,0.14,0,50,0,0,0,scenario_basis_model,,chain_ladder,10.0,15.0,,
