comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,simulation_id,basis,truth_a,ape_a,success_a,applicable_a,fit_attempted_a,failure_detail_a,structural_break_a,truth_b,ape_b,success_b,applicable_b,fit_attempted_b,failure_detail_b,structural_break_b,present_a,present_b,truth_absolute_difference,truth_matches,structural_break,exclusion_reason,included_in_accuracy,paired_ape_difference,pair_outcome,group_type,pool_label
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,9,gross,671990795.7794588,32.81448927457562,True,True,True,,True,671990795.7794588,43.170981910436616,True,True,True,,True,True,True,0.0,True,True,included,True,-10.356492635860995,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,10,ceded,341665288.94157326,67.73232330839163,True,True,True,,True,341665288.94157326,106.4693390941549,True,True,True,,True,True,True,0.0,True,True,included,True,-38.737015785763276,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,10,gross,753339760.4341314,62.18963019749809,True,True,True,,True,753339760.4341314,50.58690146298751,True,True,True,,True,True,True,0.0,True,True,included,True,11.602728734510578,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,11,ceded,347078090.3447683,47.79871448291672,True,True,True,,True,347078090.3447683,87.13291529933429,True,True,True,,True,True,True,0.0,True,True,included,True,-39.334200816417564,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,11,gross,686489796.4635129,46.128798332632485,True,True,True,,True,686489796.4635129,48.391608254173335,True,True,True,,True,True,True,0.0,True,True,included,True,-2.2628099215408497,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,12,ceded,325126140.5975814,93.9453911067539,True,True,True,,True,325126140.5975814,145.63548395019123,True,True,True,,True,True,True,0.0,True,True,included,True,-51.69009284343733,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,12,gross,666743048.8152063,34.580083547570105,True,True,True,,True,666743048.8152063,26.92577793523931,True,True,True,,True,True,True,0.0,True,True,included,True,7.654305612330795,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,13,ceded,337192029.1110455,120.74080287661135,True,True,True,,True,337192029.1110455,172.47145309344486,True,True,True,,True,True,True,0.0,True,True,included,True,-51.73065021683351,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,13,gross,674726389.3585835,61.326052052646304,True,True,True,,True,674726389.3585835,56.80143762930589,True,True,True,,True,True,True,0.0,True,True,included,True,4.524614423340417,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,14,ceded,307592092.7292216,126.09144749894902,True,True,True,,True,307592092.7292216,190.7113968344192,True,True,True,,True,True,True,0.0,True,True,included,True,-64.61994933547017,model_a_win,scenario_basis,
