comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_shock_no_break,gross,,50,-0.2367124931269208,-1.5727941644283543,1.176998862183299,10000,1054399292
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_stable_break,ceded,,50,-6.796172867649514,-12.228534407511065,-1.478627612837023,10000,2326276272
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_stable_break,gross,,50,-2.304644894317391,-3.9817279343421044,-0.765286137320082,10000,3579307697
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_stable_no_break,ceded,,50,-1.7280992600622884,-5.497672339720256,1.541967109536723,10000,593763611
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_stable_no_break,gross,,50,-0.26417139224930614,-0.9091293840834932,0.3228994674397633,10000,2054647627
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,short_emerging_no_break,ceded,,50,-0.5257570796053175,-2.974454933034032,1.7854418003180572,10000,241097955
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,short_emerging_no_break,gross,,50,1.365919742762564,-0.8434368525929494,3.7937677753734373,10000,2032648771
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,short_shock_no_break,ceded,,50,2.217436844382299,0.3233170744376541,4.3427340139776245,10000,4006990368
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,short_shock_no_break,gross,,50,1.7761002244909716,-0.3993734100111271,4.313119716997203,10000,3044660174
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,short_stable_no_break,ceded,,50,4.064149355958214,1.3092454227721915,7.845030451028367,10000,1202300852
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,short_stable_no_break,gross,,50,1.1602637506554072,-0.0730491675245455,2.342289463645185,10000,3409059219
