comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,prior_multiplier_a,prior_multiplier_b,group_type,pool_label
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,2200847234,1e-12,42.698990421945766,28.3737380274322,14.325252394513567,14.27164994827968,1.117183602666553,0.0,1.0,14.022473857623162,14.632831269311412,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1065947556,1e-12,25.27698126736557,8.185151420696798,17.09182984666878,18.003469421775698,3.783199967713903,0.0,1.0,15.941381849140912,18.015905210048732,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_break,gross,expected_loss,50,50,0,{},0.0,7,43,0,10000,992811559,1e-12,33.64914910146856,13.706466377165818,19.942682724302742,25.525744648090484,18.18362161617917,0.14,0.86,14.61087090754878,24.77262425289137,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,3340827190,1e-12,51.03181523517903,38.78976904397377,12.24204619120525,12.146629727299256,0.8855562101463254,0.0,1.0,12.001942306916167,12.491349864836566,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1040151302,1e-12,51.03181523517903,38.78976904397377,12.24204619120525,12.146629727299256,0.8855562101463254,0.0,1.0,12.00521170333209,12.480582424033413,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_no_break,ceded,expected_loss,50,50,0,{},0.0,11,39,0,10000,536418586,1e-12,21.007174599674673,8.580187778594057,12.426986821080613,16.916338105984533,13.066165070232335,0.22,0.78,8.81270734109316,15.945464290976632,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,2317884869,1e-12,38.056084107458354,22.57010513432293,15.485978973135415,15.422128411418258,1.11256811362339,0.0,1.0,15.174248000795481,15.79489407346836,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_no_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,4120843223,1e-12,38.056084107458354,22.57010513432293,15.485978973135415,15.422128411418258,1.11256811362339,0.0,1.0,15.181187908824022,15.790075641535017,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_shock_no_break,gross,expected_loss,50,50,0,{},0.0,6,44,0,10000,2341362140,1e-12,30.09302038651259,11.098094737026477,18.994925649486106,22.908958007053634,15.100130179494588,0.12,0.88,14.650267160965557,23.023740341867843,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,3909700391,1e-12,56.523840197946875,45.65480024743361,10.869039950513274,10.884617738204387,0.9547189165659632,0.0,1.0,10.610346854755766,11.133799902786416,0.8,1.0,scenario_basis_model,
