scenario_id,simulation_id,gross_ultimate_a,success_a,ceded_ultimate_a,ceded_true_reserve_a,ceded_share_a,attachment_frequency_a,exhaustion_frequency_a,gross_ultimate_b,success_b,ceded_ultimate_b,ceded_true_reserve_b,ceded_share_b,attachment_frequency_b,exhaustion_frequency_b,present_a,present_b,gross_ultimate_absolute_difference,included_in_mechanics,exclusion_reason,ceded_ultimate_difference_a_minus_b,ceded_true_reserve_difference_a_minus_b,ceded_share_difference_a_minus_b,attachment_frequency_difference_a_minus_b,exhaustion_frequency_difference_a_minus_b,variant_a,variant_b
long_emerging_break,1,1887118589.180332,True,289927709.2314075,163370201.73996615,0.1536351297124031,0.2553802008608321,0.0143472022955523,1887118589.180332,True,490879403.93790746,305729466.5237079,0.2601211215619048,0.6054519368723099,0.0315638450502152,True,True,0.0,True,included,-200951694.70649993,-142359264.78374177,-0.10648599184950172,-0.35007173601147784,-0.0172166427546629,fully_indexed,fixed_nominal
long_emerging_break,2,2008910746.7625828,True,325955304.9828791,170853971.378307,0.1622547470106202,0.2803234501347709,0.0094339622641509,2008910746.7625828,True,547708454.603282,332662627.84441507,0.2726395164573288,0.6132075471698113,0.0256064690026954,True,True,0.0,True,included,-221753149.62040287,-161808656.46610805,-0.11038476944670861,-0.3328840970350404,-0.0161725067385445,fully_indexed,fixed_nominal
long_emerging_break,3,2051853124.064152,True,355479238.40140384,143542188.1507541,0.1732478968559396,0.303595206391478,0.0093209054593874,2051853124.064152,True,601254738.0782208,320146536.2610667,0.2930301058232189,0.625832223701731,0.0279627163781624,True,True,0.0,True,included,-245775499.676817,-176604348.11031258,-0.11978220896727931,-0.32223701731025295,-0.018641810918775,fully_indexed,fixed_nominal
long_emerging_break,4,1916525146.8759384,True,263032240.3700244,132511325.11400738,0.137244345997121,0.2692307692307692,0.0082417582417582,1916525146.8759384,True,484833675.40801656,291028961.26191354,0.2529753790073286,0.6057692307692307,0.0219780219780219,True,True,0.0,True,included,-221801435.03799215,-158517636.14790615,-0.1157310330102076,-0.3365384615384615,-0.0137362637362637,fully_indexed,fixed_nominal
long_emerging_break,5,2041870589.0474548,True,331071861.5511542,127104461.73398468,0.1621414517291231,0.3025780189959294,0.0149253731343283,2041870589.0474548,True,553859410.2157785,289187037.30433095,0.2712509858296932,0.6092265943012212,0.0298507462686567,True,True,0.0,True,included,-222787548.66462427,-162082575.57034627,-0.10910953410057012,-0.30664857530529177,-0.014925373134328398,fully_indexed,fixed_nominal
long_emerging_break,6,2009000740.6809103,True,278919636.1899764,129534357.58089532,0.1388350091376483,0.2684563758389262,0.0147651006711409,2009000740.6809103,True,490791899.6047671,289354248.35185045,0.2442965249671451,0.6067114093959731,0.0255033557046979,True,True,0.0,True,included,-211872263.4147907,-159819890.77095515,-0.10546151582949681,-0.33825503355704695,-0.010738255033557,fully_indexed,fixed_nominal
long_emerging_break,7,1908084108.914338,True,280336280.19561464,136071507.75439516,0.146920295015255,0.2759601706970128,0.0071123755334281,1908084108.914338,True,500183319.2770736,299182332.8180119,0.2621390309474711,0.615931721194879,0.0199146514935988,True,True,0.0,True,included,-219847039.081459,-163110825.06361672,-0.1152187359322161,-0.33997155049786626,-0.012802275960170698,fully_indexed,fixed_nominal
long_emerging_break,8,2179948453.700713,True,359012535.04089147,165342857.39166722,0.1646885431769849,0.3045685279187817,0.0088832487309644,2179948453.700713,True,610731502.5624794,346654795.58985984,0.2801586897734634,0.6357868020304569,0.0241116751269035,True,True,0.0,True,included,-251718967.5215879,-181311938.19819263,-0.11547014659647853,-0.3312182741116752,-0.0152284263959391,fully_indexed,fixed_nominal
long_emerging_break,9,1987208729.7273784,True,316100253.7314815,152207619.46019438,0.1590674643296513,0.2891891891891892,0.0094594594594594,1987208729.7273784,True,554476873.0903745,331981768.2247377,0.2790229656279953,0.6256756756756757,0.0283783783783783,True,True,0.0,True,included,-238376619.35889298,-179774148.76454332,-0.11995550129834398,-0.33648648648648655,-0.0189189189189189,fully_indexed,fixed_nominal
long_emerging_break,10,2227415440.660858,True,360303115.2264217,183162998.45821023,0.1617583808791064,0.279040404040404,0.0151515151515151,2227415440.660858,True,582576637.3814499,341665288.94157326,0.2615482620559565,0.6073232323232324,0.0315656565656565,True,True,0.0,True,included,-222273522.15502822,-158502290.48336303,-0.09978988117685009,-0.3282828282828284,-0.0164141414141414,fully_indexed,fixed_nominal
