comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,shorter_window_years,longer_window_years,group_type,pool_label
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,inflation_adjusted_chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,334117938,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,regularized_poisson,50,50,0,{},0.0,12,38,0,10000,3165871235,1e-12,44.77576829319603,11.476109782408077,33.299658510787964,29.212943394295962,33.062503239841554,0.24,0.76,24.523057512032313,42.63987777459131,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,regularized_poisson_break_interaction,50,50,0,{},0.0,12,38,0,10000,481397099,1e-12,44.775884399370895,11.476105004856356,33.29977939451455,29.212686342709873,33.06250246126847,0.24,0.76,24.40031865727346,42.564572246687646,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,regularized_tweedie,50,50,0,{},0.0,12,38,0,10000,658758682,1e-12,41.83821939244747,12.338058876509972,29.500160515937495,30.211144640922825,31.28719146075815,0.24,0.76,20.80447620241384,38.09985599000213,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,cashflow_uplift,50,0,50,"{""both_estimators_failed"": 42, ""model_a_failed"": 8}",0.0,0,0,0,10000,3492399419,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,chain_ladder,50,0,50,"{""both_estimators_failed"": 42, ""model_a_failed"": 8}",0.0,0,0,0,10000,2184398579,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,inflation_adjusted_chain_ladder,50,0,50,"{""both_estimators_failed"": 42, ""model_a_failed"": 8}",0.0,0,0,0,10000,4082749849,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,regularized_poisson,50,50,0,{},0.0,5,45,0,10000,4086661515,1e-12,230.60074028666423,88.49514292054911,142.10559736611512,55.09949357475843,248.1292998356447,0.1,0.9,81.37534792537656,216.5299595126199,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,regularized_poisson_break_interaction,50,50,0,{},0.0,2,48,0,10000,2434175335,1e-12,140.53284207587322,52.20940034877855,88.32344172709465,58.81801580744178,118.06952382397444,0.04,0.96,59.22626896886214,123.036562835814,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,regularized_tweedie,50,50,0,{},0.0,14,36,0,10000,2732631132,1e-12,170.45996743920514,76.54743973241803,93.91252770678707,28.54495384869615,246.1349535927247,0.28,0.72,36.27574877058441,170.4020192557731,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,cashflow_uplift,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,2614210636,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,369588521,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,inflation_adjusted_chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,837102160,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,regularized_poisson,50,50,0,{},0.0,0,50,0,10000,1878005365,1e-12,105.37736058655122,51.06136467097352,54.31599591557769,51.803066634560935,19.377576457876497,0.0,1.0,49.19912846991797,59.690504771296844,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,regularized_poisson_break_interaction,50,50,0,{},0.0,0,50,0,10000,1272340392,1e-12,116.85547836909649,41.98710373383187,74.86837463526463,72.16062701370534,27.49135311905476,0.0,1.0,67.2552003135041,82.38656840350609,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,regularized_tweedie,50,50,0,{},0.0,0,50,0,10000,2771489913,1e-12,100.36126667102327,48.55386697635975,51.807399694663545,48.99082951740324,20.9694990406049,0.0,1.0,46.20461911237826,57.75257047958426,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,ceded,cashflow_uplift,50,0,50,"{""both_estimators_failed"": 50}",0.0,0,0,0,10000,3527596035,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,ceded,chain_ladder,50,0,50,"{""both_estimators_failed"": 50}",0.0,0,0,0,10000,813616572,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,ceded,inflation_adjusted_chain_ladder,50,0,50,"{""both_estimators_failed"": 50}",0.0,0,0,0,10000,4009115601,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,ceded,regularized_poisson,50,50,0,{},0.0,19,31,0,10000,279100439,1e-12,58.30513352214355,30.08763183838745,28.2175016837561,6.868038826847488,73.57877515008715,0.38,0.62,9.654044708767326,49.45073692426378,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,ceded,regularized_poisson_break_interaction,50,50,0,{},0.0,19,31,0,10000,1239505915,1e-12,58.30513352167067,30.087631866272346,28.217501655398323,6.868038814219483,73.5787751619034,0.38,0.62,9.59277991678584,50.527656681669455,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,ceded,regularized_tweedie,50,50,0,{},0.0,35,15,0,10000,3992144953,1e-12,25.23846539700017,34.21631505685834,-8.97784965985818,-9.452216828396653,24.51170472461948,0.7,0.3,-15.661783741194906,-2.15734434956481,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,gross,cashflow_uplift,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,2277754510,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,gross,chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,3798092325,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,gross,inflation_adjusted_chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,3656643466,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,gross,regularized_poisson,50,50,0,{},0.0,1,49,0,10000,808995533,1e-12,48.8390190997808,7.2081072689899885,41.63091183079081,44.46652616111383,20.653565382563905,0.02,0.98,35.813660390797935,47.20482530179644,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,gross,regularized_poisson_break_interaction,50,50,0,{},0.0,1,49,0,10000,1514429921,1e-12,48.83899893549846,7.208082307078004,41.630916628420444,44.46646645028217,20.653580503559848,0.02,0.98,35.79556830927235,47.28334324570436,10,15,scenario_basis_model,
