scenario_id,treaty_variant,mean_ceded_share,mean_ceded_true_reserve_gbp,mean_attachment_frequency,mean_exhaustion_frequency,mean_gross_ultimate_gbp,mean_ceded_ultimate_gbp,mean_ceded_share_pct,mean_attachment_frequency_pct,mean_exhaustion_frequency_pct,scenario_label
short_stable_no_break,fixed_nominal,0.20350725138168607,55201414.25787339,0.4108569959769172,0.01689581215726211,1703896853.8882186,347214184.85341716,20.350725138168606,41.08569959769172,1.689581215726211,Short / Stable
short_stable_no_break,fully_indexed,0.1256061674751862,24637806.24225885,0.18979642614268116,0.008599041681849953,1703896853.8882186,214565655.83502918,12.560616747518619,18.979642614268116,0.8599041681849953,Short / Stable
short_emerging_no_break,fixed_nominal,0.21505934792217787,69655086.19813421,0.443787667524882,0.018157218832823667,1743703986.7651832,375434441.6315056,21.505934792217786,44.378766752488204,1.8157218832823667,Short / Emerging
short_emerging_no_break,fully_indexed,0.12698539586690377,28025609.753744796,0.1930401446327558,0.008679564983279217,1743703986.7651832,221971892.79822257,12.698539586690377,19.30401446327558,0.8679564983279218,Short / Emerging
short_shock_no_break,fixed_nominal,0.2277657337012936,88647867.43818653,0.4649849614652431,0.019940529720481666,1782477692.0466213,406397159.715432,22.77657337012936,46.49849614652431,1.9940529720481666,Short / Shock
short_shock_no_break,fully_indexed,0.1287486458348864,32502413.43662469,0.19654488222027994,0.008758945103900502,1782477692.0466213,230039956.80834475,12.874864583488641,19.654488222027993,0.8758945103900502,Short / Shock
long_stable_no_break,fixed_nominal,0.25698657170765116,318778155.7347267,0.5944653956174691,0.025646097758392123,1987572326.027508,511178948.7671492,25.698657170765117,59.44653956174692,2.5646097758392123,Long / Stable
long_stable_no_break,fully_indexed,0.15842978986549983,168159095.6990801,0.2777796233118408,0.011695345225494582,1987572326.027508,315493222.38193464,15.842978986549983,27.77796233118408,1.1695345225494582,Long / Stable
long_emerging_no_break,fixed_nominal,0.29338076837339455,426779732.9603609,0.6553966968070086,0.033238204584508574,2139036879.2064633,627907056.3680279,29.338076837339454,65.53966968070087,3.3238204584508573,Long / Emerging
long_emerging_no_break,fully_indexed,0.17375540896136926,219481183.93078953,0.31703295767944883,0.013379856676769235,2139036879.2064633,372270104.6808646,17.375540896136926,31.703295767944883,1.3379856676769235,Long / Emerging
long_shock_no_break,fixed_nominal,0.3213584225300674,522346667.8179705,0.6857726437932399,0.040887450264444576,2272664302.9795537,730651713.8414134,32.13584225300674,68.57726437932399,4.088745026444458,Long / Shock
long_shock_no_break,fully_indexed,0.1879656553438275,270543898.67141527,0.3564550688992005,0.015100306492143065,2272664302.9795537,427793114.4861745,18.79656553438275,35.64550688992005,1.5100306492143065,Long / Shock
long_stable_break,fixed_nominal,0.24425346605410472,246869908.55650833,0.5578289915718294,0.023716764626847905,1935658946.354952,473198572.8272748,24.42534660541047,55.78289915718294,2.3716764626847904,Long / Stable + Break
long_stable_break,fully_indexed,0.15245831768965082,129132058.06676018,0.2632055967698717,0.011288144976411103,1935658946.354952,295699435.82284784,15.245831768965083,26.32055967698717,1.1288144976411103,Long / Stable + Break
long_emerging_break,fixed_nominal,0.2727976798618301,321700822.413092,0.6188777230767404,0.028825896268661003,2051286704.7693524,559951060.9185054,27.27976798618301,61.88777230767404,2.8825896268661,Long / Emerging + Break
long_emerging_break,fully_indexed,0.16276546221193824,160882021.499728,0.28982454008853314,0.012119384120675458,2051286704.7693524,334468425.5606412,16.276546221193826,28.982454008853313,1.2119384120675458,Long / Emerging + Break
long_shock_break,fixed_nominal,0.29831068288693685,397106645.8106831,0.6530205120776903,0.034757185675122745,2162355381.610189,645386480.1991235,29.831068288693686,65.30205120776903,3.4757185675122746,Long / Shock + Break
long_shock_break,fully_indexed,0.17360328924345667,196441361.67585364,0.3187378017334088,0.013438411054541187,2162355381.610189,375984070.3276161,17.360328924345666,31.873780173340883,1.3438411054541186,Long / Shock + Break
