scenario_id,scenario_label,model,model_label,basis,scheduled_count,attempted_count,applicable_count,successful_count,failed_count,applicability_rate_pct,conditional_success_rate_pct,unconditional_success_rate_pct
long_shock_break,Long / Shock + Break,regularized_tweedie,Tweedie,ceded,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,chain_ladder,Chain Ladder,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,inflation_adjusted_chain_ladder,Inflation-Adjusted CL,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,cashflow_uplift,Cashflow Uplift,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,expected_loss,Expected Loss,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,bornhuetter_ferguson_standard,Standard BF,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,bornhuetter_ferguson_break_aware,Break-Aware BF,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,regularized_poisson,Regularized Poisson,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,regularized_poisson_break_interaction,Poisson + Break Interaction,gross,50,50,50,50,0,100.0,100.0,100.0
short_stable_no_break,Short / Stable,regularized_tweedie,Tweedie,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,chain_ladder,Chain Ladder,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,inflation_adjusted_chain_ladder,Inflation-Adjusted CL,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,cashflow_uplift,Cashflow Uplift,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,expected_loss,Expected Loss,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,bornhuetter_ferguson_standard,Standard BF,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,bornhuetter_ferguson_break_aware,Break-Aware BF,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,regularized_poisson,Regularized Poisson,gross,50,50,50,50,0,100.0,100.0,100.0
short_emerging_no_break,Short / Emerging,regularized_poisson_break_interaction,Poisson + Break Interaction,gross,50,50,50,50,0,100.0,100.0,100.0
