simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
1,20260817,short_stable_no_break,constant,short,stable,False,none,chain_ladder,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126772896.04883963,,0.042501214999902004,success,,,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447
1,20260817,short_stable_no_break,constant,short,stable,False,none,chain_ladder,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63338674.97754087,,0.039950303999830794,success,,,True,True,7446089.26934576,7446089.26934576,13.322141344865345,13.322141344865345,0.13322141344865346
1,20260817,short_stable_no_break,constant,short,stable,False,none,inflation_adjusted_chain_ladder,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126508214.16597822,,0.08308615899932192,success,,,True,True,-11167324.047905028,11167324.047905028,-8.111334949391113,8.111334949391113,-0.08111334949391112
1,20260817,short_stable_no_break,constant,short,stable,False,none,inflation_adjusted_chain_ladder,ceded,244792131.89672413,55892585.70819511,300684717.60491925,65360432.320237145,,0.08676542500052165,success,,,True,True,9467846.612042032,9467846.612042032,16.93936054680296,16.93936054680296,0.1693936054680296
1,20260817,short_stable_no_break,constant,short,stable,False,none,cashflow_uplift,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126772896.04883963,,0.06267740600014804,success,,,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447
1,20260817,short_stable_no_break,constant,short,stable,False,none,cashflow_uplift,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63338674.97754087,,0.0616206479999164,success,,,True,True,7446089.26934576,7446089.26934576,13.322141344865345,13.322141344865345,0.13322141344865346
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.53771064,0.001,2.9343335060002573,success,,,True,True,-21066446.676172614,21066446.676172614,-15.301517574926947,15.301517574926947,-0.15301517574926948
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63264224.9837437,0.001,2.1614695839998603,success,,,True,True,7371639.275548585,7371639.275548585,13.18893943113413,13.18893943113413,0.1318893943113413
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,137490757.44864362,,0.041357417000654095,success,,,True,True,-15435193.64303255,15435193.64303255,-10.0932467856809,10.0932467856809,-0.100932467856809
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,ceded,257694822.27722293,70592445.43832305,328287267.71554595,75190380.22808051,,0.048258593999889854,success,,,True,True,4597934.78975746,4597934.78975746,6.513352471653214,6.513352471653214,0.06513352471653214
