scenario_id,model,basis,attempts,successful_fits,failures,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,standard_deviation_percentage_error,mean_runtime_seconds
short_stable_no_break,regularized_poisson,gross,50,50,0,1,4.181077425333863,0.9226092859366679,11.824110423023251,16591357.990376977,14.50897021099179,1.3559531799999969
short_stable_no_break,regularized_poisson,ceded,50,50,0,1,8.609823613718815,6.125058162762722,19.7595071041523,13192980.515186096,24.072571934094462,1.1994517780003662
short_stable_no_break,regularized_tweedie,gross,50,50,0,1,4.335211898094646,0.950933488318908,12.984374173678656,17828455.460496146,15.688481912562816,5.574331793999882
short_stable_no_break,regularized_tweedie,ceded,50,50,0,1,10.247438449905955,5.56402641139209,23.82365646011052,16215022.442086667,30.102899433608428,5.248679922000083
short_emerging_no_break,regularized_poisson,gross,50,50,0,1,1.3276198486947834,1.1315944157730071,13.414933073702468,20547013.094564732,16.329415303673517,1.4320543840002211
short_emerging_no_break,regularized_poisson,ceded,50,50,0,1,1.6987038236680894,-2.620561791872337,20.370924755569852,18901181.59503221,25.962054032897324,1.2415578160000587
short_emerging_no_break,regularized_tweedie,gross,50,50,0,1,0.8975548711091509,-1.5196305482019727,14.780852816465035,24077316.41129881,18.927241919937554,5.775453921999943
short_emerging_no_break,regularized_tweedie,ceded,50,50,0,1,0.6955766953366538,-3.4091746226864474,19.845167675964543,17673380.807594392,24.437521019521483,5.413867060000484
short_shock_no_break,regularized_poisson,gross,50,50,0,1,2.1799726459205333,3.5740442845213147,12.17273879823751,20157736.93617561,14.256699943990258,1.4237726440002008
short_shock_no_break,regularized_poisson,ceded,50,50,0,1,-1.7092845070601,-3.755183152706908,16.009741622204036,18115389.926767018,19.5766028939455,1.2366227799999614
short_shock_no_break,regularized_tweedie,gross,50,50,0,1,2.697492978824457,2.959414876281455,13.94883902272848,25616953.403861847,17.709997936000804,5.74870413200013
short_shock_no_break,regularized_tweedie,ceded,50,50,0,1,-2.1446731963064156,-3.6014418769477956,18.22717846658633,19600321.987192463,21.47829679041296,5.4099422920001965
long_stable_no_break,regularized_poisson,gross,50,50,0,1,2.394011841722051,3.7287839735035906,8.233082501770161,71438166.7359344,9.43055353097322,1.5434651059999305
long_stable_no_break,regularized_poisson,ceded,50,50,0,1,20.377506866660905,20.250588769831168,35.63894820833223,139759905.18101427,40.1980896965912,1.3531680539997615
long_stable_no_break,regularized_tweedie,gross,50,50,0,1,1.5934810112607938,3.3469178164141336,7.968911109520852,69065110.05009203,9.199560366759538,6.308550705999514
long_stable_no_break,regularized_tweedie,ceded,50,50,0,1,14.418930861906512,6.9168136888994365,33.910848948269944,139039490.40368757,42.709190522652264,6.225878485999929
long_emerging_no_break,regularized_poisson,gross,50,50,0,1,-9.742510402944932,-9.672882655309175,10.341576073790376,109157605.67451067,7.3722776739870755,1.7304245520001131
long_emerging_no_break,regularized_poisson,ceded,50,50,0,1,24.068430319843223,20.642502640656037,39.58659946692971,216058922.847598,46.31329597901147,1.452242752000384
long_emerging_no_break,regularized_tweedie,gross,50,50,0,1,-11.431673818106733,-10.586321806582278,11.579751217431529,125397077.19394001,8.364541015590534,6.8190921119997805
long_emerging_no_break,regularized_tweedie,ceded,50,50,0,1,8.932259542636404,-4.102683811211167,33.471785044563205,185730143.33229545,44.42526922181242,6.674524290000336
long_shock_no_break,regularized_poisson,gross,50,50,0,1,-3.0400923243090614,-2.987747463303317,6.062112208026782,78554493.83672921,7.215652783791762,1.7002967779999016
long_shock_no_break,regularized_poisson,ceded,50,50,0,1,8.9761747011025,6.407160869166007,27.39742323459609,183791907.8625333,35.029024941012985,1.4430180400002428
long_shock_no_break,regularized_tweedie,gross,50,50,0,1,-2.6562528473919773,-1.7917949339862438,5.825399714899861,75218270.44741629,7.195579997292198,6.77784052799987
long_shock_no_break,regularized_tweedie,ceded,50,50,0,1,-6.5462333063803735,-11.20395322672272,28.42962207341813,178773133.7275926,34.81873504914798,6.651802097999825
long_stable_break,regularized_poisson,gross,50,50,0,1,57.75512477621741,56.615802134384914,57.75512477621741,349479073.99505115,15.83633789251704,1.6410903379999218
long_stable_break,regularized_poisson,ceded,50,50,0,1,110.52366174499306,99.78402748700353,110.52366174499306,312238983.75555474,63.96066855244809,1.4169856419999995
long_stable_break,regularized_tweedie,gross,50,50,0,1,55.45047988190001,57.147075787420135,55.45047988190001,335250962.46868706,14.849095019913541,6.565328041999528
