scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successes,failures,success_rate,mean_runtime_seconds,mean_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_normalised_error
long_emerging_break,long,emerging,True,none,regularized_poisson,ceded,50,50,0,1.0,1.553303342000072,383559871.7092159,383559871.7092159,444676484.7666974,119.20571933714804,119.20571933714804,105.27276076687525,1.1920571933714805
long_emerging_break,long,emerging,True,none,regularized_poisson,gross,50,50,0,1.0,1.850178870000018,291662604.0716601,291662604.0716601,307189201.5014827,43.360013611962316,43.360013611962316,42.472725405554826,0.43360013611962317
long_emerging_break,long,emerging,True,none,regularized_tweedie,ceded,50,50,0,1.0,7.056249396000058,337130493.0893119,338927707.04816145,413550104.0837557,104.85013271714479,105.46914325269877,89.02901074717343,1.0485013271714478
long_emerging_break,long,emerging,True,none,regularized_tweedie,gross,50,50,0,1.0,7.220454960000134,233579993.65007445,233579993.65007445,249063407.19913027,34.70678149038471,34.70678149038471,35.692027528155045,0.3470678149038471
long_emerging_no_break,long,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,1.452242752000384,101358375.98950645,167583432.18174294,216058922.84759796,24.068430319843223,39.58659946692973,28.900016520384586,0.24068430319843223
long_emerging_no_break,long,emerging,False,none,regularized_poisson,gross,50,50,0,1.0,1.7304245520001131,-86624628.71648426,91678173.77063137,109157605.67451067,-9.742510402944932,10.341576073790375,9.756542289540258,-0.0974251040294493
long_emerging_no_break,long,emerging,False,none,regularized_tweedie,ceded,50,50,0,1.0,6.674524290000336,36596851.144761056,141312545.46375412,185730143.33229545,8.932259542636407,33.471785044563205,26.707472294883402,0.08932259542636407
long_emerging_no_break,long,emerging,False,none,regularized_tweedie,gross,50,50,0,1.0,6.8190921119997805,-100489063.99870521,101793842.41346134,125397077.19394,-11.431673818106738,11.57975121743153,10.586321806582278,-0.11431673818106738
long_shock_break,long,shock,True,none,regularized_poisson,ceded,50,50,0,1.0,1.5502980100002606,382535938.29800487,383369265.7614109,438846484.80757916,96.27443156991352,96.50452811951016,88.48073268861813,0.9627443156991353
long_shock_break,long,shock,True,none,regularized_poisson,gross,50,50,0,1.0,1.821944328000027,406616012.1760946,406616012.1760946,421926263.15879726,53.720737129996834,53.720737129996834,53.12044509216875,0.5372073712999684
long_shock_break,long,shock,True,none,regularized_tweedie,ceded,50,50,0,1.0,7.039487781999851,321701579.4453728,328570914.8000866,404268145.29808086,80.91845685965681,82.74562832941736,77.17652350907599,0.8091845685965683
long_shock_break,long,shock,True,none,regularized_tweedie,gross,50,50,0,1.0,7.175264653999766,382288971.45842624,382288971.45842624,397611889.4159043,50.55345320976579,50.55345320976579,49.92649304408347,0.505534532097658
long_shock_no_break,long,shock,False,none,regularized_poisson,ceded,50,50,0,1.0,1.4430180400002428,46349995.71386409,142320661.82658213,183791907.86253333,8.976174701102497,27.397423234596094,24.306287748808188,0.08976174701102496
