selected_value,selection_count,successful_tweedie_fits,selection_frequency
1.1,410,900,0.45555555555555555
1.3,63,900,0.07
1.5,63,900,0.07
1.7,78,900,0.08666666666666667
1.9,286,900,0.31777777777777777
