scenario_id,basis,poisson_mean_percentage_error,tweedie_mean_percentage_error,poisson_mean_absolute_percentage_error,tweedie_mean_absolute_percentage_error,mape_difference_tweedie_minus_poisson
short_stable_no_break,gross,4.181077425333863,4.335211898094646,11.824110423023251,12.984374173678656,1.160263750655405
short_stable_no_break,ceded,8.609823613718815,10.247438449905955,19.7595071041523,23.82365646011052,4.064149355958222
short_emerging_no_break,gross,1.3276198486947834,0.8975548711091509,13.414933073702468,14.780852816465035,1.3659197427625678
short_emerging_no_break,ceded,1.6987038236680894,0.6955766953366538,20.370924755569852,19.845167675964543,-0.5257570796053095
short_shock_no_break,gross,2.1799726459205333,2.697492978824457,12.17273879823751,13.94883902272848,1.7761002244909694
short_shock_no_break,ceded,-1.7092845070601,-2.1446731963064156,16.009741622204036,18.22717846658633,2.217436844382295
long_stable_no_break,gross,2.394011841722051,1.5934810112607938,8.233082501770161,7.968911109520852,-0.26417139224930875
long_stable_no_break,ceded,20.377506866660905,14.418930861906512,35.63894820833223,33.910848948269944,-1.7280992600622866
long_emerging_no_break,gross,-9.742510402944932,-11.431673818106733,10.341576073790376,11.579751217431529,1.2381751436411523
long_emerging_no_break,ceded,24.068430319843223,8.932259542636404,39.58659946692971,33.471785044563205,-6.114814422366507
long_shock_no_break,gross,-3.0400923243090614,-2.6562528473919773,6.062112208026782,5.825399714899861,-0.23671249312692133
long_shock_no_break,ceded,8.9761747011025,-6.5462333063803735,27.39742323459609,28.42962207341813,1.0321988388220404
long_stable_break,gross,57.75512477621741,55.45047988190001,57.75512477621741,55.45047988190001,-2.3046448943173985
long_stable_break,ceded,110.52366174499306,103.65424266224758,110.52366174499306,103.72748887734356,-6.796172867649503
long_emerging_break,gross,43.3600136119623,34.706781490384714,43.3600136119623,34.706781490384714,-8.653232121577588
long_emerging_break,ceded,119.20571933714804,104.8501327171448,119.20571933714804,105.4691432526988,-13.73657608444924
long_shock_break,gross,53.72073712999681,50.553453209765784,53.72073712999681,50.553453209765784,-3.1672839202310286
long_shock_break,ceded,96.27443156991352,80.91845685965681,96.50452811951016,82.74562832941734,-13.758899790092812
