simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error,pricing_assumption_version
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,chain_ladder,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126772896.04883964,,0.042501214999902,success,,,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447,
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,chain_ladder,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63338674.97754087,,0.0399503039998307,success,,,True,True,7446089.26934576,7446089.26934576,13.322141344865344,13.322141344865344,0.1332214134486534,
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.53771064,0.001,2.9343335060002573,success,,,True,True,-21066446.67617261,21066446.67617261,-15.301517574926947,15.301517574926947,-0.1530151757492694,
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63264224.9837437,0.001,2.1614695839998603,success,,,True,True,7371639.275548585,7371639.275548585,13.18893943113413,13.18893943113413,0.1318893943113413,
2,20260818.0,short_stable_no_break,constant,short,stable,False,none,chain_ladder,gross,1560263867.5302718,107139513.3591665,1667403380.8894386,114974564.0352096,,0.0408958139996684,success,,,True,True,7835050.676043093,7835050.676043093,7.312942191343967,7.312942191343967,0.0731294219134396,
2,20260818.0,short_stable_no_break,constant,short,stable,False,none,chain_ladder,ceded,283940336.7788383,53582073.925859615,337522410.70469785,54164524.155316256,,0.0404224590001831,success,,,True,True,582450.2294566408,582450.2294566408,1.0870244221277527,1.0870244221277527,0.0108702442212775,
2,20260818.0,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1560263867.5302718,107139513.3591665,1667403380.8894386,121798197.35791664,0.001,2.297300467999776,success,,,True,True,14658683.99875015,14658683.99875015,13.681865391351437,13.681865391351437,0.1368186539135143,
2,20260818.0,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,283940336.7788383,53582073.925859615,337522410.70469785,75673824.1319769,0.01,2.1156973799998013,success,,,True,True,22091750.206117287,22091750.206117287,41.22974082094167,41.22974082094167,0.4122974082094167,
1,20260817.0,short_stable_no_break,,short,stable,False,none,expected_loss,gross,,137675538.21388325,,314625952.7149416,,0.0107884160006506,success,,,,,176950414.50105837,176950414.50105837,128.5271274742797,128.5271274742797,,pricing_mc_v1
1,20260817.0,short_stable_no_break,,short,stable,False,none,expected_loss,ceded,,55892585.70819511,,120192920.12553687,,0.0096396939989062,success,,,,,64300334.417341776,64300334.417341776,115.04269055119757,115.04269055119757,,pricing_mc_v1
2,20260818.0,short_stable_no_break,,short,stable,False,none,expected_loss,gross,,107139513.3591665,,218807600.8548972,,0.0085923000006005,success,,,,,111668087.49573068,111668087.49573068,104.22680110687354,104.22680110687354,,pricing_mc_v1
2,20260818.0,short_stable_no_break,,short,stable,False,none,expected_loss,ceded,,53582073.925859615,,90784676.05799615,,0.0081108409995067,success,,,,,37202602.13213654,37202602.13213654,69.43106043937941,69.43106043937941,,pricing_mc_v1
1,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_standard,ceded,,55892585.70819511,,24677972.87103426,,0.011889636999512732,success,,,,,-31214612.83716085,31214612.83716085,-55.84750184957731,55.84750184957731,,pricing_mc_v1
1,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_break_aware,ceded,,55892585.70819511,,24677972.87103426,,0.005606783000075666,success,,,,,-31214612.83716085,31214612.83716085,-55.84750184957731,55.84750184957731,,pricing_mc_v1
1,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_standard,gross,,137675538.21388325,,88095215.34416083,,0.004950897000526311,success,,,,,-49580322.869722426,49580322.869722426,-36.01244165299564,36.01244165299564,,pricing_mc_v1
1,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_break_aware,gross,,137675538.21388325,,88095215.34416083,,0.0047698700000182725,success,,,,,-49580322.869722426,49580322.869722426,-36.01244165299564,36.01244165299564,,pricing_mc_v1
2,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_standard,ceded,,53582073.925859615,,24677972.87103426,,0.004875827999967441,success,,,,,-28904101.054825354,28904101.054825354,-53.94360265864167,53.94360265864167,,pricing_mc_v1
2,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_break_aware,ceded,,53582073.925859615,,24677972.87103426,,0.005050431000199751,success,,,,,-28904101.054825354,28904101.054825354,-53.94360265864167,53.94360265864167,,pricing_mc_v1
2,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_standard,gross,,107139513.3591665,,88095215.34416083,,0.004868500000156928,success,,,,,-19044298.015005678,19044298.015005678,-17.77523288832104,17.77523288832104,,pricing_mc_v1
2,,short_stable_no_break,,short,stable,False,none,bornhuetter_ferguson_break_aware,gross,,107139513.3591665,,88095215.34416083,,0.004847316999985196,success,,,,,-19044298.015005678,19044298.015005678,-17.77523288832104,17.77523288832104,,pricing_mc_v1
