simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error,pricing_assumption_version
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,chain_ladder,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126772896.04883964,,0.042501214999902,success,,,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447,
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,chain_ladder,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63338674.97754087,,0.0399503039998307,success,,,True,True,7446089.26934576,7446089.26934576,13.322141344865344,13.322141344865344,0.1332214134486534,
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.53771064,0.001,2.9343335060002573,success,,,True,True,-21066446.67617261,21066446.67617261,-15.301517574926947,15.301517574926947,-0.1530151757492694,
1,20260817.0,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63264224.9837437,0.001,2.1614695839998603,success,,,True,True,7371639.275548585,7371639.275548585,13.18893943113413,13.18893943113413,0.1318893943113413,
1,20260817.0,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,137490757.44864362,,0.041357417000654,success,,,True,True,-15435193.64303255,15435193.64303255,-10.0932467856809,10.0932467856809,-0.100932467856809,
1,20260817.0,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,ceded,257694822.27722293,70592445.43832305,328287267.71554595,75190380.22808051,,0.0482585939998898,success,,,True,True,4597934.78975746,4597934.78975746,6.513352471653214,6.513352471653214,0.0651335247165321,
1,20260817.0,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,145493476.92597675,0.0001,7.671422622000136,success,,,True,True,-7432474.165699422,7432474.165699422,-4.860178480265783,4.860178480265783,-0.0486017848026578,
1,20260817.0,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,ceded,257694822.27722293,70592445.43832305,328287267.71554595,66137701.4596811,0.01,3.4836777939999592,success,,,True,True,-4454743.97864195,4454743.97864195,-6.310510920795457,6.310510920795457,-0.0631051092079545,
1,20260817.0,short_shock_no_break,constant,short,shock,False,none,chain_ladder,gross,1476117978.9648635,171459997.0574296,1647577976.022293,151077261.09148425,,0.054271979999612,success,,,True,True,-20382735.965945363,20382735.965945363,-11.88775009667023,11.88775009667023,-0.1188775009667023,
1,20260817.0,short_shock_no_break,constant,short,shock,False,none,chain_ladder,ceded,268823078.6466661,92301960.7631166,361125039.40978265,90673199.8396059,,0.1208138559995859,success,,,True,True,-1628760.9235107005,1628760.9235107005,-1.7646005675770486,1.7646005675770486,-0.0176460056757704,
1,20260817.0,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,gross,1476117978.9648635,171459997.0574296,1647577976.022293,164444620.40815592,0.0001,3.8347385689994553,success,,,True,True,-7015376.649273694,7015376.649273694,-4.091552997591578,4.091552997591578,-0.0409155299759157,
1,20260817.0,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,ceded,268823078.6466661,92301960.7631166,361125039.40978265,91348062.84542651,0.1,2.5852744499998157,success,,,True,True,-953897.9176900684,953897.9176900684,-1.03345357975455,1.03345357975455,-0.0103345357975454,
1,20260817.0,long_stable_no_break,constant,long,stable,False,none,chain_ladder,gross,1067805689.3061192,753698005.0920122,1821503694.3981316,711277942.2898146,,0.0727520350001214,success,,,True,True,-42420062.802197576,42420062.802197576,-5.628257274877475,5.628257274877475,-0.0562825727487747,
1,20260817.0,long_stable_no_break,constant,long,stable,False,none,chain_ladder,ceded,139213657.60900772,301848095.26935834,441061752.87836605,,,0.0293181279994314,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,True,False,,,,,,
1,20260817.0,long_stable_no_break,constant,long,stable,False,none,regularized_poisson,gross,1067805689.3061192,753698005.0920122,1821503694.3981316,699251110.9202068,0.001,3.827397598999596,success,,,True,True,-54446894.17180538,54446894.17180538,-7.223966867891399,7.223966867891399,-0.0722396686789139,
