simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,pricing_assumption_version
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,346654795.58985996,-123329462.33394831,123329462.33394831,-35.57702472400351,35.57702472400351,0.005041112000981229,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,346654795.58985996,-171330566.50935525,171330566.50935525,-49.42397125007979,49.42397125007979,0.008057818999077426,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,715750060.6047767,-73904897.66194105,73904897.66194105,-10.325517485740026,10.325517485740026,0.005217031999563915,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,715750060.6047767,-226427180.66733074,226427180.66733074,-31.63495095983784,31.63495095983784,0.006722145999447093,pricing_mc_v1
9,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,331981768.2247377,-108656434.96882606,108656434.96882606,-32.72963920575007,32.72963920575007,0.007011932000750676,pricing_mc_v1
9,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,331981768.2247377,-156657539.144233,156657539.144233,-47.1885971274731,47.1885971274731,0.007080053999743541,pricing_mc_v1
9,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,671990795.7794589,-30145632.83662319,30145632.83662319,-4.48601871126174,4.48601871126174,0.006331344000500394,pricing_mc_v1
9,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,671990795.7794589,-182667915.84201288,182667915.84201288,-27.18309789200785,27.18309789200785,0.005928475000473554,pricing_mc_v1
10,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,341665288.94157326,-118339955.68566161,118339955.68566161,-34.63622425686282,34.63622425686282,0.007146396999814897,pricing_mc_v1
10,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,341665288.94157326,-166341059.86106855,166341059.86106855,-48.68538456931569,48.68538456931569,0.005768593000539113,pricing_mc_v1
10,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,753339760.4341314,-111494597.4912957,111494597.4912957,-14.800041541288632,14.800041541288632,0.005906061000132468,pricing_mc_v1
10,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,753339760.4341314,-264016880.4966854,264016880.4966854,-35.046189563197736,35.046189563197736,0.006115297001088038,pricing_mc_v1
11,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,347078090.3447683,-123752757.08885664,123752757.08885664,-35.655594672059955,35.655594672059955,0.006819031001214171,pricing_mc_v1
11,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,347078090.3447683,-171753861.26426357,171753861.26426357,-49.48565352934054,49.48565352934054,0.0060114310017524986,pricing_mc_v1
