scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successful_fits,failed_fits,success_rate,accuracy_scope,conditional_accuracy_warning,mean_runtime_seconds,mean_signed_error,median_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,standard_deviation_percentage_error,standard_deviation_absolute_percentage_error,percentage_error_minimum,percentage_error_5th_percentile,percentage_error_25th_percentile,percentage_error_75th_percentile,percentage_error_95th_percentile,percentage_error_maximum,absolute_percentage_error_minimum,absolute_percentage_error_5th_percentile,absolute_percentage_error_25th_percentile,absolute_percentage_error_75th_percentile,absolute_percentage_error_95th_percentile,absolute_percentage_error_maximum,mcse_mean_signed_error,mcse_mean_percentage_error,mcse_mean_absolute_percentage_error
long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,50,50,0,1.0,all_attempts_successful,False,0.00536113150017627,-146376593.33258733,-144314296.57022744,146376593.33258733,148631957.5404845,-45.14987093013515,-45.1490800154465,45.14987093013515,45.1490800154465,4.443189661049075,4.443189661049075,-54.53651584130025,-51.77709421105847,-48.487479162869256,-41.71260236099947,-39.16652637621603,-33.69502155938528,33.69502155938528,39.16652637621603,41.71260236099947,48.487479162869256,51.77709421105847,54.53651584130025,3684916.1003456437,0.6283619078851518,0.6283619078851518
long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,50,50,0,1.0,all_attempts_successful,False,0.00558726736016979,-98375489.15718038,-96313192.39482051,98375489.15718038,101700976.36491627,-30.132740820250845,-30.131733365164095,30.132740820250845,30.131733365164095,5.659667331646307,5.659667331646307,-42.08930617311087,-38.57439691955669,-34.3841353637327,-25.754400457836834,-22.511247638750163,-15.541728120321412,15.541728120321412,22.51124763875016,25.754400457836834,34.3841353637327,38.57439691955669,42.08930617311087,3684916.1003456432,0.8003978298934152,0.8003978298934152
long_emerging_break,long,emerging,True,none,chain_ladder,ceded,50,7,43,0.14,conditional_on_successful_fits,True,0.02746105702010023,325080818.0466636,207372432.4181001,325080818.0466636,426486779.6165992,101.60162863957966,57.42872061177455,101.60162863957966,57.42872061177455,94.61887792634325,94.61887792634325,25.90362773685884,27.28084793952546,35.8846365161215,135.9734376386506,248.31753060314009,284.16290381887995,25.90362773685884,27.28084793952546,35.8846365161215,135.9734376386506,248.31753060314009,284.16290381887995,112704210.89874272,35.76257433215473,35.76257433215473
long_emerging_break,long,emerging,True,none,expected_loss,ceded,50,50,0,1.0,all_attempts_successful,False,0.008444170620095927,21916876.161478404,21967537.854287714,35544946.51955766,44147085.54034068,7.638529929291128,6.754889589278417,11.557521295802424,9.810754766057947,12.678928196821888,9.164647960411632,-12.88687308571352,-11.004363441543438,-1.6885705075312842,16.77586458319753,27.934330726216725,31.432935777892684,0.058696107533154,0.8658339158799053,3.776304845671388,16.77586458319753,27.934330726216725,31.432935777892684,5474646.016007173,1.7930712212300164,1.2960769439989053
long_emerging_break,long,emerging,True,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,3.2281459402198562,383559868.4003471,356900379.75422657,383559868.4003471,444676481.8764637,119.20571841102044,105.27276075128208,119.20571841102044,105.27276075128208,71.90975201010019,71.90975201010019,0.433230241092704,26.27513505653711,66.03619350770337,150.57107869214025,260.8973756426195,323.8743736424871,0.433230241092704,26.27513505653711,66.03619350770337,150.57107869214025,260.8973756426195,323.8743736424871,32140952.60603225,10.169574655956962,10.169574655956962
long_emerging_no_break,long,emerging,False,none,bornhuetter_ferguson_break_aware,ceded,50,50,0,1.0,all_attempts_successful,False,0.0060388672598128326,-165712828.90195978,-166272344.3895769,165712828.90195978,168849656.9565923,-38.475049501830355,-38.90744201371866,38.475049501830355,38.90744201371866,4.720579721872235,4.720579721872235,-47.13314137665074,-45.74159028764095,-41.719756624312595,-34.89108059694005,-31.630921876031486,-28.713720237700564,28.713720237700564,31.630921876031486,34.89108059694005,41.719756624312595,45.74159028764095,47.13314137665074,4627921.011771684,0.6675907864935127,0.6675907864935127
long_emerging_no_break,long,emerging,False,none,bornhuetter_ferguson_standard,ceded,50,50,0,1.0,all_attempts_successful,False,0.006433826580105233,-165712828.90195978,-166272344.3895769,165712828.90195978,168849656.9565923,-38.475049501830355,-38.90744201371866,38.475049501830355,38.90744201371866,4.720579721872235,4.720579721872235,-47.13314137665074,-45.74159028764095,-41.719756624312595,-34.89108059694005,-31.630921876031486,-28.713720237700564,28.713720237700564,31.630921876031486,34.89108059694005,41.719756624312595,45.74159028764095,47.13314137665074,4627921.011771684,0.6675907864935127,0.6675907864935127
long_emerging_no_break,long,emerging,False,none,chain_ladder,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.016770805259984586,,,,,,,,,,,,,,,,,,,,,,,,,
long_emerging_no_break,long,emerging,False,none,expected_loss,ceded,50,50,0,1.0,all_attempts_successful,False,0.010569594199951047,21630489.246930685,21900195.55229032,38868300.72857995,47304622.22184724,5.759576694051429,5.009607558683003,9.489885353018943,8.085765678489626,10.446908684950838,7.147851306332048,-11.062675893308954,-9.714015432086269,-2.2037854517857887,12.78943914833898,23.194040160269804,25.093334765280048,0.0775635721231433,1.4408327679418902,3.5519442866184785,12.78943914833898,23.194040160269804,25.093334765280048,6009939.417824475,1.477415994713075,1.0108588259241027
long_emerging_no_break,long,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,3.408603242760055,101358375.97613037,85883661.40571448,167583432.16788426,216058922.77176753,24.06843031557126,20.642502626339343,39.58659946256034,28.900016520542483,46.31329595543939,33.71872603110228,-50.0038851438616,-38.346924509787925,-12.686054488617971,49.372509837412146,89.14469229686695,164.81191338900396,1.9423886644173365,5.540685790205145,16.42277466180692,50.49778014988062,89.14469229686695,164.81191338900396,27258377.378743578,6.54968912583814,4.768547965912757
