scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,accident_year,expected_gross_ultimate,expected_ceded_ultimate,expected_retained_ultimate,exposure_measure,expected_gross_loss_per_claim,expected_ceded_loss_per_claim,gross_standard_deviation,ceded_standard_deviation,retained_standard_deviation,gross_mcse,ceded_mcse,retained_mcse,gross_relative_mcse,ceded_relative_mcse,calibration_records,unique_calibrations,pricing_assumption_version,calibration_simulations,calibration_seed_base,attachment,limit
long_emerging_break,constant,long,emerging,True,2010,100973100.7742158,16019410.005426869,84953690.76878893,50.304,2007257.8875281448,318452.01187632926,19653220.931062736,6493444.231193371,15806043.62885231,439459.3797867798,145197.82709052236,353433.8800944122,0.004352242096332639,0.009063868584506791,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2011,104698059.99622619,17622824.402793337,87075235.59343286,50.099,2089823.3496921335,351760.0032494329,19326337.66228415,6729357.097480889,14906620.311592115,432150.0476898173,150472.99914837946,333322.16331499064,0.004127584099508568,0.008538529109132385,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2012,108948737.52141592,19610366.60097602,89338370.9204399,49.756,2189660.292656482,394130.6897856745,20504138.697033253,7216019.674258163,15627125.003163965,458486.47946650314,161355.10518617142,349433.13799961243,0.004208277120938451,0.008228051441839985,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2013,114636315.23092934,22128430.885604262,92507884.34532507,49.9645,2294355.296879371,442883.06468801375,21545020.55660872,7489678.630464828,16785383.82979518,481761.30541207455,167474.30547346882,375332.5927184778,0.00420251910959969,0.007568286533249851,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2014,119478570.88924982,24795146.61789969,94683424.27135013,50.0585,2386778.8864878053,495323.40397534263,21405409.790313497,8021607.419709543,15929831.294445932,478639.513773805,179368.59479287223,356201.8564448457,0.004006069960591326,0.007234020332970546,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2015,125000053.83267924,27657380.385921765,97342673.44675748,49.998,2500101.080696813,553169.7345078157,22900397.060604416,8554203.36917327,16986482.571989514,512068.44539247843,191277.8022682916,379829.29729584017,0.00409654579891554,0.0069159768423207695,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2016,130540202.87108806,30990898.845208403,99549304.02587964,49.9105,2615485.7769625243,620929.4406028471,24019004.060254477,8917143.682303293,17766928.393544648,537081.2583057246,199393.3943876295,397280.59639336966,0.0041142977143685516,0.0064339338908351255,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2017,138212221.51899698,35719310.591094755,102492910.92790222,50.002,2764133.8650253387,714357.6375163944,25457325.715360384,9509331.996034898,18704559.03571363,569243.1082489928,212635.1276374779,418246.65493013593,0.004118616298854233,0.0059529460148788635,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2018,135391161.03154677,33929946.72592019,101461214.30562659,50.085,2703227.7334840125,677447.2741523449,25130849.61954522,9800536.33536894,17948742.16349434,561942.8808162784,219146.65461841627,401346.0758818999,0.0041505137893406725,0.0064587974861452695,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2019,141881839.1723612,38303564.838027865,103578274.33433335,49.851,2846118.2157300995,768361.0125780399,25965889.694697082,9845081.4686383,19196907.982929584,580614.9445360394,220142.71407898705,429255.9120763892,0.004092242868593601,0.005747316601206498,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2020,152600620.72916073,45049014.55003905,107551606.17912167,50.2995,3033839.714692208,895615.5538333195,33929119.71343776,10642813.768968217,27960864.179705337,758678.1809597501,237980.55059283675,625223.9301546003,0.004971658551155375,0.0052827026954939335,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2021,161226517.6154289,51798227.99057071,109428289.62485816,50.0055,3224175.69298235,1035850.6162436274,34923365.003060795,11782610.56545584,27664529.887647036,780910.1814988109,263467.18176766497,618597.6939435339,0.004843559192672658,0.005086413029720365,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2022,171429094.5651648,59664288.81778403,111764805.74738076,50.112,3420919.032670115,1190618.7902654859,52728564.28701833,12565829.55366851,47293163.36633099,1179046.541017407,280980.4907567863,1057507.2815811888,0.006877750500917566,0.004709357914495663,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2023,180348056.08627623,67773851.01413323,112574205.072143,49.951,3610499.4111484503,1356806.6908396874,33614131.93108792,13125298.632568737,23899337.93844385,751634.8400255886,293490.5996740873,534405.4424760013,0.004167690278103225,0.004330440063275794,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2024,191610652.7804813,77017945.81069589,114592706.96978544,50.0985,3824678.4390846295,1537330.37537443,32548750.002566226,13996509.552960947,21537991.726999324,727812.1758838453,312971.4680814587,481604.13600398577,0.0037983909836039396,0.004063617443793141,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2010,100973100.7742158,16019410.005426869,84953690.76878893,50.304,2007257.8875281448,318452.01187632926,19653220.931062736,6493444.231193371,15806043.62885231,439459.3797867798,145197.82709052236,353433.8800944122,0.004352242096332639,0.009063868584506791,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2011,104698059.99622619,17622824.402793337,87075235.59343286,50.099,2089823.3496921335,351760.0032494329,19326337.66228415,6729357.097480889,14906620.311592115,432150.0476898173,150472.99914837946,333322.16331499064,0.004127584099508568,0.008538529109132385,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2012,108948737.52141592,19610366.60097602,89338370.9204399,49.756,2189660.292656482,394130.6897856745,20504138.697033253,7216019.674258163,15627125.003163965,458486.47946650314,161355.10518617142,349433.13799961243,0.004208277120938451,0.008228051441839985,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2013,114636315.23092934,22128430.885604262,92507884.34532507,49.9645,2294355.296879371,442883.06468801375,21545020.55660872,7489678.630464828,16785383.82979518,481761.30541207455,167474.30547346882,375332.5927184778,0.00420251910959969,0.007568286533249851,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2014,119478570.88924982,24795146.61789969,94683424.27135013,50.0585,2386778.8864878053,495323.40397534263,21405409.790313497,8021607.419709543,15929831.294445932,478639.513773805,179368.59479287223,356201.8564448457,0.004006069960591326,0.007234020332970546,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2015,125000053.83267924,27657380.385921765,97342673.44675748,49.998,2500101.080696813,553169.7345078157,22900397.060604416,8554203.36917327,16986482.571989514,512068.44539247843,191277.8022682916,379829.29729584017,0.00409654579891554,0.0069159768423207695,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2016,130540202.87108806,30990898.845208403,99549304.02587964,49.9105,2615485.7769625243,620929.4406028471,24019004.060254477,8917143.682303293,17766928.393544648,537081.2583057246,199393.3943876295,397280.59639336966,0.0041142977143685516,0.0064339338908351255,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
long_emerging_no_break,constant,long,emerging,False,2017,138212221.51899698,35719310.591094755,102492910.92790222,50.002,2764133.8650253387,714357.6375163944,25457325.715360384,9509331.996034898,18704559.03571363,569243.1082489928,212635.1276374779,418246.65493013593,0.004118616298854233,0.0059529460148788635,2000,2000,pricing_mc_v1,2000,91000000,2000000.0,5000000.0
