scenario_id,simulation_id,basis,tail_type,inflation_scenario,structural_break,model,pattern_variant,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,success,success_or_failure,failure_type,failure_message,calibration_version,prior_version,runtime_seconds
long_emerging_break,12,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,325126140.5975815,-101800807.34166986,101800807.34166986,-31.311172689639807,31.311172689639807,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035384000002522953
long_emerging_break,13,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,337192029.1110455,-161867800.03054076,161867800.03054076,-48.004634171596564,48.004634171596564,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003802399995038286
long_emerging_break,13,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,337192029.1110455,-113866695.85513383,113866695.85513383,-33.769094766363764,33.769094766363764,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035700999942491762
long_emerging_break,14,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,307592092.7292216,-132267863.64871687,132267863.64871687,-43.00106107251413,43.00106107251413,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036999000003561378
long_emerging_break,14,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,307592092.7292216,-84266759.47330993,84266759.47330993,-27.395619544580217,27.395619544580217,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003598000002966728
long_emerging_break,15,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,323906786.8950166,-148582557.8145119,148582557.8145119,-45.872011277945184,45.872011277945184,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003533499999321066
long_emerging_break,15,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,323906786.8950166,-100581453.63910496,100581453.63910496,-31.052592198910922,31.052592198910922,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036067999972146936
long_emerging_break,16,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,318161411.86483526,-142837182.78433055,142837182.78433055,-44.894565292227256,44.894565292227256,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003522599996358622
long_emerging_break,16,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,318161411.86483526,-94836078.60892361,94836078.60892361,-29.80753638634621,29.80753638634621,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036126999984844588
long_emerging_break,17,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,315284076.6553456,-139959847.5748409,139959847.5748409,-44.39166387963155,44.39166387963155,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035362999988137744
long_emerging_break,17,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,315284076.6553456,-91958743.39943397,91958743.39943397,-29.16694822490485,29.16694822490485,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003628700003901031
long_emerging_break,18,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,309103360.71021956,-133779131.62971485,133779131.62971485,-43.279740253335866,43.279740253335866,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003490600000077393
long_emerging_break,18,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,309103360.71021956,-85778027.45430791,85778027.45430791,-27.750596841528267,27.750596841528267,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003900900002918206
long_emerging_break,19,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,351360784.4941069,-176036555.41360217,176036555.41360217,-50.101366795119596,50.101366795119596,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0034540999986347742
long_emerging_break,19,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,351360784.4941069,-128035451.23819524,128035451.23819524,-36.439880854245615,36.439880854245615,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003655200001958292
long_emerging_break,20,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,339177091.73262715,-163852862.65212244,163852862.65212244,-48.308941448583276,48.308941448583276,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0034487999946577474
long_emerging_break,20,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,339177091.73262715,-115851758.4767155,115851758.4767155,-34.15671674195535,34.15671674195535,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0037045999997644685
long_emerging_break,21,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,308303999.9153445,-132979770.83483976,132979770.83483976,-43.132677769783704,43.132677769783704,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003460399995674379
long_emerging_break,21,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,308303999.9153445,-84978666.65943283,84978666.65943283,-27.563270889371097,27.563270889371097,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036917000034009106
long_emerging_break,22,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,315854607.4999018,-140530378.41939706,140530378.41939706,-44.492109686714244,44.492109686714244,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003437899998971261
long_emerging_break,22,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,315854607.4999018,-92529274.24399012,92529274.24399012,-29.2948945644299,29.2948945644299,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036762000017915852
long_emerging_break,23,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,366872921.985839,-191548692.9053343,191548692.9053343,-52.21118306265402,52.21118306265402,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0034588999988045543
long_emerging_break,23,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,366872921.985839,-143547588.72992736,143547588.72992736,-39.12733268863822,39.12733268863822,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003748000002815388
long_emerging_break,24,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,318321479.60916555,-142997250.52866083,142997250.52866083,-44.922275023423666,44.922275023423666,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0034844000037992373
long_emerging_break,24,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,318321479.60916555,-94996146.3532539,94996146.3532539,-29.84283261999472,29.84283261999472,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0037966000018059276
long_emerging_break,25,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,359259980.0107991,-183935750.9302944,183935750.9302944,-51.19850836844265,51.19850836844265,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003539099998306483
long_emerging_break,25,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,359259980.0107991,-135934646.75488746,135934646.75488746,-37.83740308363914,37.83740308363914,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003706900002725888
long_emerging_break,26,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,314689582.873816,-139365353.7933113,139365353.7933113,-44.28661175263431,44.28661175263431,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035364000068511814
long_emerging_break,26,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,314689582.873816,-91364249.61790437,91364249.61790437,-29.033134425215316,29.033134425215316,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0036594000048353337
long_emerging_break,27,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,353410428.2791988,-178086199.1986941,178086199.1986941,-50.39075956694852,50.39075956694852,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003548900000168942
long_emerging_break,27,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,353410428.2791988,-130085095.02328718,130085095.02328718,-36.808504960277595,36.808504960277595,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.004103400002350099
long_emerging_break,28,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,290834789.60206765,-115510560.52156293,115510560.52156293,-39.71689930204338,39.71689930204338,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.0035327000005054288
long_emerging_break,28,ceded,long,emerging,True,bornhuetter_ferguson_standard,frozen_standard,223325333.25591165,290834789.60206765,-67509456.346156,67509456.346156,-23.212304290874304,23.212304290874304,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003611500003898982
long_emerging_break,29,ceded,long,emerging,True,bornhuetter_ferguson_break_aware,frozen_break_aware,175324229.08050472,289092639.0409425,-113768409.96043777,113768409.96043777,-39.35361700590565,39.35361700590565,True,success,,,frozen_step21_pattern,pricing_mc_v1,0.003591599997889716
