scenario_id,basis,model,history_window_years,history_start_ay,attempted_fits,required_result_rows,required_rows,applicable_rows,not_applicable_by_design,not_applicable_rows,estimator_invocations,successful_fits,failed_fits,data_dependent_failures,unsuccessful_or_not_applicable,applicability_rate,success_rate,unconditional_success_rate,conditional_fit_success_rate,mean_runtime_seconds,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,rmse,standard_deviation_percentage_error,percentage_error_std
short_stable_no_break,gross,chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.023559523999720115,0.9990849751336282,0.6230873159598251,8.704243749050589,11941197.615300765,11941197.615300765,10.431722014773134,10.431722014773134
short_stable_no_break,gross,inflation_adjusted_chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.045573536000738386,1.077745891341214,1.1293571678549104,8.806144632258269,12019017.00715394,12019017.00715394,10.514076877287204,10.514076877287204
short_stable_no_break,gross,cashflow_uplift,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03484444200032158,0.9990849751336282,0.6230873159598251,8.704243749050589,11941197.615300765,11941197.615300765,10.431722014773134,10.431722014773134
short_stable_no_break,gross,regularized_poisson,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.3550196499995946,4.1810774253338625,0.9226092859366679,11.824110423023253,16591357.990376981,16591357.990376981,14.50897021099179,14.50897021099179
short_stable_no_break,gross,regularized_poisson_break_interaction,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.3619439479998254,4.181078188871541,0.9226092847503021,11.82410877903342,16591356.655266793,16591356.655266793,14.508968951454358,14.508968951454358
short_stable_no_break,gross,regularized_tweedie,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,5.509350839999388,4.335211898094645,0.950933488318908,12.984374173678656,17828455.460496146,17828455.460496146,15.688481912562816,15.688481912562816
short_stable_no_break,gross,chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.021468739999545506,0.73993403086339,-0.6259458253964507,8.390423579574149,12157030.375095366,12157030.375095366,10.58086612325215,10.58086612325215
short_stable_no_break,gross,inflation_adjusted_chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.038915360000537476,0.7255819770382125,-0.5279140561983838,8.2966681822777,12126896.981465897,12126896.981465897,10.55836169561428,10.55836169561428
short_stable_no_break,gross,cashflow_uplift,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03263541599968448,0.73993403086339,-0.6259458253964507,8.390423579574149,12157030.375095366,12157030.375095366,10.58086612325215,10.58086612325215
short_stable_no_break,gross,regularized_poisson,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.6882594380006776,3.610903151719143,4.680427836591241,11.724534094810176,16010185.610173987,16010185.610173987,14.002377460173344,14.002377460173344
