scenario_id,basis,model,first_window_years,second_window_years,comparison,first_mape,second_mape,first_mpe,second_mpe,first_applicability_rate,second_applicability_rate,first_unconditional_success_rate,second_unconditional_success_rate,first_conditional_fit_success_rate,second_conditional_fit_success_rate,difference_in_mape_second_minus_first,accuracy_comparison_available
short_stable_no_break,ceded,cashflow_uplift,15,10,15_vs_10,22.52907525962828,24.038643897099767,2.959760301751093,3.418293022020023,1.0,1.0,1.0,1.0,1.0,1.0,1.5095686374714887,True
short_stable_no_break,ceded,cashflow_uplift,15,7,15_vs_7,22.52907525962828,26.70356608806688,2.959760301751093,4.125998234641997,1.0,1.0,1.0,1.0,1.0,1.0,4.1744908284386,True
short_stable_no_break,ceded,cashflow_uplift,15,5,15_vs_5,22.52907525962828,,2.959760301751093,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_stable_no_break,ceded,cashflow_uplift,10,7,10_vs_7,24.038643897099767,26.70356608806688,3.418293022020023,4.125998234641997,1.0,1.0,1.0,1.0,1.0,1.0,2.6649221909671112,True
short_stable_no_break,ceded,cashflow_uplift,10,5,10_vs_5,24.038643897099767,,3.418293022020023,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_stable_no_break,ceded,regularized_poisson,15,10,15_vs_10,19.759507104152302,18.6549581511478,8.609823613718815,7.786396761721715,1.0,1.0,1.0,1.0,1.0,1.0,-1.1045489530045032,True
short_stable_no_break,ceded,regularized_poisson_break_interaction,15,10,15_vs_10,19.759506701942875,18.65495815778397,8.609823227085883,7.786396768435019,1.0,1.0,1.0,1.0,1.0,1.0,-1.1045485441589058,True
short_stable_no_break,ceded,regularized_tweedie,15,10,15_vs_10,23.823656460110513,21.173781600940796,10.247438449905953,6.202877707158048,1.0,1.0,1.0,1.0,1.0,1.0,-2.649874859169717,True
short_emerging_no_break,gross,chain_ladder,15,10,15_vs_10,8.624341509151018,8.464252746294548,-1.3333621051364355,-0.9986493668406351,1.0,1.0,1.0,1.0,1.0,1.0,-0.16008876285646956,True
short_emerging_no_break,gross,chain_ladder,15,7,15_vs_7,8.624341509151018,9.855888680561094,-1.3333621051364355,-0.459903264527593,1.0,1.0,1.0,1.0,1.0,1.0,1.2315471714100763,True
short_emerging_no_break,gross,chain_ladder,15,5,15_vs_5,8.624341509151018,,-1.3333621051364355,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,gross,chain_ladder,10,7,10_vs_7,8.464252746294548,9.855888680561094,-0.9986493668406351,-0.459903264527593,1.0,1.0,1.0,1.0,1.0,1.0,1.3916359342665459,True
short_emerging_no_break,gross,chain_ladder,10,5,10_vs_5,8.464252746294548,,-0.9986493668406351,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,15,10,15_vs_10,8.859363323278071,8.343670655545953,1.0966380684737915,0.7458591949268374,1.0,1.0,1.0,1.0,1.0,1.0,-0.5156926677321181,True
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,15,7,15_vs_7,8.859363323278071,10.000385016148458,1.0966380684737915,0.20523069835096436,1.0,1.0,1.0,1.0,1.0,1.0,1.1410216928703871,True
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,15,5,15_vs_5,8.859363323278071,,1.0966380684737915,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,10,7,10_vs_7,8.343670655545953,10.000385016148458,0.7458591949268374,0.20523069835096436,1.0,1.0,1.0,1.0,1.0,1.0,1.6567143606025052,True
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,10,5,10_vs_5,8.343670655545953,,0.7458591949268374,,1.0,1.0,1.0,0.0,1.0,0.0,,False
