scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successes,failures,success_rate,mean_runtime_seconds,mean_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_normalised_error
long_emerging_break,long,emerging,True,none,regularized_poisson,ceded,50,50,0,1.0,2.8177288171197143,383559868.4003471,383559868.4003471,444676481.8764637,119.20571841102044,119.20571841102044,105.27276075128208,1.1920571841102043
long_emerging_break,long,emerging,True,none,regularized_poisson,gross,50,50,0,1.0,3.3108090096399976,291662407.0221685,291662407.0221685,307189021.22647053,43.359985449352834,43.359985449352834,42.47294631618461,0.4335998544935284
long_emerging_break,long,emerging,True,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,3.88097172626025,239475780.55456054,247584604.0789445,304953761.82799953,74.73836237865137,77.16297387350838,69.42644326018168,0.7473836237865137
long_emerging_break,long,emerging,True,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,3.321952556420365,318025454.39160997,318025454.39160997,330774478.40329546,47.446614512602906,47.446614512602906,47.67982935595788,0.4744661451260289
long_emerging_no_break,long,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,2.6151587893798567,101358375.97613037,167583432.16788426,216058922.77176753,24.06843031557126,39.58659946256034,28.900016520542483,0.24068430315571265
long_emerging_no_break,long,emerging,False,none,regularized_poisson,gross,50,50,0,1.0,3.0787135114800184,-86624472.29221828,91678277.0618451,109157571.5574884,-9.742493629144429,10.341586257071492,9.75649835658347,-0.09742493629144429
long_emerging_no_break,long,emerging,False,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,2.5041464606803494,101358375.92415194,167583432.11748207,216058922.81470528,24.068430305582364,39.586599452941144,28.900016520453683,0.24068430305582353
long_emerging_no_break,long,emerging,False,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,3.0416890066002815,-86624239.27479453,91677857.96941723,109157312.61992358,-9.742464874791533,10.34153831589554,9.756531638681857,-0.09742464874791533
long_shock_break,long,shock,True,none,regularized_poisson,ceded,50,50,0,1.0,2.6893272961598997,382535938.2402603,383369265.7036664,438846484.70146626,96.27443155431949,96.50452810391613,88.48073268860767,0.9627443155431945
long_shock_break,long,shock,True,none,regularized_poisson,gross,50,50,0,1.0,3.414222525160003,406616079.4346119,406616079.4346119,421926335.4716458,53.720745697573,53.720745697573,53.120409268987146,0.53720745697573
