simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.53771064,0.001,3.924847285001306,success,,,True,True,-21066446.676172614,21066446.676172614,-15.301517574926947,15.301517574926947,-0.15301517574926948
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63264224.9837437,0.001,2.9859674449980957,success,,,True,True,7371639.275548585,7371639.275548585,13.18893943113413,13.18893943113413,0.1318893943113413
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson_break_interaction,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.54312667,0.001,2.1780647829982627,success,,,True,True,-21066446.67075658,21066446.67075658,-15.301517570993036,15.301517570993036,-0.15301517570993037
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson_break_interaction,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63264224.98375762,0.001,2.0643621330018505,success,,,True,True,7371639.27556251,7371639.27556251,13.188939431159044,13.188939431159044,0.13188939431159044
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,145493476.92597675,0.0001,2.3098657179980364,success,,,True,True,-7432474.165699422,7432474.165699422,-4.860178480265783,4.860178480265783,-0.04860178480265783
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,ceded,257694822.27722293,70592445.43832305,328287267.71554595,66137701.4596811,0.01,1.9922509149982943,success,,,True,True,-4454743.97864195,4454743.97864195,-6.310510920795457,6.310510920795457,-0.06310510920795456
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson_break_interaction,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,145493476.86039543,0.0001,2.39057479999974,success,,,True,True,-7432474.231280744,7432474.231280744,-4.8601785231501475,4.8601785231501475,-0.04860178523150147
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson_break_interaction,ceded,257694822.27722293,70592445.43832305,328287267.71554595,66137701.45968111,0.01,2.0733100449979247,success,,,True,True,-4454743.978641942,4454743.978641942,-6.310510920795445,6.310510920795445,-0.06310510920795445
1,20260817,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,gross,1476117978.9648635,171459997.0574296,1647577976.022293,164444620.40815592,0.0001,2.2781413339980645,success,,,True,True,-7015376.649273694,7015376.649273694,-4.091552997591578,4.091552997591578,-0.040915529975915785
1,20260817,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,ceded,268823078.6466661,92301960.7631166,361125039.40978265,91348062.84542653,0.1,2.330269178997696,success,,,True,True,-953897.9176900685,953897.9176900685,-1.0334535797545499,1.0334535797545499,-0.010334535797545499
1,20260817,short_shock_no_break,constant,short,shock,False,none,regularized_poisson_break_interaction,gross,1476117978.9648635,171459997.0574296,1647577976.022293,164444568.97721142,0.0001,2.3210996399975556,success,,,True,True,-7015428.080218196,7015428.080218196,-4.09158299347714,4.09158299347714,-0.04091582993477141
1,20260817,short_shock_no_break,constant,short,shock,False,none,regularized_poisson_break_interaction,ceded,268823078.6466661,92301960.7631166,361125039.40978265,91348062.8454265,0.1,2.1867840939994494,success,,,True,True,-953897.9176900983,953897.9176900983,-1.033453579754582,1.033453579754582,-0.010334535797545822
1,20260817,long_stable_no_break,constant,long,stable,False,none,regularized_poisson,gross,1067805689.3061192,753698005.0920122,1821503694.3981314,699251110.9202068,0.001,2.4765072939990205,success,,,True,True,-54446894.17180538,54446894.17180538,-7.223966867891399,7.223966867891399,-0.07223966867891399
1,20260817,long_stable_no_break,constant,long,stable,False,none,regularized_poisson,ceded,139213657.60900772,301848095.26935834,441061752.87836605,420603929.46004033,0.1,2.1087137009999424,success,,,True,True,118755834.190682,118755834.190682,39.34291322418602,39.34291322418602,0.3934291322418602
1,20260817,long_stable_no_break,constant,long,stable,False,none,regularized_poisson_break_interaction,gross,1067805689.3061192,753698005.0920122,1821503694.3981314,699251071.4475393,0.001,2.4706195699982345,success,,,True,True,-54446933.64447284,54446933.64447284,-7.223972105090805,7.223972105090805,-0.07223972105090805
1,20260817,long_stable_no_break,constant,long,stable,False,none,regularized_poisson_break_interaction,ceded,139213657.60900772,301848095.26935834,441061752.87836605,420603929.4598582,0.1,2.320358834000217,success,,,True,True,118755834.19049984,118755834.19049984,39.342913224125674,39.342913224125674,0.39342913224125675
1,20260817,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson,gross,1091821203.1428115,880522805.4172087,1972344008.5600202,745013662.5872685,0.001,3.12895899599971,success,,,True,True,-135509142.8299402,135509142.8299402,-15.389623300640503,15.389623300640503,-0.15389623300640504
1,20260817,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson,ceded,147306215.29539862,408650367.9529617,555956583.2483603,615682500.2633258,0.1,2.4297258850019716,success,,,True,True,207032132.31036413,207032132.31036413,50.66241181855362,50.66241181855362,0.5066241181855362
1,20260817,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson_break_interaction,gross,1091821203.1428115,880522805.4172087,1972344008.5600202,745013771.459854,0.001,2.769545676001144,success,,,True,True,-135509033.95735466,135509033.95735466,-15.389610936101523,15.389610936101523,-0.15389610936101522
1,20260817,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson_break_interaction,ceded,147306215.29539862,408650367.9529617,555956583.2483603,615682500.2633954,0.1,2.2804220160032855,success,,,True,True,207032132.31043375,207032132.31043375,50.66241181857066,50.66241181857066,0.5066241181857066
1,20260817,long_shock_no_break,constant,long,shock,False,none,regularized_poisson,gross,1112765702.8961644,991396478.4184726,2104162181.3146372,904661017.8009014,0.0001,2.872693712997716,success,,,True,True,-86735460.61757123,86735460.61757123,-8.748816695005429,8.748816695005429,-0.08748816695005429
1,20260817,long_shock_no_break,constant,long,shock,False,none,regularized_poisson,ceded,154504925.8004606,499766947.86483264,654271873.6652933,681827143.240942,0.1,2.341753181997774,success,,,True,True,182060195.37610936,182060195.37610936,36.429018796447,36.429018796447,0.36429018796447
1,20260817,long_shock_no_break,constant,long,shock,False,none,regularized_poisson_break_interaction,gross,1112765702.8961644,991396478.4184726,2104162181.3146372,904662233.6160084,0.0001,2.6599842369978433,success,,,True,True,-86734244.80246425,86734244.80246425,-8.748694058387946,8.748694058387946,-0.08748694058387946
1,20260817,long_shock_no_break,constant,long,shock,False,none,regularized_poisson_break_interaction,ceded,154504925.8004606,499766947.86483264,654271873.6652933,681827143.2409735,0.1,2.381941267998627,success,,,True,True,182060195.37614083,182060195.37614083,36.4290187964533,36.4290187964533,0.364290187964533
1,20260817,long_stable_break,constant,long,stable,True,none,regularized_poisson,gross,1168823294.6507585,602481291.9983402,1771304586.6490989,813981113.618146,0.001,2.71603148199938,success,,,True,True,211499821.6198057,211499821.6198057,35.10479485898931,35.10479485898931,0.3510479485898931
1,20260817,long_stable_break,constant,long,stable,True,none,regularized_poisson,ceded,174053013.37012684,231211775.9309288,405264789.30105567,588266143.9924498,0.1,2.20250484799908,success,,,True,True,357054368.06152093,357054368.06152093,154.42741470407884,154.42741470407884,1.5442741470407884
1,20260817,long_stable_break,constant,long,stable,True,none,regularized_poisson_break_interaction,gross,1168823294.6507585,602481291.9983402,1771304586.6490989,800648924.7968311,0.1,2.791669460002595,success,,,True,True,198167632.79849088,198167632.79849088,32.89191472505287,32.89191472505287,0.32891914725052873
1,20260817,long_stable_break,constant,long,stable,True,none,regularized_poisson_break_interaction,ceded,174053013.37012684,231211775.9309288,405264789.30105567,421690931.1680058,0.1,3.117278460002126,success,,,True,True,190479155.23707703,190479155.23707703,82.38298177943149,82.38298177943149,0.8238298177943149
1,20260817,long_emerging_break,constant,long,emerging,True,none,regularized_poisson,gross,1196839392.5865352,690279196.5937967,1887118589.180332,851544516.2944146,0.01,3.12001266599691,success,,,True,True,161265319.7006179,161265319.7006179,23.36233229921841,23.36233229921841,0.23362332299218408
1,20260817,long_emerging_break,constant,long,emerging,True,none,regularized_poisson,ceded,185149937.4141995,305729466.5237079,490879403.93790746,841573976.0413417,0.1,2.4337905930005945,success,,,True,True,535844509.51763374,535844509.51763374,175.26753819657793,175.26753819657793,1.7526753819657794
1,20260817,long_emerging_break,constant,long,emerging,True,none,regularized_poisson_break_interaction,gross,1196839392.5865352,690279196.5937967,1887118589.180332,911081548.4180418,0.1,2.9666635130015493,success,,,True,True,220802351.8242451,220802351.8242451,31.98739769557027,31.98739769557027,0.3198739769557027
1,20260817,long_emerging_break,constant,long,emerging,True,none,regularized_poisson_break_interaction,ceded,185149937.4141995,305729466.5237079,490879403.93790746,630041172.7120423,0.1,3.2915211110012024,success,,,True,True,324311706.1883344,324311706.1883344,106.07800087963896,106.07800087963896,1.0607800087963897
1,20260817,long_shock_break,constant,long,shock,True,none,regularized_poisson,gross,1221321986.2212884,776649688.4045899,1997971674.6258786,1049641524.2683017,0.001,3.0418861100006325,success,,,True,True,272991835.86371183,272991835.86371183,35.14993180831597,35.14993180831597,0.3514993180831597
1,20260817,long_shock_break,constant,long,shock,True,none,regularized_poisson,ceded,195081558.08736962,379285494.58321106,574367052.6705806,939547915.5077072,0.1,2.3201848639982927,success,,,True,True,560262420.9244962,560262420.9244962,147.71522479132952,147.71522479132952,1.4771522479132952
1,20260817,long_shock_break,constant,long,shock,True,none,regularized_poisson_break_interaction,gross,1221321986.2212884,776649688.4045899,1997971674.6258786,1036300515.372192,0.1,2.9421948400013207,success,,,True,True,259650826.96760213,259650826.96760213,33.432167789957184,33.432167789957184,0.33432167789957185
1,20260817,long_shock_break,constant,long,shock,True,none,regularized_poisson_break_interaction,ceded,195081558.08736962,379285494.58321106,574367052.6705806,690598699.3486876,0.1,3.1514928579999832,success,,,True,True,311313204.7654766,311313204.7654766,82.07885859372823,82.07885859372823,0.8207885859372823
2,20260818,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1560263867.5302718,107139513.3591665,1667403380.8894386,121798197.35791665,0.001,2.392671664001682,success,,,True,True,14658683.99875015,14658683.99875015,13.681865391351437,13.681865391351437,0.13681865391351436
2,20260818,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,283940336.7788383,53582073.925859615,337522410.70469785,75673824.1319769,0.01,2.0050969910007552,success,,,True,True,22091750.206117287,22091750.206117287,41.22974082094167,41.22974082094167,0.41229740820941674
2,20260818,short_stable_no_break,constant,short,stable,False,none,regularized_poisson_break_interaction,gross,1560263867.5302718,107139513.3591665,1667403380.8894386,121798197.44805747,0.001,2.22018484200089,success,,,True,True,14658684.08889097,14658684.08889097,13.681865475485495,13.681865475485495,0.13681865475485494
2,20260818,short_stable_no_break,constant,short,stable,False,none,regularized_poisson_break_interaction,ceded,283940336.7788383,53582073.925859615,337522410.70469785,75673824.13197693,0.01,2.018791038000927,success,,,True,True,22091750.206117317,22091750.206117317,41.22974082094173,41.22974082094173,0.4122974082094173
2,20260818,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,gross,1587794059.9479802,118893676.42537048,1706687736.3733506,143990957.31260926,0.001,2.546527212998626,success,,,True,True,25097280.88723877,25097280.88723877,21.10901238973153,21.10901238973153,0.2110901238973153
2,20260818,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,ceded,297659277.6447887,67858248.2673998,365517525.91218853,73563484.95638582,0.01,1.9859798260004027,success,,,True,True,5705236.688986018,5705236.688986018,8.407580264235772,8.407580264235772,0.08407580264235771
2,20260818,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson_break_interaction,gross,1587794059.9479802,118893676.42537048,1706687736.3733506,143990957.30374366,0.001,2.2947216579996166,success,,,True,True,25097280.878373176,25097280.878373176,21.109012382274788,21.109012382274788,0.2110901238227479
2,20260818,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson_break_interaction,ceded,297659277.6447887,67858248.2673998,365517525.91218853,73563484.95565064,0.01,2.1029300699992746,success,,,True,True,5705236.68825084,5705236.68825084,8.407580263152369,8.407580263152369,0.08407580263152369
