scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successful_fits,failed_fits,success_rate,accuracy_scope,conditional_accuracy_warning,mean_runtime_seconds,mean_signed_error,median_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,standard_deviation_percentage_error,standard_deviation_absolute_percentage_error,percentage_error_minimum,percentage_error_5th_percentile,percentage_error_25th_percentile,percentage_error_75th_percentile,percentage_error_95th_percentile,percentage_error_maximum,absolute_percentage_error_minimum,absolute_percentage_error_5th_percentile,absolute_percentage_error_25th_percentile,absolute_percentage_error_75th_percentile,absolute_percentage_error_95th_percentile,absolute_percentage_error_maximum,mcse_mean_signed_error,mcse_mean_percentage_error,mcse_mean_absolute_percentage_error
long_stable_break,long,stable,True,none,bornhuetter_ferguson_break_aware,ceded,2,2,0,1.0,all_attempts_successful,False,0.005259892499907437,-110846637.1655977,-110846637.1655977,110846637.1655977,111581206.49731259,-45.27986248340139,-45.27986248340139,45.27986248340139,45.27986248340139,4.05409354125541,4.05409354125541,-48.14653951798768,-47.85987181452905,-46.71320100069453,-43.84652396610825,-42.69985315227373,-42.413185448815106,42.413185448815106,42.69985315227373,43.84652396610825,46.71320100069453,47.85987181452905,48.14653951798768,12782357.860514028,2.8666770345862846,2.8666770345862846
long_stable_break,long,stable,True,none,bornhuetter_ferguson_standard,ceded,2,2,0,1.0,all_attempts_successful,False,0.006939036999938253,-71994455.2208971,-71994455.2208971,71994455.2208971,73120381.93983947,-29.312632210885305,-29.312632210885305,29.312632210885305,29.312632210885305,5.237070194044516,5.237070194044516,-33.01580005864413,-32.64548327386825,-31.164216134764718,-27.461048287005895,-25.979781147902365,-25.60946436312648,25.60946436312648,25.979781147902365,27.461048287005895,31.164216134764718,32.64548327386825,33.01580005864413,12782357.860514028,3.703167847758825,3.703167847758825
long_stable_break,long,stable,True,none,chain_ladder,ceded,2,0,2,0.0,not_available_no_successful_fits,False,0.0157555784999203,,,,,,,,,,,,,,,,,,,,,,,,,
long_stable_break,long,stable,True,none,expected_loss,ceded,2,2,0,1.0,all_attempts_successful,False,0.00847115249962365,49019522.63260271,49019522.63260271,49019522.63260271,56410090.63087856,20.746729527015972,20.746729527015972,20.746729527015972,20.746729527015972,17.716233864941774,17.716233864941774,8.219460424028885,9.472187334327593,14.483094975522427,27.010364078509514,32.021271719704345,33.27399863000306,8.219460424028885,9.472187334327593,14.483094975522427,27.010364078509514,32.021271719704345,33.27399863000306,27913880.523060273,12.527269102987086,12.527269102987086
long_stable_break,long,stable,True,none,regularized_poisson,ceded,2,2,0,1.0,all_attempts_successful,False,2.5989353575000678,341177521.597589,341177521.597589,341177521.597589,341546739.8426057,140.55686486635346,140.55686486635346,140.55686486635346,140.55686486635346,19.615919698083154,19.615919698083154,126.6863150286281,128.07337001240063,133.62158994749078,147.49213978521615,153.0403597203063,154.42741470407884,126.6863150286281,128.07337001240063,133.62158994749078,147.49213978521615,153.0403597203063,154.42741470407884,15876846.463931916,13.87054983772537,13.87054983772537
long_stable_break,long,stable,True,none,bornhuetter_ferguson_break_aware,gross,2,2,0,1.0,all_attempts_successful,False,0.004867642000135675,-156999120.16931242,-156999120.16931242,156999120.16931242,157242881.18102112,-26.42689839807406,-26.42689839807406,26.42689839807406,26.42689839807406,1.5337688988959401,1.5337688988959401,-27.5114367872564,-27.402982948338167,-26.96916759266523,-25.884629203482884,-25.450813847809947,-25.342360008891713,25.342360008891713,25.450813847809947,25.884629203482884,26.96916759266523,27.402982948338167,27.5114367872564,8752139.633856593,1.0845383891823435,1.0845383891823435
long_stable_break,long,stable,True,none,bornhuetter_ferguson_standard,gross,2,2,0,1.0,all_attempts_successful,False,0.004920330000004469,-16517726.341329396,-16517726.341329396,16517726.341329396,18693186.77105566,-2.7609008724735147,-2.7609008724735147,2.7609008724735147,2.7609008724735147,2.0271308773335046,2.0271308773335046,-4.194298862188671,-4.050959063217156,-3.477599867331093,-2.0442018776159365,-1.4708426817298736,-1.327502882758358,1.327502882758358,1.4708426817298736,2.0442018776159365,3.477599867331093,4.050959063217156,4.194298862188671,8752139.633856593,1.4333979897151565,1.4333979897151565
long_stable_break,long,stable,True,none,chain_ladder,gross,2,2,0,1.0,all_attempts_successful,False,0.05819596799983625,378370436.8697501,378370436.8697501,378370436.8697501,382668283.5089382,63.88365932402727,63.88365932402727,63.88365932402727,63.88365932402727,14.954231748511042,14.954231748511042,53.30942064721995,54.366844514900684,58.59653998562361,69.17077866243093,73.40047413315385,74.45789800083459,53.30942064721995,54.366844514900684,58.59653998562361,69.17077866243093,73.40047413315385,74.45789800083459,57191150.59754937,10.574238676807319,10.574238676807319
long_stable_break,long,stable,True,none,expected_loss,gross,2,2,0,1.0,all_attempts_successful,False,0.0085187779995976,143361216.79555786,143361216.79555786,143361216.79555786,150104214.21964383,24.04067470228421,24.04067470228421,24.04067470228421,24.04067470228421,10.094574580307778,10.094574580307778,16.902732563355233,17.61652677724813,20.47170363281972,27.6096457717487,30.464822627320288,31.178616841213188,16.902732563355233,17.61652677724813,20.47170363281972,27.6096457717487,30.464822627320288,31.178616841213188,44484116.776595466,7.1379421389289766,7.1379421389289766
long_stable_break,long,stable,True,none,regularized_poisson,gross,2,2,0,1.0,all_attempts_successful,False,2.8240157970003565,296030233.9453437,296030233.9453437,296030233.9453437,307862453.0819898,50.08022655686961,50.08022655686961,50.08022655686961,50.08022655686961,21.17845860953427,21.17845860953427,35.10479485898931,36.60233802877734,42.59251070792946,57.56794240580976,63.558115084961884,65.05565825474991,35.10479485898931,36.60233802877734,42.59251070792946,57.56794240580976,63.558115084961884,65.05565825474991,84530412.32553798,14.975431697880301,14.975431697880301
