scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,accident_year,expected_gross_ultimate,expected_ceded_ultimate,expected_retained_ultimate,exposure_measure,expected_gross_loss_per_claim,expected_ceded_loss_per_claim,gross_standard_deviation,ceded_standard_deviation,retained_standard_deviation,gross_mcse,ceded_mcse,retained_mcse,gross_relative_mcse,ceded_relative_mcse,calibration_records,unique_calibrations,pricing_assumption_version,calibration_simulations,calibration_seed_base,attachment,limit
long_emerging_break,constant,long,emerging,True,2010,100678560.44045456,15952730.938722497,84725829.50173207,50.65,1987730.7095844927,314960.136993534,17573113.8086892,6561993.522319723,13136535.556169106,1242606.794068709,464003.01177344745,928893.3373065369,0.0123423178542927,0.0290861178287136,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2011,106151256.69858196,17754576.198158726,88396680.50042325,50.735,2092268.7828635452,349947.29867268604,20911758.82066114,6684257.812209793,15976625.977374502,1478684.646862709,472648.4026212701,1129718.0569082662,0.013929977777478937,0.026621215699324158,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2012,111037255.67032501,20167268.963358644,90869986.70696636,49.8,2229663.768480422,404965.24022808525,19927407.2911129,6979120.205630066,15525107.785904229,1409080.482701218,493498.32241170714,1097790.8994064946,0.012690159480209472,0.024470260366355537,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2013,116599130.0918285,22897216.086067386,93701914.0057611,50.735,2298199.0754277813,451310.06378372695,20058971.7805299,7732088.684905901,15077023.011584897,1418383.4969642288,546741.2341832736,1066106.5211597304,0.012164614743241828,0.023878065880504902,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2014,119340906.70523132,25109566.69581084,94231340.00942048,49.86,2393519.990076842,503601.41788629844,20545197.858553316,8570695.74872455,14505225.638881879,1452764.8726602385,606039.7083409843,1025674.3411894348,0.012173234750499482,0.024135809099489283,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2015,123203717.61160631,26992713.81470988,96211003.79689644,49.485,2489718.452290721,545472.6445328863,21908580.62130146,7773614.681252029,16763753.348945742,1549170.5923494447,549677.5655444611,1185376.367117823,0.012574057198770002,0.020363923735779034,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2016,130987693.8163249,30655250.237936758,100332443.57838814,49.53,2644613.2407899234,618922.879829129,25222526.35507717,8790501.744931757,19236512.479574654,1783501.942433148,621582.3393873425,1360226.8420686885,0.013615797717104867,0.020276537772903787,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2017,135998403.51476744,35429773.28821918,100568630.22654825,49.545,2744947.0888034604,715102.9021741686,24171925.90006064,9761854.484495984,17251615.85356874,1709213.2718271618,690267.3502943419,1219873.4556483806,0.012567892178539921,0.019482691709005767,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2018,135286686.09510493,33756162.93526559,101530523.15983935,50.6,2673649.9228281607,667117.8445704662,23925774.382246964,9684397.63267575,16432626.938131616,1691807.7310826208,684790.323777197,1161962.19406616,0.012505352743235207,0.02028637926325998,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
long_emerging_break,constant,long,emerging,True,2019,140538546.95388043,38838931.72712451,101699615.22675592,49.345,2848080.7975251884,787089.5070853079,23218464.25549794,9042563.254738819,16895788.25661946,1641793.3523800056,639405.7796734116,1194712.6449747656,0.011682156874147715,0.016463011500052676,200,200,pricing_mc_v1,200,91000000,2000000.0,5000000.0
