simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
1,20260817,short_stable_no_break,constant,short,stable,False,none,chain_ladder,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126772896.04883963,,0.03601158000037685,success,,,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447
1,20260817,short_stable_no_break,constant,short,stable,False,none,chain_ladder,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63338674.97754087,,0.03370767900014471,success,,,True,True,7446089.26934576,7446089.26934576,13.322141344865345,13.322141344865345,0.13322141344865346
1,20260817,short_stable_no_break,constant,short,stable,False,none,inflation_adjusted_chain_ladder,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126508214.16597822,,0.10378220100028557,success,,,True,True,-11167324.047905028,11167324.047905028,-8.111334949391113,8.111334949391113,-0.08111334949391112
1,20260817,short_stable_no_break,constant,short,stable,False,none,inflation_adjusted_chain_ladder,ceded,244792131.89672413,55892585.70819511,300684717.60491925,65360432.320237145,,0.09278678599912382,success,,,True,True,9467846.612042032,9467846.612042032,16.93936054680296,16.93936054680296,0.1693936054680296
1,20260817,short_stable_no_break,constant,short,stable,False,none,cashflow_uplift,gross,1424198583.2769885,137675538.21388325,1561874121.490872,126772896.04883963,,0.05935928100007004,success,,,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447
1,20260817,short_stable_no_break,constant,short,stable,False,none,cashflow_uplift,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63338674.97754087,,0.06200302100023691,success,,,True,True,7446089.26934576,7446089.26934576,13.322141344865345,13.322141344865345,0.13322141344865346
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.53771064,0.001,3.661938645999726,success,,,True,True,-21066446.676172614,21066446.676172614,-15.301517574926947,15.301517574926947,-0.15301517574926948
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,244792131.89672413,55892585.70819511,300684717.60491925,63264224.9837437,0.001,4.087236798999584,success,,,True,True,7371639.275548585,7371639.275548585,13.18893943113413,13.18893943113413,0.1318893943113413
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,137490757.44864362,,0.03577855800085672,success,,,True,True,-15435193.64303255,15435193.64303255,-10.0932467856809,10.0932467856809,-0.100932467856809
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,chain_ladder,ceded,257694822.27722293,70592445.43832305,328287267.71554595,75190380.22808051,,0.047433546999855025,success,,,True,True,4597934.78975746,4597934.78975746,6.513352471653214,6.513352471653214,0.06513352471653214
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,inflation_adjusted_chain_ladder,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,140517412.16069746,,0.07769682199977979,success,,,True,True,-12408538.930978715,12408538.930978715,-8.114083216353537,8.114083216353537,-0.08114083216353538
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,inflation_adjusted_chain_ladder,ceded,257694822.27722293,70592445.43832305,328287267.71554595,79603237.87543388,,0.08864336700025888,success,,,True,True,9010792.437110826,9010792.437110826,12.76452796210835,12.76452796210835,0.1276452796210835
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,cashflow_uplift,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,141528020.54329956,,0.05993675399986387,success,,,True,True,-11397930.54837662,11397930.54837662,-7.4532350245405885,7.4532350245405885,-0.07453235024540589
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,cashflow_uplift,ceded,257694822.27722293,70592445.43832305,328287267.71554595,77609443.18348119,,0.09259009400011564,success,,,True,True,7016997.745158136,7016997.745158136,9.94015393798607,9.94015393798607,0.0994015393798607
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,145493476.92597675,0.0001,2.7403079649993742,success,,,True,True,-7432474.165699422,7432474.165699422,-4.860178480265783,4.860178480265783,-0.04860178480265783
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,ceded,257694822.27722293,70592445.43832305,328287267.71554595,66137701.4596811,0.01,2.786060790999727,success,,,True,True,-4454743.97864195,4454743.97864195,-6.310510920795457,6.310510920795457,-0.06310510920795456
1,20260817,short_shock_no_break,constant,short,shock,False,none,chain_ladder,gross,1476117978.9648635,171459997.0574296,1647577976.022293,151077261.09148425,,0.16828760800035525,success,,,True,True,-20382735.965945363,20382735.965945363,-11.88775009667023,11.88775009667023,-0.1188775009667023
