scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successes,failures,success_rate,mean_runtime_seconds,mean_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_normalised_error
long_emerging_break,long,emerging,True,none,cashflow_uplift,ceded,10,1,9,0.1,0.023908508000022265,160577534.65766335,160577534.65766335,160577534.65766335,53.67213135387252,53.67213135387252,53.67213135387252,0.5367213135387252
long_emerging_break,long,emerging,True,none,cashflow_uplift,gross,10,10,0,1.0,0.08389442329998928,486800896.91486424,486800896.91486424,490688609.15812486,73.96382010786826,73.96382010786826,72.99950682315021,0.7396382010786826
long_emerging_break,long,emerging,True,none,chain_ladder,ceded,10,1,9,0.1,0.015371117999984562,123487242.45550191,123487242.45550191,123487242.45550191,41.27491128649544,41.27491128649544,41.27491128649544,0.4127491128649544
long_emerging_break,long,emerging,True,none,chain_ladder,gross,10,10,0,1.0,0.047495486499883555,399173243.0233637,399173243.0233637,403062003.1953682,60.67617702622353,60.67617702622353,59.87133966716381,0.6067617702622352
long_emerging_break,long,emerging,True,none,inflation_adjusted_chain_ladder,ceded,10,1,9,0.1,0.04407179130012082,169953049.98554093,169953049.98554093,169953049.98554093,56.80584424379125,56.80584424379125,56.80584424379125,0.5680584424379125
long_emerging_break,long,emerging,True,none,inflation_adjusted_chain_ladder,gross,10,10,0,1.0,0.09779512989998693,489915764.4071228,489915764.4071228,494132309.3565717,74.47933048666515,74.47933048666515,72.68869989994582,0.7447933048666515
long_emerging_break,long,emerging,True,none,regularized_poisson,ceded,10,10,0,1.0,2.271884878500077,358101058.5315119,358101058.5315119,394163939.23298985,113.6928366795056,113.6928366795056,121.11049593179933,1.136928366795056
long_emerging_break,long,emerging,True,none,regularized_poisson,gross,10,10,0,1.0,2.7618554833999953,314215087.57591975,314215087.57591975,330066144.3037567,47.66204896074594,47.66204896074594,46.87894168671207,0.47662048960745934
long_emerging_no_break,long,emerging,False,none,cashflow_uplift,ceded,10,0,10,0.0,0.03048717769997893,,,,,,,
long_emerging_no_break,long,emerging,False,none,cashflow_uplift,gross,10,10,0,1.0,0.10423552390011537,15575648.539127016,36347512.56385724,44515235.40288574,1.8976893320397532,4.29006881907903,4.06450863064305,0.01897689332039753
long_emerging_no_break,long,emerging,False,none,chain_ladder,ceded,10,0,10,0.0,0.0191919884001436,,,,,,,
long_emerging_no_break,long,emerging,False,none,chain_ladder,gross,10,10,0,1.0,0.062247396999919144,-50072725.57382959,55305086.284676634,63770900.90796765,-5.708839634514284,6.356398643543869,6.1179397925349,-0.057088396345142844
long_emerging_no_break,long,emerging,False,none,inflation_adjusted_chain_ladder,ceded,10,0,10,0.0,0.05526816070005225,,,,,,,
long_emerging_no_break,long,emerging,False,none,inflation_adjusted_chain_ladder,gross,10,10,0,1.0,0.12455260970009477,5153644.834915614,39908986.0347542,45425008.037661515,0.7089256734126393,4.680010521194896,4.308321577038603,0.007089256734126394
long_emerging_no_break,long,emerging,False,none,regularized_poisson,ceded,10,10,0,1.0,2.1505800280000584,123847728.55327335,185834196.9559067,208210690.20580077,29.24903454674603,44.638846739641856,45.95958766113024,0.29249034546746033
long_emerging_no_break,long,emerging,False,none,regularized_poisson,gross,10,10,0,1.0,2.9240843749000307,-61803280.86943208,76554937.43235329,86527170.3944718,-7.003025221779906,8.82869601042162,8.878716500131967,-0.07003025221779904
