analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,ceded,True,True,True,success,,,,291860713.8470241,275566464.44821846,16294249.398805618,5.913001580737507,5.913001580737507,0.0087367000014637,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,ceded,True,True,True,success,,,,333885476.48008746,275566464.44821846,58319012.031868994,21.163319763398743,21.163319763398743,0.008837699999276,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,ceded,True,True,True,success,,,,377079364.9551747,275566464.44821846,101512900.50695622,36.83790068948373,36.83790068948373,0.0085620999961975,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,ceded,True,True,True,success,,,,423076015.941696,275566464.44821846,147509551.49347752,53.52957290679176,53.52957290679176,0.0086110000047483,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,483824717.1379532,642954360.8421648,-159129643.7042116,-24.74975727604956,24.74975727604956,0.0037852999957976,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,544302806.7801974,642954360.8421648,-98651554.06196736,-15.34347693555574,15.34347693555574,0.0053180999966571,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,604780896.4224415,642954360.8421648,-38173464.41972327,-5.937196595061941,5.937196595061941,0.0037539000040851,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,665258986.0646856,642954360.8421648,22304625.22252083,3.469083745431857,3.469083745431857,0.0039021999982651,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,725737075.7069297,642954360.8421648,82782714.86476493,12.875364085925655,12.875364085925655,0.0037751999989268,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,483824717.1379532,642954360.8421648,-159129643.7042116,-24.74975727604956,24.74975727604956,0.003700100001879,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,544302806.7801974,642954360.8421648,-98651554.06196736,-15.34347693555574,15.34347693555574,0.0065348999996786,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,604780896.4224415,642954360.8421648,-38173464.41972327,-5.937196595061941,5.937196595061941,0.0038392000060412,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,665258986.0646856,642954360.8421648,22304625.22252083,3.469083745431857,3.469083745431857,0.0036790000012842,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,725737075.7069297,642954360.8421648,82782714.86476493,12.875364085925655,12.875364085925655,0.0037697000007028,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,gross,True,True,True,success,,,,535657276.9713914,642954360.8421648,-107297083.87077338,-16.688133778302987,16.688133778302987,0.0090125999995507,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,gross,True,True,True,success,,,,691351592.8009357,642954360.8421648,48397231.95877099,7.527319963329676,7.527319963329676,0.0223066999969887,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,gross,True,True,True,success,,,,848147151.1113077,642954360.8421648,205192790.269143,31.914052188770302,31.914052188770302,0.0087348999950336,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,gross,True,True,True,success,,,,1004942709.42168,642954360.8421648,361988348.5795152,56.300784414210966,56.300784414210966,0.0088478999969083,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,37,20260853,expected_loss,gross,True,True,True,success,,,,1170564024.9625416,642954360.8421648,527609664.1203768,82.06020462001295,82.06020462001295,0.0087569999959669,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,154509660.8360724,306004779.9733002,-151495119.13722783,-49.50743552125108,49.50743552125108,0.0036330000002635,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,173823368.44058144,306004779.9733002,-132181411.53271878,-43.19586496140746,43.19586496140746,0.0052843000012217,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,193137076.04509047,306004779.9733002,-112867703.92820977,-36.88429440156385,36.88429440156385,0.0036758999995072,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,212450783.64959952,306004779.9733002,-93553996.3237007,-30.572723841720236,30.572723841720236,0.0036500999995041,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,231764491.25410852,306004779.9733002,-74240288.71919167,-24.261153281876624,24.261153281876624,0.0038487000056193,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,154509660.8360724,306004779.9733002,-151495119.13722783,-49.50743552125108,49.50743552125108,0.0038464999961433,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,173823368.44058144,306004779.9733002,-132181411.53271878,-43.19586496140746,43.19586496140746,0.0059982000020681,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,193137076.04509047,306004779.9733002,-112867703.92820977,-36.88429440156385,36.88429440156385,0.003821300000709,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,212450783.64959952,306004779.9733002,-93553996.3237007,-30.572723841720236,30.572723841720236,0.0039636000001337,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,231764491.25410852,306004779.9733002,-74240288.71919167,-24.261153281876624,24.261153281876624,0.0036945999963791,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
