analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,chain_ladder,ceded,True,True,True,success,,,,90673199.8396059,92301960.7631166,-1628760.9235107005,-1.7646005675770486,1.7646005675770486,0.1208138559995859,short,shock,False,,,,,,,,,,,,268823078.6466661,361125039.40978265,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,157551186.12395027,171459997.0574296,-13908810.93347934,-8.111985986340976,8.111985986340976,0.3047743249999257,short,shock,False,,,,,,,,,,,,1476117978.9648635,1647577976.022293,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,inflation_adjusted_chain_ladder,ceded,True,True,True,success,,,,97502031.94194517,92301960.7631166,5200071.178828552,5.6337602536678455,5.6337602536678455,0.1492806559999735,short,shock,False,,,,,,,,,,,,268823078.6466661,361125039.40978265,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,159048177.13245714,171459997.0574296,-12411819.924972476,-7.238901281921288,7.238901281921288,0.0649059729994405,short,shock,False,,,,,,,,,,,,1476117978.9648635,1647577976.022293,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,cashflow_uplift,ceded,True,True,True,success,,,,95825523.17229898,92301960.7631166,3523562.4091823846,3.817429640769216,3.817429640769216,0.066844955000306,short,shock,False,,,,,,,,,,,,268823078.6466661,361125039.40978265,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,164444620.40815592,171459997.0574296,-7015376.649273694,-4.091552997591578,4.091552997591578,3.8347385689994553,short,shock,False,,,,,,,,0.0001,,,,1476117978.9648635,1647577976.022293,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_shock_no_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,91348062.84542651,92301960.7631166,-953897.9176900684,-1.03345357975455,1.03345357975455,2.5852744499998157,short,shock,False,,,,,,,,0.1,,,,268823078.6466661,361125039.40978265,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,711277942.2898146,753698005.0920122,-42420062.802197576,-5.628257274877475,5.628257274877475,0.0727520350001214,long,stable,False,,,,,,,,,,,,1067805689.3061192,1821503694.3981316,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,301848095.26935834,,,,0.0293181279994314,long,stable,False,,,,,,,,,,,,139213657.60900772,441061752.87836605,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,709653007.7373953,753698005.0920122,-44044997.35461688,-5.843852187089155,5.843852187089155,0.1235923569993246,long,stable,False,,,,,,,,,,,,1067805689.3061192,1821503694.3981316,True,True
