analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,attachment_frequency,exhaustion_frequency,gross_true_reserve,ceded_true_reserve,retained_true_reserve,base_attachment,base_limit,index_reference_year,minimum_applied_index_factor,maximum_applied_index_factor,mean_applied_index_factor,success,status,failure_message,runtime_seconds
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,1,20260817,fixed_nominal,long,emerging,True,1887118589.180332,490879403.93790746,1396239185.2424245,0.2601211215619048,0.6054519368723099,0.0315638450502152,690279196.5937967,305729466.5237079,384549730.07008886,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2226217999996151
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,1,20260817,fully_indexed,long,emerging,True,1887118589.180332,289927709.2314075,1597190879.9489243,0.1536351297124031,0.2553802008608321,0.0143472022955523,690279196.5937967,163370201.73996615,526908994.8538306,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4427385999952093
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,2,20260818,fixed_nominal,long,emerging,True,2008910746.7625828,547708454.603282,1461202292.1593008,0.2726395164573288,0.6132075471698113,0.0256064690026954,668155030.1461856,332662627.84441507,335492402.3017707,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2272231999959331
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,2,20260818,fully_indexed,long,emerging,True,2008910746.7625828,325955304.9828791,1682955441.779704,0.1622547470106202,0.2803234501347709,0.0094339622641509,668155030.1461856,170853971.378307,497301058.76787865,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4483805000054417
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,3,20260819,fixed_nominal,long,emerging,True,2051853124.064152,601254738.0782208,1450598385.9859314,0.2930301058232189,0.625832223701731,0.0279627163781624,612750479.1523004,320146536.2610667,292603942.8912337,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2530119000002742
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,3,20260819,fully_indexed,long,emerging,True,2051853124.064152,355479238.40140384,1696373885.6627483,0.1732478968559396,0.303595206391478,0.0093209054593874,612750479.1523004,143542188.1507541,469208291.0015463,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4563512000022456
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,4,20260820,fixed_nominal,long,emerging,True,1916525146.8759384,484833675.40801656,1431691471.4679215,0.2529753790073286,0.6057692307692307,0.0219780219780219,638032626.5490856,291028961.26191354,347003665.2871721,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2306468000024324
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,4,20260820,fully_indexed,long,emerging,True,1916525146.8759384,263032240.3700244,1653492906.5059135,0.137244345997121,0.2692307692307692,0.0082417582417582,638032626.5490856,132511325.11400738,505521301.4350782,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4498282999993535
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,5,20260821,fixed_nominal,long,emerging,True,2041870589.0474548,553859410.2157785,1488011178.8316765,0.2712509858296932,0.6092265943012212,0.0298507462686567,605818407.3254896,289187037.30433095,316631370.0211587,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2323954999956186
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,5,20260821,fully_indexed,long,emerging,True,2041870589.0474548,331071861.5511542,1710798727.4963005,0.1621414517291231,0.3025780189959294,0.0149253731343283,605818407.3254896,127104461.73398468,478713945.591505,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4530538999970304
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,6,20260822,fixed_nominal,long,emerging,True,2009000740.6809103,490791899.6047671,1518208841.0761435,0.2442965249671451,0.6067114093959731,0.0255033557046979,630638873.3665172,289354248.35185045,341284625.0146667,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2424609000008786
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,6,20260822,fully_indexed,long,emerging,True,2009000740.6809103,278919636.1899764,1730081104.4909344,0.1388350091376483,0.2684563758389262,0.0147651006711409,630638873.3665172,129534357.58089532,501104515.7856219,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4513719000024139
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,7,20260823,fixed_nominal,long,emerging,True,1908084108.914338,500183319.2770736,1407900789.6372645,0.2621390309474711,0.615931721194879,0.0199146514935988,617962544.134271,299182332.8180119,318780211.3162592,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2272231000024476
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,7,20260823,fully_indexed,long,emerging,True,1908084108.914338,280336280.19561464,1627747828.7187235,0.146920295015255,0.2759601706970128,0.0071123755334281,617962544.134271,136071507.75439516,481891036.3798759,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4503122000023722
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,8,20260824,fixed_nominal,long,emerging,True,2179948453.700713,610731502.5624794,1569216951.138234,0.2801586897734634,0.6357868020304569,0.0241116751269035,715750060.6047767,346654795.58985984,369095265.0149168,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2312722999995458
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,8,20260824,fully_indexed,long,emerging,True,2179948453.700713,359012535.04089147,1820935918.659822,0.1646885431769849,0.3045685279187817,0.0088832487309644,715750060.6047767,165342857.39166722,550407203.2131095,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4499481000020751
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,9,20260825,fixed_nominal,long,emerging,True,1987208729.7273784,554476873.0903745,1432731856.6370034,0.2790229656279953,0.6256756756756757,0.0283783783783783,671990795.7794588,331981768.2247377,340009027.5547211,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2318939999968279
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_emerging_break,9,20260825,fully_indexed,long,emerging,True,1987208729.7273784,316100253.7314815,1671108475.9958963,0.1590674643296513,0.2891891891891892,0.0094594594594594,671990795.7794588,152207619.46019438,519783176.3192645,2000000.0,5000000.0,2010,1.0,1.8687743048810856,1.3566921173701358,True,success,,0.4531770000030519
